year,grand_ADJ or_NOUN,grand_ADJ tort_NOUN
1800,0.0,1.8424804011374363e-06
1801,2.3811825844433088e-09,2.0287675397412386e-06
1802,0.0,2.2848348635307048e-06
1803,3.900678446910888e-09,1.8976800220116274e-06
1804,4.943701892301533e-09,2.3284835606318666e-06
1805,0.0,2.1577441202680347e-06
1806,5.76333825108577e-09,2.4004302758839913e-06
1807,8.540865348294346e-09,1.5231209999910789e-06
1808,9.064295980465431e-09,1.6225089893850964e-06
1809,2.259030518203531e-09,1.771079951140564e-06
1810,2.3401267590372754e-09,1.9165638605045388e-06
1811,5.0141535368197765e-09,2.2789326976635493e-06
1812,1.0668832928217853e-08,1.7843623254520935e-06
1813,1.4378708224072057e-08,2.0705340375570813e-06
1814,9.440030979135372e-09,1.5985119716788176e-06
1815,5.394447111228828e-09,1.4672896213596687e-06
1816,2.3176038865813098e-09,1.9120232082059374e-06
1817,1.556873407970727e-09,2.7416540433478076e-06
1818,1.1921177378582115e-09,2.8277033834456233e-06
1819,1.035105001712111e-09,2.379706302235718e-06
1820,2.3732962262101864e-09,2.872875029424904e-06
1821,0.0,3.1655376915296074e-06
1822,1.5038423839541792e-08,3.027736056537833e-06
1823,6.917880934764753e-09,2.568510353739839e-06
1824,4.463189817727198e-08,3.0501269066007808e-06
1825,1.3208164340028361e-08,2.4760906853771303e-06
1826,6.165589039319741e-09,2.022313310590107e-06
1827,5.530363722527909e-09,2.1872588149562944e-06
1828,9.172301251858528e-10,2.2196968529897276e-06
1829,4.286587973467704e-09,2.2470294425147586e-06
1830,9.39315247805439e-09,2.240788717244868e-06
1831,1.5591206103948707e-09,2.0034699446114246e-06
1832,2.705993873419743e-09,2.4759845018706983e-06
1833,1.2741991461950875e-08,2.1267542251734994e-06
1834,1.8669061851994684e-09,1.965852106877719e-06
1835,2.193295500774184e-08,2.2447245555667905e-06
1836,7.392825018825988e-09,2.469875653332565e-06
1837,5.566312855087574e-09,2.3093239178706426e-06
1838,8.205810475558906e-09,2.317825874342816e-06
1839,4.894032512581248e-09,2.2526533030031715e-06
1840,1.2102408852854296e-08,1.9370222616998944e-06
1841,4.494383976094696e-09,1.9614776647358667e-06
1842,1.0062397581833693e-08,1.9957087715738453e-06
1843,6.497602234034616e-09,1.9711362710950198e-06
1844,4.939705144924034e-09,1.774451902747387e-06
1845,1.2834524387717039e-08,1.6729522940295283e-06
1846,1.1123552079439492e-08,1.8207499579148134e-06
1847,1.6179670936367074e-09,1.5888437019384583e-06
1848,5.63165514222419e-09,2.004064754146384e-06
1849,9.217356211621563e-09,1.6851003010742716e-06
1850,1.1541293254424545e-08,1.849322529778874e-06
1851,3.8696632564949596e-09,1.7574720914126374e-06
1852,2.6042181744401205e-09,1.6263342104139156e-06
1853,2.149895506065036e-08,1.8059122339764144e-06
1854,4.676097953293379e-09,1.8787523003993556e-06
1855,2.1227748447927297e-09,2.014513256654027e-06
1856,3.1063135952358323e-09,1.9341978259035386e-06
1857,7.322263739784063e-09,2.1844753064215183e-06
1858,1.1255454956948796e-08,2.23053757508751e-06
1859,5.601390906662118e-09,2.3103191324480576e-06
1860,4.577184048448757e-09,2.190182613048819e-06
1861,6.602349444939648e-09,2.1169960291445022e-06
1862,1.8071945051545413e-09,2.0077930003026268e-06
