year,tout_ADV aux_ADP,tout_ADV tôt_ADV
1800,2.829747991484055e-08,0.0
1801,5.476719877606229e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,1.1702034896643454e-08,0.0
1804,5.438072037122765e-08,0.0
1805,1.7057265822018053e-08,2.842877711017877e-09
1806,1.4408345627714425e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,5.6651849877908944e-08,0.0
1809,1.129515236897305e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,8.627225156487839e-09,0.0
1814,1.5733386149463513e-08,0.0
1815,2.1577788444915313e-08,2.697223555614414e-09
1816,1.3905623319487859e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,1.668964877410417e-08,0.0
1819,1.9666995143552413e-08,0.0
1820,4.034603762193001e-08,0.0
1821,2.070912508145284e-08,0.0
1822,1.7043547018147365e-08,0.0
1823,1.581229902569703e-08,0.0
1824,1.6842225392110777e-08,0.0
1825,2.993850500843109e-08,0.0
1826,1.5854372037438225e-08,0.0
1827,1.2904182611350734e-08,0.0
1828,1.4675682002973645e-08,0.0
1829,3.086343269842473e-08,0.0
1830,9.39315203396518e-09,1.0436835840010872e-09
1831,2.182768810143898e-08,0.0
1832,2.1647950987357945e-08,0.0
1833,2.20088942626262e-08,0.0
1834,2.5203233278148218e-08,0.0
1835,2.4201881387853064e-08,0.0
1836,4.9061473994527205e-08,6.720750067579218e-10
1837,3.6876823372722356e-08,6.957890930081589e-10
1838,1.8305270410579055e-08,0.0
1839,9.788065469251706e-09,0.0
1840,2.356784811752277e-08,0.0
1841,1.4125206782011901e-08,0.0
1842,1.9453969102301016e-08,0.0
1843,2.0674189471492355e-08,5.906911071384968e-10
1844,1.0977122377742177e-08,0.0
1845,2.2320911341466854e-08,5.580227946389016e-10
1846,1.4050803187615202e-08,0.0
1847,1.6718992412734224e-08,0.0
1848,1.287235473768078e-08,0.0
1849,1.6758829879393033e-08,0.0
1850,1.0183494048021657e-08,0.0
1851,1.0319102461409102e-08,0.0
1852,1.6276363368206148e-08,0.0
1853,1.791579506971175e-08,0.0
1854,1.92239586471743e-08,0.0
1855,1.1675261646360013e-08,0.0
1856,2.174419400091665e-08,0.0
1857,1.8549734193129552e-08,0.0
1858,1.565976326389773e-08,0.0
1859,1.323965070909594e-08,0.0
1860,1.785101666484934e-08,0.0
1861,3.1125360067107977e-08,4.715963730639317e-10
1862,2.2589931703009825e-08,0.0
1863,2.946826249683454e-08,4.994620828036034e-10
1864,1.4384183621984903e-08,0.0
1865,1.6003271208209213e-08,0.0
1866,1.3137154475373336e-08,0.0
1867,2.2808213984149006e-08,9.7056229719783e-10
1868,2.2723421366777075e-08,0.0
1869,2.0022428159904848e-08,0.0
1870,1.2614907340946502e-08,0.0
1871,2.1242354542039266e-08,0.0
1872,1.2094679036067646e-08,0.0
1873,1.0774807712721213e-08,0.0
1874,1.4936522685360387e-08,5.974609140757536e-10
1875,1.602027621672164e-08,0.0
1876,2.116105135563373e-08,0.0
1877,1.1132668786828503e-08,0.0
1878,1.6305539918270995e-08,0.0
1879,1.1607718120032473e-08,0.0
1880,2.2462462112571302e-08,3.2089231272180996e-09
1881,1.5339516323820135e-08,4.8807553554297556e-09
1882,9.317538740560849e-09,6.655385131892899e-10
1883,1.7694148368718743e-08,0.0
1884,1.5183903023796574e-08,0.0
1885,1.9336907297606842e-08,6.445635691854079e-10
1886,2.9685934488377086e-08,0.0
1887,1.9586773314372863e-08,0.0
1888,2.282621380800265e-08,6.340614699951175e-10
1889,2.3181006780781388e-08,1.2530273485467092e-09
1890,2.7528422652522977e-08,1.3108772956016423e-09
1891,4.015758514608336e-08,1.2748440081367107e-09
1892,1.0029619579299265e-08,6.268512375839919e-10
1893,4.495644057023185e-08,0.0
1894,2.7726772211522643e-08,6.301539290376468e-10
1895,1.504653623918273e-08,0.0
1896,2.0639601361338578e-08,0.0
1897,2.447219638046505e-08,1.1653427112179315e-09
1898,3.3384293551819155e-08,0.0
1899,2.9296165493519766e-08,3.3165470370022376e-09
1900,2.4917055641004993e-08,0.0
