year,eurent_VERB eu_VERB
1800,6.60274537267469e-08
1801,3.095537337571841e-08
1802,1.1189200677108602e-08
1803,2.3404069793286908e-08
1804,7.4155526164076946e-09
1805,1.9900143755080535e-08
1806,3.458002950651462e-08
1807,2.562259560079383e-08
1808,2.2660739062985158e-08
1809,1.581321384946932e-08
1810,2.3401267590372754e-09
1811,0.0
1812,4.5342538612658245e-08
1813,1.1502966579257645e-08
1814,0.0
1815,2.6972236000233352e-08
1816,1.1588019432906549e-08
1817,1.0898113522728181e-08
1818,1.0729059418679299e-08
1819,3.3123360054787554e-08
1820,7.119888678630559e-09
1821,7.396116075142345e-08
1822,8.02049271442229e-09
1823,3.854247765389118e-08
1824,8.336901657912676e-08
1825,4.402721387464226e-08
1826,1.4885493726524146e-07
1827,2.488663675137559e-08
1828,2.2930752408001354e-08
1829,4.372319750700626e-08
1830,2.400472176589119e-08
1831,2.3386808933878456e-08
1832,2.841293600397421e-08
1833,2.4325620628928846e-08
1834,1.5868701908061666e-08
1835,3.2521278114927554e-08
1836,6.72075017860152e-08
1837,4.0355768504696243e-08
1838,6.817134590164642e-08
1839,4.264799713382672e-08
1840,3.3759349093998026e-08
1841,2.118781061710706e-08
1842,1.0062397137744483e-08
1843,1.1223130869097986e-08
1844,8.232841963717874e-09
1845,2.4553003186156275e-08
1846,6.439951683034906e-09
1847,1.6718992412734224e-08
1848,8.04522137798358e-09
1849,2.513824526317876e-08
1850,2.2403686017469226e-08
1851,2.3217978650791338e-08
1852,1.2370036550635177e-08
1853,1.970737528722566e-08
1854,2.338049043260071e-08
1855,1.751289246954002e-08
1856,1.0872097000458325e-08
1857,1.8061584228235006e-08
1858,2.495774786837046e-08
1859,2.64793023063703e-08
1860,9.15436793036406e-09
1861,1.226150558863992e-08
1862,2.1686334505943705e-08
1863,1.6482248454963155e-08
1864,7.671564716815737e-09
1865,9.413688495385486e-09
1866,9.731225603104576e-09
1867,9.7056229719783e-09
1868,3.951899252285784e-09
1869,2.8324411260882698e-08
1870,1.2614907340946502e-08
1871,1.4869648623516696e-08
1872,2.7817760539505798e-08
1873,1.3169209722718733e-08
1874,8.364453130127458e-09
1875,1.4875970677508121e-08
1876,1.3905833817773328e-08
1877,1.7317484335421796e-08
1878,1.0870359723469392e-08
1879,2.3826368433788048e-08
1880,1.0268554007097919e-08
1881,1.3945014920579979e-08
1882,1.7969540522244642e-08
1883,1.516641390253426e-08
