year,tout_DET an_NOUN,tout_DET temps_NOUN
1800,9.432493186523061e-08,9.4670795078855e-06
1801,9.048494087338099e-08,8.219842129619792e-06
1802,8.056224487518193e-08,8.846182026900351e-06
1803,6.241085537261881e-08,1.0972608833981212e-05
1804,6.426812215742927e-08,9.946727914211806e-06
1805,8.528633421711618e-08,9.253566531697288e-06
1806,7.20417272503937e-08,1.086965585272992e-05
1807,6.832692633906845e-08,8.321650057041552e-06
1808,8.38447360429484e-08,1.0498721167095937e-05
1809,7.454800399209205e-08,1.1710813851095736e-05
1810,8.658468830802235e-08,1.0909670891123824e-05
1811,7.521230127593981e-08,1.1181562513229437e-05
1812,5.601137331723294e-08,9.88200645224424e-06
1813,9.489947139229571e-08,1.0732267583080102e-05
1814,1.0069367162302001e-07,1.0909529919445049e-05
1815,1.4565007488975823e-07,1.256366704183165e-05
1816,9.270415723960923e-08,9.988872989197262e-06
1817,8.874178414330913e-08,1.3857729754818138e-05
1818,6.795070950360582e-08,1.4136132449493743e-05
1819,8.073819235399071e-08,1.2868425073975231e-05
1820,7.119888678630559e-08,1.4066527000977658e-05
1821,6.804427155060466e-08,1.2802183846361004e-05
1822,7.920236555492011e-08,1.1540486411831807e-05
1823,6.324919477052049e-08,1.3217105333751533e-05
1824,8.757956937444078e-08,1.2164297004346736e-05
1825,7.660735379388939e-08,1.2803114259440918e-05
1826,5.989429308073113e-08,1.3207572919782251e-05
1827,6.359918347520477e-08,1.2284781405469403e-05
1828,7.246118116643885e-08,1.1513990102685057e-05
1829,5.486832571621747e-08,1.4195465155353304e-05
1830,7.827626746781391e-08,1.1829110007965937e-05
1831,9.510636012066698e-08,1.132077431975631e-05
1832,6.359085902296613e-08,1.0625084541970864e-05
1833,6.023486687212198e-08,1.1837310012197122e-05
1834,8.961149400299462e-08,1.1876323696924374e-05
1835,6.277362984974388e-08,1.2355816579656675e-05
1836,4.838940070861497e-08,1.356112989014946e-05
1837,5.21841809764112e-08,1.377731950924499e-05
1838,5.807189129569679e-08,1.3671511624124832e-05
1839,7.90036712716713e-08,1.2205717212054878e-05
1840,5.5416291111498595e-08,1.4538177310896572e-05
1841,6.292137655350416e-08,1.3049764675088227e-05
1842,7.043678440510348e-08,1.3175703315937426e-05
1843,5.1390125543893106e-08,1.367213644698495e-05
1844,5.982531986470363e-08,1.2832256288675126e-05
1845,5.915041817461386e-08,1.3393662811722606e-05
1846,6.908311478426299e-08,1.3359972399484832e-05
1847,5.123562374365065e-08,1.3342296369955875e-05
1848,5.712107536970379e-08,1.3611710528493859e-05
1849,5.614207854165443e-08,1.2943682122568134e-05
1850,6.11009625117731e-08,1.2088486073480453e-05
1851,6.191461188187475e-08,1.2882109331258107e-05
1852,5.5990692304774825e-08,1.2927989700983744e-05
1853,6.270528363216954e-08,1.4070468751015142e-05
1854,5.3515345765919875e-08,1.3372081411944237e-05
1855,6.102977678779098e-08,1.3340048099053092e-05
1856,6.782117567549761e-08,1.3894540643377695e-05
1857,5.9554409848061596e-08,1.430330939911073e-05
1858,4.4532450116374633e-08,1.3270181625557598e-05
1859,5.0412515051334594e-08,1.3903670151194092e-05
1860,3.936378267788143e-08,1.3607967957796063e-05
1861,5.1404003997834735e-08,1.3289585695019923e-05
1862,4.337266945597662e-08,1.313197844865499e-05
1863,5.4940829219418674e-08,1.357737710350193e-05
1864,6.185199019625998e-08,1.438178605894791e-05
1865,5.601144886790976e-08,1.3897428289055824e-05
1866,6.033360056001413e-08,1.3111367479723413e-05
1867,6.98804871746006e-08,1.2814333786081988e-05
1868,5.532659119733552e-08,1.3180077985452954e-05
1869,5.07885999923019e-08,1.3378400581132155e-05
1870,6.020751142088443e-08,1.3361480341700371e-05
1871,4.991953250765846e-08,1.2218602023494896e-05
1872,5.6844988272075625e-08,1.2501664969022386e-05
1873,5.207823960962088e-08,1.2462262930057477e-05
1874,5.19790986919233e-08,1.2395521480357274e-05
1875,4.520006324781889e-08,1.3078838492219802e-05
1876,3.990369745743294e-08,1.305274145124713e-05
1877,4.514915652453766e-08,1.33338444356923e-05
1878,5.857915974516459e-08,1.2687521120824385e-05
1879,4.5209007426549874e-08,1.2881512702733744e-05
1880,6.032775390352185e-08,1.2449338100850582e-05
1881,6.066081525979428e-08,1.1889519555552397e-05
1882,5.856738805043449e-08,1.2181351848994382e-05
1883,6.066565516604783e-08,1.2445306310837623e-05
1884,5.941527181363426e-08,1.2468624845496379e-05
1885,7.154655756735906e-08,1.1665955753414892e-05
1886,8.583107158344205e-08,1.2191238965897355e-05
1887,8.161155617969484e-08,1.2453923773136921e-05
1888,6.086990267384351e-08,1.228557539434405e-05
1889,4.1976415232625186e-08,1.2025303476548288e-05
1890,5.702316308031641e-08,1.1099197763542179e-05
1891,5.418087090092172e-08,1.1428976904426236e-05
1892,5.202865427378356e-08,1.2390968549880199e-05
1893,4.434059919233846e-08,1.1330254892527591e-05
1894,4.537108289071057e-08,1.13030710053863e-05
1895,5.597311303340291e-08,1.130295822804328e-05
1896,4.00997970384509e-08,1.1618326425377745e-05
1897,5.127507751723215e-08,1.0622098670864943e-05
1898,5.884688925039683e-08,1.0770678272820078e-05
1899,4.532614283903058e-08,1.0989379006787203e-05
1900,5.1391426669766815e-08,1.0819711860676762e-05
1901,5.365189231776313e-08,1.0379964805906639e-05
1902,4.4192553616539954e-08,9.930066880770028e-06
1903,5.8322378038155875e-08,1.0530429790378548e-05
1904,7.524475087450355e-08,1.0427310371596832e-05
1905,5.47040444054403e-08,1.0531561201787554e-05
1906,5.4013936157115694e-08,1.0676240890461486e-05
1907,5.965698218757254e-08,1.0609172022668645e-05
1908,5.598983587873363e-08,1.0059507076221053e-05
1909,5.115914536446553e-08,1.0351201126468368e-05
1910,5.451033668890659e-08,1.0041124369308818e-05
1911,4.9479480068725934e-08,1.0596589163469616e-05
1912,5.7303632061689314e-08,1.0357892278989311e-05
1913,4.719660712249052e-08,1.0096362530020997e-05
