year,est_VERB au_ADP,est_VERB tôt_ADV
1800,4.08081104978919e-05,7.860410988769218e-08
1801,3.792747520492412e-05,1.04772034603684e-07
1802,4.0422106394544244e-05,3.8043282302169246e-08
1803,3.9829828892834485e-05,5.851017803593095e-08
1804,3.906018901034258e-05,5.19088700912107e-08
1805,4.106821143068373e-05,5.401467717547348e-08
1806,3.417371408431791e-05,6.627838899930794e-08
1807,3.8431047869380563e-05,8.540865792383556e-09
1808,4.890414129476994e-05,4.758755522971114e-08
1809,3.3169344533234835e-05,4.0662548883574345e-08
1810,3.2211843063123524e-05,1.8721014072298203e-08
1811,3.727020157384686e-05,2.757784400841956e-08
1812,2.952599425043445e-05,5.3344166417446104e-08
1813,3.4169563150499016e-05,3.738464116054274e-08
1814,3.208981433999725e-05,5.664018942752591e-08
1815,2.6087545847985893e-05,2.1577788444915313e-08
1816,2.9621294743265025e-05,6.952811304472561e-08
1817,3.1356987165054306e-05,8.251429051142622e-08
1818,2.7731042791856453e-05,4.530047448270125e-08
1819,2.8443650080589578e-05,4.968504185853817e-08
1820,2.8998119887546636e-05,1.0086508694939766e-07
1821,2.9741262551397085e-05,6.114122896860863e-08
1822,2.9567547244369052e-05,5.213320264374488e-08
1823,2.6730691388365813e-05,2.7671523739059012e-08
1824,2.6309240638511255e-05,5.3895121254754486e-08
1825,2.8165090043330565e-05,3.3460683113162304e-08
1826,2.6703166440711357e-05,3.787433300317389e-08
1827,2.738636248977855e-05,3.133872894522938e-08
1828,2.7096812118543312e-05,1.3758452155343548e-08
1829,2.669429886736907e-05,4.715246859632316e-08
1830,2.7450965717434883e-05,5.635891398014792e-08
1831,2.617763493617531e-05,4.677361609140007e-09
1832,3.066432327614166e-05,3.6530916958099624e-08
1833,2.9118924430804327e-05,3.1275796175123105e-08
1834,2.8295764423091896e-05,5.0406466556296436e-08
1835,2.9092174372635782e-05,4.386591001548368e-08
1836,2.743410186667461e-05,3.091545153210973e-08
1837,2.7213702196604572e-05,4.5226290268374214e-08
1838,2.5998531782533973e-05,3.976661844262708e-08
1839,2.483511889295187e-05,4.894032556990169e-08
1840,2.5396586352144368e-05,3.3759349093998026e-08
1841,2.569118259998504e-05,4.687000298986277e-08
1842,2.4905104510253295e-05,1.6770663080478698e-08
1843,2.583033165137749e-05,3.307870244384503e-08
1844,2.5329161871923134e-05,3.512679214168202e-08
1845,2.5393384930794127e-05,1.562463758375543e-08
1846,2.6247485948260874e-05,2.0490753982471688e-08
1847,2.3872025849414058e-05,4.476375536910382e-08
1848,2.8931421184097417e-05,4.022610866627474e-08
1849,2.569296157162171e-05,5.027649052635752e-08
1850,2.5122000806732103e-05,3.8018377779280854e-08
1851,2.5224400815204717e-05,2.1283147688677673e-08
1852,2.4791506803012453e-05,4.6224872818356744e-08
1853,2.6622872610460036e-05,3.4040009921909586e-08
1854,2.581465923867654e-05,4.1565314745639625e-08
1855,2.529710764065385e-05,3.131092896069276e-08
1856,2.554373349994421e-05,4.193523395201737e-08
1857,2.5801704396144487e-05,3.3194261561675376e-08
1858,2.600108018668834e-05,1.1744822003834088e-08
1859,2.51196906901896e-05,6.212451353349024e-08
1860,2.493787178536877e-05,1.7393299245327398e-08
1861,2.608682552818209e-05,3.772770895693611e-08
1862,2.5174220354529098e-05,4.743885639868495e-08
1863,2.4695902538951486e-05,4.345320192555846e-08
1864,2.6334084395784885e-05,4.17141343689309e-08
1865,2.565559589129407e-05,4.6127073716206723e-08
1866,2.6896135750575922e-05,4.670988573707291e-08
