year,sont_VERB en_ADP,sont_VERB tant_ADV
1800,5.161145963938907e-05,4.401830153710762e-07
1801,5.156689076102339e-05,2.9526663070100767e-07
1802,5.145018076291308e-05,3.5805442166747525e-07
1803,6.011725781718269e-05,1.969842600146876e-07
1804,5.189650983083993e-05,3.58418390078441e-07
1805,4.7831417759880424e-05,4.09374393939288e-07
1806,4.838610766455531e-05,3.2562860496909707e-07
1807,4.5457330998033285e-05,2.9893027431171504e-07
1808,4.987855572835542e-05,3.8296650473057525e-07
1809,4.826192889595404e-05,2.7560173521123943e-07
1810,4.104816252947785e-05,1.9657065308820165e-07
1811,4.16651091654785e-05,2.1560860830049933e-07
1812,4.6465433115372434e-05,2.960601079848857e-07
1813,4.550861194729805e-05,2.444380413635372e-07
1814,4.2779076466104016e-05,3.304010931515222e-07
1815,4.342799729784019e-05,3.0478625490104605e-07
1816,4.8477319069206715e-05,2.109019590079697e-07
1817,4.888738112640567e-05,2.5221348209925054e-07
1818,4.273145896149799e-05,1.4663048375496146e-07
1819,4.105640618945472e-05,3.8402396285164286e-07
1820,4.095953408977948e-05,4.046470110097289e-07
1821,4.041139254695736e-05,3.984041256899218e-07
1822,4.386507862363942e-05,5.133115337230265e-07
1823,3.771529736695811e-05,4.822751407118631e-07
1824,4.05417631554883e-05,4.016870889245183e-07
1825,4.133098991587758e-05,3.1435430969395384e-07
1826,3.96720424760133e-05,3.6200816566633875e-07
1827,4.0907179936766624e-05,3.1430900548912177e-07
1828,4.317035200074315e-05,2.7333456387168553e-07
1829,4.329625517129898e-05,2.486221148956247e-07
1830,4.413320493767969e-05,3.3710981028889364e-07
1831,4.3462045141495764e-05,2.2139512623198243e-07
1832,4.002164860139601e-05,2.0159654923190828e-07
1833,4.654881195165217e-05,2.061885879811598e-07
1834,4.361746323411353e-05,2.6136686415156873e-07
1835,4.3036237912019715e-05,3.63784522505739e-07
1836,4.1444178350502625e-05,4.139982081596827e-07
1837,4.4034404709236696e-05,3.5554822375161166e-07
1838,4.223341238684952e-05,3.2318268949893536e-07
1839,4.4241354771656916e-05,3.02031736509889e-07
1840,4.294444079278037e-05,3.0256020977503795e-07
1841,4.31281077908352e-05,3.6725538166137994e-07
1842,4.097810960956849e-05,2.5155995331260783e-07
1843,4.277489642845467e-05,2.669923730991286e-07
1844,4.111481393920258e-05,2.6784178430716565e-07
1845,4.0300405089510605e-05,2.9798417244819575e-07
1846,4.2521241994109005e-05,3.0853220778226387e-07
1847,4.158283263677731e-05,2.4862760028554476e-07
1848,4.1573683120077476e-05,2.8721441935886105e-07
1849,3.9678205212112516e-05,1.8686095870634745e-07
1850,3.9947812183527276e-05,3.564223050034343e-07
1851,3.983302303822711e-05,2.3862924081186065e-07
1852,4.162321783951484e-05,2.037800754806085e-07
1853,4.3756343075074255e-05,3.135264137199556e-07
1854,4.021548375021666e-05,3.7668567642867856e-07
1855,3.9843951526563615e-05,2.9878054874643567e-07
1856,4.016515231342055e-05,2.5161139660667686e-07
1857,3.968227611039765e-05,3.822221685823024e-07
1858,3.996126906713471e-05,3.797492524881818e-07
1859,3.924741758964956e-05,3.6052585983270546e-07
1860,4.0090180846164e-05,2.4671021492395084e-07
1861,4.175844514975324e-05,3.735043208052957e-07
1862,4.147420986555517e-05,3.243914079575916e-07
1863,3.9475984522141516e-05,2.627170658797695e-07
1864,4.1741943277884275e-05,2.694636975775211e-07
1865,4.186126170679927e-05,2.621712269501586e-07
1866,3.933750849682838e-05,3.011814442288596e-07
1867,4.279888526070863e-05,3.275647770806245e-07
1868,4.346200148575008e-05,3.0429623620875645e-07
1869,4.1885945393005386e-05,2.0461945382521662e-07
1870,4.173412889940664e-05,2.591790178030351e-07
1871,4.2491083149798214e-05,2.187962451216663e-07
1872,4.176836955593899e-05,2.4189355940507085e-07
1873,4.2975920223398134e-05,3.1785683063390024e-07
1874,4.429515320225619e-05,2.6587011348055967e-07
1875,4.195767542114481e-05,3.204055190053623e-07
1876,4.472962609725073e-05,2.7630287036117807e-07
