year,quand_CONJ elles_PRON,quand_CONJ tel_ADJ
1800,1.7110543922171928e-05,1.5720821977538435e-08
1801,1.3258424360174104e-05,0.0
1802,1.3648587355419295e-05,3.1329761895904085e-08
1803,1.484403173890314e-05,7.801356671777171e-09
1804,1.4485046676782076e-05,6.921182915675672e-08
1805,1.2471704906147352e-05,1.1371510844071508e-08
1806,1.0653530353010865e-05,7.780506905419315e-08
1807,1.1077502506395831e-05,2.2775641816963343e-08
1808,9.948064928266831e-06,4.5321479902327155e-09
1809,1.221683692165243e-05,9.036122294858728e-09
1810,1.0771603911052807e-05,2.3401267590372754e-09
1811,1.050715877681796e-05,1.0028307073639553e-08
1812,1.0138058485154033e-05,8.00162469616339e-09
1813,9.308775418048754e-06,0.0
1814,9.251230494555784e-06,1.8880061958270744e-08
1815,1.0155046879845031e-05,2.697223555614414e-09
1816,1.3163989819986455e-05,2.3176038865813098e-09
1817,1.2543729440039897e-05,3.269434234454138e-08
1818,1.1352537626407866e-05,1.0729059640723904e-08
1819,1.0187503505676432e-05,3.415846450138815e-08
1820,1.118178539627479e-05,3.203949905383752e-08
1821,1.0641532071531401e-05,2.0709124859408234e-08
1822,9.752919595484855e-06,1.0025615893027862e-08
1823,9.509121184692049e-06,2.2730180404550993e-08
1824,9.435014703740308e-06,2.4421227706739046e-08
1825,1.0102484793605981e-05,5.811592274085342e-08
1826,1.0487666770586657e-05,2.025836387531399e-08
1827,9.532504009257536e-06,2.2121455778290056e-08
1828,9.853802907855425e-06,2.2013523448549677e-08
1829,9.653396489284205e-06,3.25780691312616e-08
1830,1.0149822401217534e-05,4.0703660886265425e-08
1831,9.997081406254438e-06,3.1182411319718994e-08
1832,1.0932215445791371e-05,2.3000948257134723e-08
1833,1.0956954611174297e-05,2.6642346107053072e-08
1834,1.0770181916086585e-05,3.547121796287911e-08
1835,1.060950006603889e-05,3.554651328840919e-08
1836,1.08533391767196e-05,3.158752615028959e-08
1837,1.0473017709955457e-05,3.896419054072453e-08
1838,1.0024975154010463e-05,2.7773512156770153e-08
1839,1.0311726498457574e-05,1.4682097759788348e-08
1840,9.63670186138188e-06,2.6752692061648986e-08
1841,9.971753627269209e-06,6.548959419205858e-08
1842,9.610931215320306e-06,2.4820581145945653e-08
1843,1.0138621803434944e-05,4.312045231991135e-08
1844,1.0435950514420256e-05,1.3721403124833387e-08
1845,1.0582902632449986e-05,1.729870580113868e-08
1846,1.0928597589554556e-05,3.454155805826531e-08
1847,9.32056946112425e-06,5.123562374365065e-08
1848,9.670356462265772e-06,3.137636506167496e-08
1849,9.66733074392323e-06,1.1731181359664333e-08
1850,9.381034487887518e-06,1.968808849284187e-08
1851,1.006305944883934e-05,5.4175286479107854e-08
1852,1.0405804857782641e-05,1.0416872697760482e-08
1853,1.0538668050230626e-05,2.508211416341055e-08
1854,9.955412508588779e-06,2.2860923487577622e-08
1855,1.070037734507423e-05,2.3350523292720027e-08
1856,1.0933187866157823e-05,2.3815071248378672e-08
1857,1.046058548581641e-05,3.026535466688074e-08
1858,1.0086845009027456e-05,9.787351817891476e-09
1859,1.0439464745104488e-05,2.953460498389404e-08
1860,1.0077585670842382e-05,2.5174511808501165e-08
1861,1.052084331831793e-05,5.046081241744105e-08
1862,9.687465933438943e-06,2.801151577358496e-08
1863,9.236552159563871e-06,3.995696662428827e-08
1864,1.0011871495407831e-05,3.404256876393674e-08
1865,1.0020400566190801e-05,3.012380478395471e-08
1866,9.871842109987483e-06,2.6274308950746672e-08
1867,9.570714780693379e-06,3.0572712361731647e-08
1868,9.804167746096937e-06,2.0747471740634182e-08
1869,9.68987870919591e-06,3.1742874107010266e-08
1870,9.29890723000426e-06,3.039045815000918e-08
1871,8.825136490031582e-06,3.080141386391233e-08
1872,8.925268389248231e-06,3.4469834986339265e-08
1873,9.90144974366558e-06,2.9331421735889762e-08
1874,9.91605838862597e-06,2.3898437007119355e-08
1875,9.527487350169395e-06,1.830888640697026e-08
1876,9.801799365050101e-06,1.0278224937820823e-08
1877,9.472045690017694e-06,3.5253450825223354e-08
1878,8.832770902245102e-06,2.5968080574756414e-08
1879,9.206142237871973e-06,2.2604504046341845e-08
1880,8.66986897563038e-06,1.9895324054886032e-08
1881,8.60965252513779e-06,1.4642266066289267e-08
1882,8.634031473775394e-06,4.592215852028403e-08
1883,8.824324936540506e-06,2.6541223441256534e-08
1884,8.231656011048472e-06,2.3766109968903493e-08
1885,8.626838962300099e-06,1.3535834897382415e-08
1886,8.29011958103365e-06,2.968593459939939e-08
1887,8.894354436961294e-06,3.1991730153890785e-08
1888,8.313180103414197e-06,1.9655905347804037e-08
1889,7.863999428536772e-06,2.1301464925294056e-08
1890,8.541676606910187e-06,3.5393686204088226e-08
1891,8.394210226470022e-06,3.1233677866282505e-08
1892,8.068829288276902e-06,1.4417578020342603e-08
1893,8.26705826284524e-06,2.278614108508492e-08
1894,8.376636344564758e-06,1.1342770500633037e-08
1895,8.58976619610985e-06,2.5278180437737774e-08
1896,8.22753503371132e-06,1.7101383809059456e-08
1897,8.143415072936477e-06,2.8550895758705508e-08
1898,8.175191339887533e-06,2.0935912670161372e-08
1899,8.023832947401388e-06,3.205995469102163e-08
1900,8.254812883023988e-06,2.28406342728249e-08
1901,7.787907634337898e-06,3.7444551015397565e-08
1902,7.689013386880106e-06,2.7988617645746672e-08
1903,7.757416256026772e-06,2.214090244478939e-08
1904,7.7657957149313e-06,2.418581335206227e-08
1905,7.658050208192435e-06,1.4450125540577119e-08
1906,7.838708540930384e-06,1.2346042854716188e-08
1907,7.770322156375187e-06,1.9542804707839423e-08
1908,7.614126275257149e-06,3.192402964202756e-08
1909,7.884559863668983e-06,2.2554032752530873e-08
1910,7.809407350123365e-06,2.0842188419578633e-08
1911,7.788495508975757e-06,2.1281496231928543e-08
1912,7.560432891295932e-06,2.6568047983843712e-08
1913,7.292141162906773e-06,2.6514949347244965e-08
