year,aurait_VERB en_PRON,aurait_VERB tant_ADV
1800,1.8864987794131594e-08,2.5153315874604232e-08
1801,2.3811825844433088e-09,5.2386017301842e-08
1802,0.0,6.265952379180817e-08
1803,1.950339223455444e-09,5.655983770225248e-08
1804,7.4155526164076946e-09,3.460591457837836e-08
1805,5.685755422035754e-09,3.4114531644036106e-08
1806,2.881669125542885e-09,1.4408345627714425e-08
1807,8.540865792383556e-09,3.131650672116848e-08
1808,9.064295980465431e-09,2.039466551195801e-08
1809,4.969867006821005e-08,3.6144488291256494e-08
1810,2.8081521108447305e-08,7.020380277111826e-09
1811,7.270522672797597e-08,6.267691787797958e-08
1812,5.3344164641089264e-09,6.668020802180763e-08
1813,1.7254450312975678e-08,7.764502640839055e-08
1814,3.1466771410748606e-09,2.2026739543434815e-08
1815,1.8880564667256294e-08,4.8550024445148665e-08
1816,1.8540831092650478e-08,2.7811246638975717e-08
1817,1.8682481339737933e-08,5.60474440192138e-08
1818,5.960588467246453e-09,5.6029534789558966e-08
1819,3.415846450138815e-08,3.9333990287104825e-08
1820,1.4239777357261119e-08,5.6959109429044474e-08
1821,2.1695274909916407e-08,8.382264837791809e-08
1822,4.010246357211145e-09,8.622029668003961e-08
1823,1.4824030003524058e-08,8.004976592701496e-08
1824,1.1789557774477544e-08,4.463189640091514e-08
1825,2.7296874094417944e-08,9.862095851076447e-08
1826,1.3211976401805714e-08,7.574866600634778e-08
1827,2.0278000334439383e-08,1.1982454850567592e-07
1828,2.109629271274116e-08,5.870272801189458e-08
1829,2.3147574523818548e-08,9.859152783064928e-08
1830,1.669893667788358e-08,7.931995327226105e-08
1831,3.585977381703742e-08,5.3010101197514814e-08
1832,2.976593194148336e-08,8.929779937716376e-08
1833,1.50587169400751e-08,7.18184978154568e-08
1834,2.6136685704614138e-08,1.0267984151823839e-07
1835,1.739510224751939e-08,1.376482003934143e-07
1836,1.9490174807401672e-08,6.58633538819231e-08
1837,1.6003149028165353e-08,8.349469027280065e-08
1838,2.209256599883247e-08,8.584540012179787e-08
1839,2.027527834513876e-08,9.648235987924636e-08
1840,1.46502836528839e-08,7.516232614079854e-08
1841,2.3113974734201292e-08,9.502412012807326e-08
1842,2.5491406319133603e-08,8.117000760421433e-08
1843,1.6539350389255247e-08,8.742228629898818e-08
1844,2.6345094994439933e-08,6.147188713612195e-08
1845,2.120486702894553e-08,1.0156014695894555e-07
1846,3.454155717008689e-08,9.015931823341816e-08
1847,2.534815113364175e-08,7.820174374728595e-08
