year,serait_VERB en_ADP,serait_VERB tant_ADV
1800,1.7607320614843047e-06,9.432493897065797e-09
1801,1.8096988014804083e-06,7.143547975374531e-09
1802,2.1975590698275482e-06,6.713520406265161e-09
1803,1.5875760936978622e-06,5.851017448321727e-09
1804,2.9093685043335427e-06,4.943701892301533e-09
1805,1.7000409116008086e-06,2.2743021688143017e-08
1806,1.9508900095388526e-06,8.645007376628655e-09
1807,3.154426167384372e-06,8.540865792383556e-09
1808,2.4224329990829574e-06,9.064295980465431e-09
1809,2.2748438368580537e-06,0.0
1810,2.461813437548699e-06,1.8721014072298203e-08
1811,2.5296403691754676e-06,0.0
1812,2.8245735848031472e-06,2.6672082320544632e-09
1813,3.3732449082890525e-06,4.888760685162197e-08
1814,2.5267818273277953e-06,1.5733386149463513e-08
1815,2.7754431357607245e-06,0.0
1816,2.8437000310077565e-06,6.952811659743929e-09
1817,2.6357865863246843e-06,1.71256075987003e-08
1818,2.3162847355706617e-06,2.741870730460505e-08
1819,3.126017190879793e-06,3.1053151161586356e-09
1820,3.183776925652637e-06,2.254631326081835e-08
1821,3.295709348094533e-06,2.6626018723163725e-08
1822,3.537037173373392e-06,4.0102463572111446e-08
1823,3.1407178084918996e-06,6.917880934764753e-09
1824,3.079600901401136e-06,3.536867154707579e-08
1825,3.2870718769117957e-06,3.169959583715354e-08
1826,3.61127354153723e-06,7.927186018719112e-09
1827,4.133025413466385e-06,2.027800150017356e-08
1828,3.945924163417658e-06,2.0179061976932644e-08
1829,4.537781933322549e-06,4.115124596637543e-08
1830,4.062016614625463e-06,3.235419043789989e-08
1831,3.698234195326222e-06,4.2096257146795324e-08
1832,4.000812168669654e-06,4.6001897402447867e-08
1833,4.07975403504679e-06,5.09679658478035e-08
1834,3.970909347117413e-06,2.14694217959277e-08
1835,3.758854745683493e-06,3.025235173481633e-08
1836,3.7649642763426527e-06,4.9061476659062464e-08
1837,4.036968221043935e-06,3.965997663613052e-08
1838,4.005697974207578e-06,2.019891809368346e-08
1839,3.846010713459691e-06,1.5381244722334486e-08
1840,4.1721459638210945e-06,2.229391071750797e-08
1841,4.6831482904963195e-06,2.43980835534785e-08
1842,4.722618541563861e-06,3.4882980060046975e-08
1843,4.475666628422914e-06,1.1223130869097986e-08
1844,4.583497684507165e-06,1.756339607084101e-08
1845,4.41563452113769e-06,2.17628883802945e-08
1846,4.643790362024447e-06,2.4588905134237393e-08
1847,4.6333184400282335e-06,2.6426796750911308e-08
