year,seraient_VERB aux_ADP,seraient_VERB tôt_ADV
1800,1.8864987794131594e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,2.3811825844433088e-09
1802,3.1329761895904085e-08,2.2378401354217203e-09
1803,2.5354410126965377e-08,2.145373123596528e-08
1804,1.2359254952798437e-08,0.0
1805,2.842877755426798e-08,2.842877711017877e-09
1806,3.458002950651462e-08,0.0
1807,2.8469550272802735e-08,1.4234775136401367e-08
1808,2.039466551195801e-08,6.798221985349073e-09
1809,4.743964154840796e-08,0.0
1810,7.020380277111826e-09,0.0
1811,7.270522672797597e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,5.176335093892703e-08,0.0
1814,2.8320094713762956e-08,1.2586708564299443e-08
1815,1.1867783911156948e-07,5.394447111228828e-09
1816,3.0128852301913867e-08,0.0
1817,6.227493543065066e-08,2.9580593974287694e-08
1818,5.6029534789558966e-08,4.768470951432846e-09
1819,4.5544620519422097e-08,9.315945348475907e-09
1820,1.6613073583471305e-08,1.1866481131050932e-09
1821,3.155676253641104e-08,8.875339574387908e-09
1822,5.1130641054442094e-08,0.0
1823,4.644862983127496e-08,1.9765373782121287e-09
1824,4.29476756380609e-08,1.0105335235266466e-08
1825,2.553578504205234e-08,7.924898959288385e-09
1826,3.435113882233054e-08,0.0
1827,5.346018383534101e-08,5.530363722527909e-09
1828,6.237164740241496e-08,0.0
1829,3.429270378774163e-08,0.0
1830,1.5655253093882493e-08,7.305785310052215e-09
1831,5.9246584527272717e-08,2.6505050598757407e-08
1832,3.111892965534935e-08,1.8941957335982806e-08
1833,3.4750886612755494e-08,1.3900354645102198e-08
1834,1.5868701908061666e-08,1.120143711119681e-08
1835,7.033671778344797e-08,1.2100940693926532e-08
1836,3.293167694096155e-08,1.2097349788575684e-08
1837,4.731365876864402e-08,1.7394727436226276e-08
1838,5.1759727170974656e-08,1.830527018853445e-08
1839,2.586845759822154e-08,6.9914749545318955e-09
1840,3.630722389402763e-08,2.5478754661634184e-09
1841,7.640452537316378e-08,8.988767952189392e-09
1842,7.44617452141938e-08,1.0062397137744483e-08
1843,5.729703644874462e-08,1.7720733769266417e-09
1844,2.7442807137845193e-08,4.9397050894128824e-09
1845,5.412821124650691e-08,2.0646844234306627e-08
1846,3.922516000898213e-08,1.0538101946622191e-08
1847,4.368511241636952e-08,1.0247124926365814e-08
1848,4.827133182061516e-08,1.367687652020777e-08
1849,8.295620546050486e-08,4.1897072478036534e-09
1850,2.851378333446064e-08,8.146795238417326e-09
1851,6.44943867200709e-08,2.3862924081186065e-08
1852,4.362065553209504e-08,2.6042181744401205e-09
1853,5.5538965426649156e-08,3.5831591027601917e-09
1854,2.338049043260071e-08,4.676098175337984e-09
1855,5.3600064831016425e-08,7.429711956774554e-09
1856,4.659470320689252e-08,8.28350277259915e-09
1857,3.758761835115365e-08,1.0739319655783675e-08
1858,2.9851424443450014e-08,4.893676130990343e-09
1859,3.6154432336843456e-08,1.018434669930457e-09
1860,4.439868561689764e-08,6.865775947773045e-09
1861,4.385846352761291e-08,2.3108222890755314e-08
1862,3.7499287230957634e-08,3.162590411776023e-09
1863,2.7470415275843152e-08,3.496234635136375e-09
1864,2.7809422320501653e-08,4.315255264231155e-09
1865,4.89511826629041e-08,7.0602665935837194e-09
1866,4.281739407474561e-08,7.784980660119345e-09
1867,4.901339423213358e-08,5.338092634588065e-09
1868,2.766329387782207e-08,1.531360993567432e-08
1869,4.785848872757015e-08,7.325278605918584e-09
1870,3.383088653663435e-08,1.1468097582678638e-09
1871,3.611200227737754e-08,1.274541272522356e-08
1872,4.051717183983783e-08,2.3584624031514068e-08
1873,4.42964314117944e-08,5.387403856360606e-09
1874,2.8678122987457755e-08,2.3898436563030145e-09
1875,2.8607635371713513e-08,6.293679799540541e-09
1876,2.478866001354163e-08,3.627608879952504e-09
1877,5.318941731502491e-08,4.9478527941460015e-09
1878,4.7708802242141246e-08,1.2078177347163432e-09
1879,3.29903571127943e-08,1.221865053580018e-09
1880,4.428314070992201e-08,3.8507077526617195e-09
1881,6.205532088188193e-08,1.2550513517339823e-08
1882,6.455723422504889e-08,6.655385131892899e-09
1883,4.802697617378726e-08,1.2638677882037541e-09
1884,3.1688145440966764e-08,7.2618666635548834e-09
1885,4.640857653726016e-08,4.511945039809007e-09
1886,2.8395241713496944e-08,3.2267319927115068e-09
1887,3.7867764035581786e-08,4.570247291724172e-09
1888,5.199304098368884e-08,1.2047167707862627e-08
1889,3.132568338060082e-08,4.385595886446936e-09
1890,3.2771932723107966e-08,2.6217545912032847e-09
1891,4.079500826037474e-08,5.099376032546843e-09
1892,3.322311670217459e-08,2.5074049503359674e-09
1893,6.404753349897874e-08,6.15841644346915e-09
1894,4.663139208105349e-08,4.411077725308132e-09
1895,4.634333095054899e-08,8.426059849853118e-09
1896,5.248355705589347e-08,5.307326134129653e-09
1897,3.437761009195128e-08,2.9133566670225264e-09
1898,3.168678830434146e-08,3.960848538042683e-09
1899,2.9296165493519766e-08,4.9748205555033564e-09
1900,3.322274011452464e-08,1.038210628578895e-09
1901,3.7444550571308355e-08,1.676621730339889e-09
1902,2.6024505217492333e-08,2.455141867585553e-09
1903,4.1581696308412575e-08,6.480264325148255e-09
1904,4.568431322127253e-08,1.5048950530172078e-08
1905,2.7352022868853965e-08,3.6125313851442797e-09
1906,2.1605574218597212e-08,3.0865106026567446e-09
1907,3.445705232252294e-08,5.65712765521198e-09
1908,4.469363901193901e-08,4.911389073214423e-09
1909,3.300590023513905e-08,1.1001967337165297e-08
1910,5.076943310200477e-08,6.947395991829808e-09
1911,4.256299490634774e-08,4.788336838146279e-09
1912,2.7609932118366487e-08,2.6047106693738442e-09
1913,4.295421618394357e-08,1.3257474229533273e-08
1914,3.147469485043075e-08,4.018046340092951e-09
1915,8.010918151057922e-08,1.6493066468115103e-08
1916,2.197492321442951e-08,1.0987462051303964e-09
1917,4.8252267959014716e-08,4.386569774084137e-09
1918,4.5945505178224266e-08,1.033773866510046e-08
1919,5.800944435918609e-08,7.366278698128781e-09
1920,4.619061400035207e-08,6.057785384427916e-09
1921,2.196096815509918e-08,6.058197943303867e-09
1922,4.426761179843197e-08,6.640141769764796e-09
1923,3.715581797791856e-08,1.3800733000834953e-08
1924,2.4494086758863887e-08,1.2891624656674594e-08
1925,3.079489729884699e-08,8.798542339150117e-09
1926,2.6750733184144337e-08,1.1146138456652466e-09
1927,2.6758140592164636e-08,0.0
1928,2.0566874425753667e-08,9.14083297942625e-09
1929,3.342121956961819e-08,1.1140406375176326e-09
1930,1.8906487042613662e-08,3.1510811737689437e-09
1931,4.334035708097872e-08,4.5621426636444085e-09
1932,4.164623845781534e-08,1.4247397928102146e-08
1933,3.4411986149507356e-08,8.02946331646126e-09
1934,3.1152108448395666e-08,8.38710612072191e-09
1935,3.231436807027421e-08,5.98414207075848e-09
