year,soit_VERB aux_ADP,soit_VERB tôt_ADV
1800,4.842013368033804e-07,9.432493897065797e-09
1801,4.2385050846860395e-07,1.6668277424969347e-08
1802,5.303680836732383e-07,1.3427040812530322e-08
1803,5.343929387890967e-07,1.950339267864365e-08
1804,5.957160738034872e-07,1.4831105232815389e-08
1805,3.809456075032358e-07,8.528632911009026e-09
1806,5.07173751884693e-07,2.881669125542885e-09
1807,5.864727654625312e-07,5.693910232196231e-09
1808,4.44150515477304e-07,0.0
1809,6.822272098361282e-07,1.581321384946932e-08
1810,4.914266469313588e-07,1.6380887757350138e-08
1811,4.1868182165671897e-07,0.0
1812,6.347955832097796e-07,0.0
1813,4.227340184570494e-07,0.0
1814,3.9648131178182666e-07,0.0
1815,3.695196255648625e-07,1.0788894222457657e-08
1816,4.4266235477152804e-07,2.3176038865813098e-09
1817,5.137682137501542e-07,1.71256075987003e-08
1818,4.1128060956907575e-07,0.0
1819,4.482004669625894e-07,3.1053151161586356e-09
1820,3.9159388620646496e-07,2.3732962262101864e-09
1821,3.9643182958570833e-07,1.8736827200882544e-08
1822,4.6819627641525585e-07,1.4035862250239006e-08
1823,4.2693207547017664e-07,7.906149512848515e-09
1824,4.5895063749412657e-07,1.0947446504872005e-08
1825,5.521012553799665e-07,7.924898959288385e-09
1826,3.91955296663582e-07,2.554315514657901e-08
1827,5.244628482614644e-07,1.8434546111834038e-09
1828,4.4944275146008295e-07,9.172301140836225e-09
1829,5.229637167758483e-07,1.0287811491593857e-08
1830,5.552396942221094e-07,1.1480519646056564e-08
1831,4.459084834707028e-07,1.870944643656003e-08
1832,4.5866596565247164e-07,5.411987746839486e-09
1833,5.015710939915152e-07,1.50587169400751e-08
1834,5.862085572516662e-07,3.733812370398937e-09
1835,4.749619222366164e-07,9.832014313815307e-09
1836,5.537897891372268e-07,4.032449929525228e-09
1837,4.7522394197585527e-07,6.262101948095733e-09
1838,4.734121432647953e-07,6.312161904276081e-10
1839,5.579196908911399e-07,6.9914751765765e-10
1840,5.274102363728161e-07,0.0
1841,6.362763542711036e-07,1.0272877659645019e-08
1842,5.829482461194857e-07,3.5553803456878086e-08
1843,5.274871455185348e-07,1.2995204023980023e-08
1844,5.905691864427354e-07,6.586273748609983e-09
1845,5.948522812104784e-07,5.580227835366713e-09
1846,5.47981301224354e-07,1.0538101946622191e-08
1847,6.11591588040028e-07,1.1865092020002521e-08
1848,6.910845513630193e-07,2.413566457803995e-09
1849,6.217525765350729e-07,5.865590679832167e-09
1850,6.979087743275159e-07,2.0366988096043315e-09
1851,5.720652325180708e-07,1.2898877521649865e-09
1852,6.608203761970799e-07,1.1067927019325907e-08
1853,5.858465215169417e-07,1.4929829816878737e-08
1854,5.954231596660975e-07,5.7152309551611324e-09
1855,5.742106168327155e-07,1.5920811335945473e-08
1856,6.616447763008182e-07,2.0708756931497874e-09
1857,5.555157258640975e-07,1.0739319655783675e-08
1858,5.378149694479362e-07,2.4468380654951716e-09
1859,5.866183983016526e-07,1.2221216039165483e-08
1860,6.971051220716618e-07,2.746310290291376e-09
1861,7.144685127968842e-07,8.960331143725853e-09
1862,6.953180786695157e-07,7.228778020618165e-09
1863,6.083448056415364e-07,1.1487627737949424e-08
1864,7.072223979776027e-07,7.1920918109924514e-09
1865,7.272074640241044e-07,1.0825742080555756e-08
1866,6.500458766822703e-07,4.865612801552288e-09
1867,6.721143677168584e-07,3.396968040192405e-09
1868,7.365352416854876e-07,1.1855697756857353e-08
1869,6.582984042324824e-07,9.767038289254515e-10
1870,6.215709049683937e-07,6.880858549607183e-09
1871,8.018988637559232e-07,5.3105884134652115e-09
1872,7.625694706803188e-07,1.3908880269752899e-08
1873,7.620183737344632e-07,8.380406590902112e-09
1874,7.127708840926061e-07,0.0
1875,7.111858053576725e-07,1.2015206607429718e-08
1876,7.140343427636253e-07,1.4510435519810017e-08
1877,8.003152061064611e-07,3.710889595609501e-09
1878,6.316886924651044e-07,1.268208649207736e-08
1879,6.927974709469709e-07,5.498392852132383e-09
1880,6.725902608195611e-07,1.3477476912271413e-08
1881,7.878933274696465e-07,6.9725074602899895e-09
1882,6.968188017708599e-07,1.9966155395678697e-09
1883,7.690635470680718e-07,5.0554711528150165e-09
1884,6.628103506045591e-07,5.941527270181268e-09
1885,7.373807306976232e-07,9.66845359329227e-09
1886,6.814858011239266e-07,5.808117542471791e-09
1887,7.318924417631933e-07,5.876032105334161e-09
1888,7.285366336873267e-07,9.510921827882157e-09
1889,7.042013976388262e-07,8.771191772893872e-09
1890,8.664898700772028e-07,9.176140736144589e-09
1891,6.23398705101863e-07,1.0198752065093686e-08
1892,8.255630632447719e-07,2.5074049503359674e-09
1893,7.815030471647333e-07,4.926733243593162e-09
1894,6.635521003772737e-07,6.9316934414587195e-09
1895,6.981592832744354e-07,4.814891596538473e-09
1896,7.819460279279156e-07,1.0614652268259306e-08
1897,8.262279607151868e-07,5.826713334045053e-09
1898,8.125397812364099e-07,4.52668391659472e-09
1899,7.810468218849564e-07,1.713549302451156e-08
1900,7.418015002258471e-07,8.30568502863116e-09
1901,8.299277283185802e-07,4.470991132876634e-09
1902,7.610939860569488e-07,5.4013122863239005e-09
1903,8.084129490271152e-07,4.320176216765503e-09
1904,7.395484544758801e-07,6.449550227216605e-09
1905,9.820925015446846e-07,7.2250627702885595e-09
1906,8.842853276291862e-07,9.259531807970234e-09
1907,8.377691642635909e-07,5.142843484406967e-09
1908,7.146070970520668e-07,3.437972351250096e-09
1909,7.096268745954148e-07,3.300590023513905e-09
