year,sont_VERB aux_ADP,sont_VERB tôt_ADV
1800,2.5499173261778196e-06,3.458580977167003e-08
1801,2.5169099444610765e-06,5.000483582762172e-08
1802,2.2714077658747556e-06,2.9091921760482364e-08
1803,2.76558102996205e-06,1.5797748176282767e-07
1804,2.8352130811981624e-06,1.2359254952798437e-08
1805,3.033350594705553e-06,3.980028751016107e-08
1806,2.4811170078464784e-06,4.8988376022407465e-08
1807,2.644821279318421e-06,5.124519120158766e-08
1808,2.7034263894165633e-06,4.5321479902327155e-09
1809,2.79216169474239e-06,1.129515236897305e-08
1810,2.2301408080238616e-06,2.106114038724627e-08
1811,2.0332392978161806e-06,0.0
1812,2.3444761154678417e-06,2.6672082320544632e-09
1813,2.0590309759427328e-06,4.3136125782439194e-08
1814,1.8974462818732718e-06,1.8880061958270744e-08
1815,2.0121287889196537e-06,1.8880564667256294e-08
1816,2.180865294576506e-06,6.257530316133852e-08
1817,2.0675279301940463e-06,3.580808893843823e-08
1818,1.952688762685284e-06,5.126106117359086e-08
1819,1.7120636357503827e-06,2.173720581311045e-08
1820,2.1893656594329514e-06,6.526564533260171e-08
1821,2.112330776071758e-06,4.7335142028259725e-08
1822,2.2276917661656626e-06,5.9151133768864383e-08
1823,1.717610984997009e-06,2.174191138237802e-08
1824,2.10275175049901e-06,1.2631669044083083e-08
1825,2.3211148345581023e-06,3.0819052199149155e-08
1826,1.6788018228908186e-06,1.5854372037438225e-08
1827,1.9015234329344821e-06,3.3182182335167454e-08
1828,1.8729839439401985e-06,4.769596628761974e-08
1829,1.8389462184131844e-06,1.971830521085849e-08
1830,1.8473199361324077e-06,2.6092090266160994e-08
1831,1.7727201111483737e-06,2.0268567268999504e-08
1832,2.02002433979942e-06,6.764984572527055e-09
1833,1.9008734852832276e-06,1.50587169400751e-08
1834,1.965852106877719e-06,1.4001796166951408e-08
1835,1.891528313535673e-06,4.386591001548368e-08
1836,2.0646143639169168e-06,2.5538851033957144e-08
1837,2.0031768599437783e-06,2.365682938432201e-08
1838,2.1013186142226914e-06,1.830527018853445e-08
1839,1.798207449610345e-06,1.8876983531868063e-08
1840,1.8962563217428396e-06,4.0129037870428874e-08
1841,2.01733632820833e-06,1.219904177673925e-08
1842,1.858860287029529e-06,1.542900918138912e-08
1843,1.7638036524658673e-06,2.008349753168659e-08
1844,1.8540359860708122e-06,1.5916826967554698e-08
1845,1.7761865365173435e-06,2.3436957263811564e-08
1846,1.9565743514249334e-06,1.2879903366069811e-08
1847,1.7290675486947293e-06,1.6179670936367074e-08
1848,1.8906271179730538e-06,2.413566591030758e-08
1849,1.8660956584426458e-06,1.1731181359664333e-08
1850,1.915175744215958e-06,1.765138968323754e-08
1851,1.8232562979392242e-06,1.9993260380601896e-08
1852,1.8730838746705558e-06,1.3672145193766028e-08
1853,1.6697521232345025e-06,1.2541057081705276e-08
1854,1.6662495454511372e-06,2.7537021551893304e-08
1855,1.6472732795591583e-06,3.131092896069276e-08
1856,1.666537173150573e-06,2.0708757375587084e-08
1857,1.7226846011908492e-06,2.245494101771328e-08
1858,2.0147263057879172e-06,3.0830157982109085e-08
1859,1.8398022803012282e-06,4.939408171367177e-08
1860,1.6999661056615878e-06,1.6935580049448618e-08
1861,1.819418798731931e-06,3.1125360067107977e-08
1862,1.8315915895072976e-06,2.981871105589562e-08
1863,1.718649059512245e-06,1.6482248454963155e-08
1864,1.80233826085896e-06,1.342523781033833e-08
1865,1.894975525829068e-06,2.023943146411966e-08
1866,1.837742047428037e-06,9.244664589402873e-09
1867,1.88871422324155e-06,1.0190904120577216e-08
1868,1.9077792785537895e-06,2.222943251695142e-08
1869,1.6525829096281086e-06,4.737013625799591e-08
1870,1.7632199842410046e-06,1.6628741050794815e-08
1871,1.7142580190920853e-06,2.2304472935275044e-08
1872,1.617058501324209e-06,2.1770421909650395e-08
1873,1.700623897704645e-06,2.454261860407314e-08
1874,1.5115761016204488e-06,1.0754296120296658e-08
1875,1.668397317189374e-06,2.5174719198162165e-08
1876,1.648143665988755e-06,3.083467703390852e-08
1877,1.7762791912900866e-06,1.2369632429454214e-08
1878,1.53755195242411e-06,1.3889904337816006e-08
1879,1.7381030374963302e-06,1.5273313280772527e-08
1880,1.6095958699224866e-06,1.8611753915820373e-08
1881,1.8560815533419373e-06,1.3945014920579979e-08
1882,1.5779918385305791e-06,2.1297232422057277e-08
1883,2.039250603047549e-06,1.4534479397809719e-08
1884,1.6425021840404952e-06,1.7164412113856997e-08
1885,1.5495307934543234e-06,7.7347630522695e-09
1886,1.584970732437796e-06,1.4197620856748472e-08
1887,1.6263551287920563e-06,1.566941953967671e-08
1888,1.6929441244428745e-06,2.028996703984376e-08
1889,1.650236981731723e-06,8.771191772893872e-09
1890,1.6379411817979417e-06,1.5730527991308918e-08
1891,1.531087605144421e-06,1.0836173736095134e-08
1892,1.6956325907813152e-06,2.0686091062316336e-08
1893,1.5063486671351711e-06,1.9091091374434654e-08
1894,1.5779054365339107e-06,2.2685540557176864e-08
1895,1.7044716287273332e-06,1.5648398132839247e-08
1896,1.752007278810197e-06,1.592197840238896e-08
1897,1.5662205896660453e-06,1.1070755867592652e-08
1898,1.654502966630389e-06,1.9238406423482957e-08
1899,1.6085252809716621e-06,9.39688327150634e-09
1900,1.670480855864298e-06,1.453494924419374e-08
1901,1.628558493393939e-06,1.8442838367604963e-08
1902,1.5987884580681566e-06,1.718599307309887e-08
1903,1.609805622138083e-06,1.674068350610014e-08
1904,1.414601342730748e-06,1.2361637935498493e-08
1905,1.585385234648129e-06,2.0643035725242953e-08
1906,1.5159911299633677e-06,1.0802787109298606e-08
1907,1.5263958630384877e-06,1.7999951751335175e-08
1908,1.6291077145069721e-06,5.893666887857307e-09
1909,1.5809827118573594e-06,1.3752458727367411e-08
1910,1.5770588106533978e-06,1.870452770447173e-08
1911,1.5514210645051207e-06,2.553779587799454e-08
