year,quand_CONJ elle_PRON,quand_CONJ tel_ADJ
1800,3.203589290023956e-05,1.5720821977538435e-08
1801,3.234122232242953e-05,0.0
1802,3.0076570737946895e-05,3.1329761895904085e-08
1803,3.068273599637905e-05,7.801356671777171e-09
1804,3.09154399928957e-05,6.921182915675672e-08
1805,3.0660436323159956e-05,1.1371510844071508e-08
1806,2.841902028194454e-05,7.780506905419315e-08
1807,2.6712980115917162e-05,2.2775641816963343e-08
1808,2.690056476239988e-05,4.5321479902327155e-09
1809,2.4295873117807787e-05,9.036122294858728e-09
1810,2.756669391601463e-05,2.3401267590372754e-09
1811,2.2162558025229373e-05,1.0028307073639553e-08
1812,2.469568130436528e-05,8.00162469616339e-09
1813,2.572926086941152e-05,0.0
1814,2.3902158773125848e-05,1.8880061958270744e-08
1815,2.3991804255274474e-05,2.697223555614414e-09
1816,2.954713158942468e-05,2.3176038865813098e-09
1817,3.0198672675396665e-05,3.269434234454138e-08
1818,2.788244250950811e-05,1.0729059640723904e-08
1819,2.513338426979317e-05,3.415846450138815e-08
1820,3.0678414077556226e-05,3.203949905383752e-08
1821,2.943752906503505e-05,2.0709124859408234e-08
1822,2.7221552954870276e-05,1.0025615893027862e-08
1823,2.6616051627570414e-05,2.2730180404550993e-08
1824,2.734756367317459e-05,2.4421227706739046e-08
1825,2.874272763619956e-05,5.811592274085342e-08
1826,2.525601348679629e-05,2.025836387531399e-08
1827,2.5394508611498168e-05,2.2121455778290056e-08
1828,2.6548309051577235e-05,2.2013523448549677e-08
1829,2.535173939577362e-05,3.25780691312616e-08
1830,2.61411430528824e-05,4.0703660886265425e-08
1831,2.6921335120277945e-05,3.1182411319718994e-08
1832,2.97172239243082e-05,2.3000948257134723e-08
1833,2.6491757580515696e-05,2.6642346107053072e-08
1834,2.9610998808493605e-05,3.547121796287911e-08
1835,2.8220150397828547e-05,3.554651328840919e-08
1836,2.9319272925931728e-05,3.158752615028959e-08
1837,2.8303309136390453e-05,3.896419054072453e-08
1838,2.797487104544416e-05,2.7773512156770153e-08
1839,2.7149295647177496e-05,1.4682097759788348e-08
1840,2.6994740210284363e-05,2.6752692061648986e-08
