year,fut_VERB au_ADP,fut_VERB tôt_ADV
1800,3.7226907352305716e-06,3.144164484325529e-09
1801,3.838466454908485e-06,0.0
1802,2.9852787974959938e-06,0.0
1803,2.640759248606628e-06,0.0
1804,2.857459776350879e-06,0.0
1805,3.3147953217849135e-06,5.685755422035754e-09
1806,3.086267724938807e-06,2.881669125542885e-09
1807,2.886812580982223e-06,2.8469551160981155e-09
1808,3.4512306683609495e-06,0.0
1809,3.0406549740291666e-06,0.0
1810,3.566353143469314e-06,7.020380277111826e-09
1811,3.863405254378449e-06,2.5070767684098882e-09
1812,3.099296009168029e-06,0.0
1813,3.511280510792858e-06,5.751483289628823e-09
1814,4.625615474651568e-06,0.0
1815,3.843543709081132e-06,8.091670444798638e-09
1816,3.1287652291212e-06,2.0858434979231788e-08
1817,3.615059995354386e-06,4.670620334934483e-09
1818,3.953062332584523e-06,0.0
1819,3.984119302913314e-06,3.1053151161586356e-09
1820,4.333639026299352e-06,4.746592452420373e-09
1821,3.5067453154624673e-06,1.0847637454958203e-08
1822,4.224794338369975e-06,4.0102463572111446e-08
1823,4.7901385187287815e-06,2.569498569471307e-08
1824,4.8724559746915475e-06,3.2842340402794434e-08
1825,5.518371381185716e-06,8.805443041381977e-10
1826,4.314150828577112e-06,3.3470339388941284e-08
1827,4.657488261727849e-06,5.530363722527909e-09
1828,3.5854525322065456e-06,9.172301251858528e-10
1829,4.513777184911305e-06,8.830371456269859e-08
1830,3.965997620980488e-06,4.174734336004349e-09
1831,3.8026951187930536e-06,0.0
1832,3.961575202993117e-06,0.0
1833,3.79595508093189e-06,2.3167257001688313e-09
1834,4.0633212847751565e-06,9.334530925997342e-10
1835,4.2784390643646475e-06,1.4369867074037757e-08
1836,4.40746771346312e-06,2.016225053580456e-08
1837,4.391820766613819e-06,1.3219993100221927e-08
1838,5.078134108771337e-06,2.2723781967215473e-08
1839,4.0256913962366525e-06,2.7965900706306e-09
1840,3.983603164670058e-06,3.9492068282243054e-08
1841,3.5672567264555255e-06,1.733548060656176e-08
1842,3.9263477447093464e-06,8.049918065466954e-09
1843,3.974169885623269e-06,4.134837805480629e-09
1844,3.892487711709691e-06,2.195424508855126e-09
1845,3.6037113204656634e-06,1.674068439427856e-09
