year,seraient_VERB au_ADP,seraient_VERB tôt_ADV
1800,1.7921738049153646e-07,3.144164484325529e-09
1801,1.4048977448055666e-07,2.3811825844433088e-09
1802,2.0588129245879827e-07,2.2378401354217203e-09
1803,1.8138155155611457e-07,2.145373123596528e-08
1804,2.2493843232496147e-07,0.0
1805,1.6772978028711805e-07,2.842877711017877e-09
1806,2.247701900159882e-07,0.0
1807,2.761546511464985e-07,1.4234775136401367e-08
1808,1.7222161829977267e-07,6.798221985349073e-09
1809,2.3268013649158092e-07,0.0
1810,2.433731935980177e-07,0.0
1811,3.0335630185618356e-07,0.0
1812,2.4004873466765275e-07,0.0
1813,1.8404746526812232e-07,0.0
1814,2.2970742463712668e-07,1.2586708564299443e-08
1815,2.022917726662854e-07,5.394447111228828e-09
1816,1.715026911597306e-07,0.0
1817,2.506566261217813e-07,2.9580593974287694e-08
1818,2.384235529007128e-07,4.768470951432846e-09
1819,2.8154855158391e-07,9.315945348475907e-09
1820,2.9428872494463576e-07,1.1866481131050932e-09
1821,2.7316323780723906e-07,8.875339574387908e-09
1822,3.2081970857689157e-07,0.0
1823,2.2433698632084997e-07,1.9765373782121287e-09
1824,3.680026168240147e-07,1.0105335235266466e-08
1825,3.707091593696532e-07,7.924898959288385e-09
1826,2.2372280739091366e-07,0.0
1827,4.147772756368795e-07,5.530363722527909e-09
1828,3.457957689079194e-07,0.0
1829,4.1236975789615826e-07,0.0
1830,2.3795985271135578e-07,7.305785310052215e-09
1831,2.759643393801525e-07,2.6505050598757407e-08
1832,3.5177919244233635e-07,1.8941957335982806e-08
1833,3.567757573819108e-07,1.3900354645102198e-08
1834,4.993974016542779e-07,1.120143711119681e-08
1835,2.987419804867386e-07,1.2100940693926532e-08
1836,3.0982658927314333e-07,1.2097349788575684e-08
1837,3.3537034482833405e-07,1.7394727436226276e-08
1838,2.840472745901934e-07,1.830527018853445e-08
1839,3.719464700679964e-07,6.9914749545318955e-09
1840,2.955535478577076e-07,2.5478754661634184e-09
1841,3.428573052133288e-07,8.988767952189392e-09
1842,3.4614646438058116e-07,1.0062397137744483e-08
