year,quand_CONJ elle_PRON,quand_CONJ telle_ADJ
1800,3.203589290023956e-05,0.0
1801,3.234122232242953e-05,2.3811825844433088e-09
1802,3.0076570737946895e-05,2.2378401354217203e-09
1803,3.068273599637905e-05,9.751696339321825e-09
1804,3.09154399928957e-05,0.0
1805,3.0660436323159956e-05,5.685755422035754e-09
1806,2.841902028194454e-05,0.0
1807,2.6712980115917162e-05,5.693910232196231e-09
1808,2.690056476239988e-05,0.0
1809,2.4295873117807787e-05,2.259030518203531e-09
1810,2.756669391601463e-05,2.3401267590372754e-09
1811,2.2162558025229373e-05,0.0
1812,2.469568130436528e-05,0.0
1813,2.572926086941152e-05,0.0
1814,2.3902158773125848e-05,1.2586708564299443e-08
1815,2.3991804255274474e-05,2.697223555614414e-09
1816,2.954713158942468e-05,0.0
1817,3.0198672675396665e-05,0.0
1818,2.788244250950811e-05,3.5763532135746345e-09
1819,2.513338426979317e-05,1.3456364911235141e-08
1820,3.0678414077556226e-05,4.746592452420373e-09
1821,2.943752906503505e-05,1.9722976585256902e-08
1822,2.7221552954870276e-05,7.017931125119503e-09
1823,2.6616051627570414e-05,6.917880934764753e-09
1824,2.734756367317459e-05,6.736890156844311e-09
1825,2.874272763619956e-05,1.0566531427613768e-08
1826,2.525601348679629e-05,5.284790383086602e-09
1827,2.5394508611498168e-05,9.217273055917019e-10
1828,2.6548309051577235e-05,1.0089530988466322e-08
1829,2.535173939577362e-05,1.628903412154159e-08
1830,2.61411430528824e-05,1.982998831806526e-08
1831,2.6921335120277945e-05,6.236482441579483e-09
1832,2.97172239243082e-05,8.117981509236927e-09
1833,2.6491757580515696e-05,5.791814250422078e-09
1834,2.9610998808493605e-05,6.534171648198139e-09
1835,2.8220150397828547e-05,2.4958190181223472e-08
1836,2.9319272925931728e-05,6.72075017860152e-09
1837,2.8303309136390453e-05,9.045257765016856e-09
1838,2.797487104544416e-05,7.574594063086693e-09
1839,2.7149295647177496e-05,5.5931801412612e-09
1840,2.6994740210284363e-05,1.3376346252869098e-08
1841,2.692007547011599e-05,1.0272877659645019e-08
1842,2.806402585520118e-05,1.2074877098200432e-08
1843,2.7667972062772606e-05,1.594865972620596e-08
1844,2.985063724736392e-05,1.2623690537338916e-08
1845,2.8107049729442224e-05,1.4508592549589139e-08
1846,2.7789561045210576e-05,5.854501106128396e-09
1847,2.4797503328954917e-05,9.168480197274675e-09
1848,2.5578978693374665e-05,3.218088684420195e-09
1849,2.643789252942952e-05,1.843471353346615e-08
1850,2.6872203534367145e-05,8.146795238417326e-09
1851,2.621438829919498e-05,1.2898877521649865e-09
1852,2.7828024485643255e-05,3.906327261660181e-09
1853,2.8648551506194053e-05,1.6721409368258833e-08
1854,2.8712800030916696e-05,1.195002835574499e-08
1855,3.0025588785065338e-05,3.714855978387277e-09
1856,3.0083610909059644e-05,7.248064815001953e-09
1857,3.056849845961551e-05,7.810414537345878e-09
1858,3.0465091185760684e-05,1.1744822003834088e-08
1859,3.24626057590649e-05,1.018434669930457e-08
1860,2.9514597827073885e-05,9.612086404597875e-09
1861,3.129513447674981e-05,9.431927461278633e-10
1862,3.0009819511178648e-05,1.2198563048571032e-08
1863,2.9363875910348725e-05,4.9946209945694875e-09
1864,3.0159317702782573e-05,5.753673537611803e-09
1865,3.030972493434092e-05,4.706844358715045e-10
