year,quand_CONJ elles_PRON,quand_CONJ telle_ADJ
1800,1.7110543922171928e-05,0.0
1801,1.3258424360174104e-05,2.3811825844433088e-09
1802,1.3648587355419295e-05,2.2378401354217203e-09
1803,1.484403173890314e-05,9.751696339321825e-09
1804,1.4485046676782076e-05,0.0
1805,1.2471704906147352e-05,5.685755422035754e-09
1806,1.0653530353010865e-05,0.0
1807,1.1077502506395831e-05,5.693910232196231e-09
1808,9.948064928266831e-06,0.0
1809,1.221683692165243e-05,2.259030518203531e-09
1810,1.0771603911052807e-05,2.3401267590372754e-09
1811,1.050715877681796e-05,0.0
1812,1.0138058485154033e-05,0.0
1813,9.308775418048754e-06,0.0
1814,9.251230494555784e-06,1.2586708564299443e-08
1815,1.0155046879845031e-05,2.697223555614414e-09
1816,1.3163989819986455e-05,0.0
1817,1.2543729440039897e-05,0.0
1818,1.1352537626407866e-05,3.5763532135746345e-09
1819,1.0187503505676432e-05,1.3456364911235141e-08
1820,1.118178539627479e-05,4.746592452420373e-09
1821,1.0641532071531401e-05,1.9722976585256902e-08
1822,9.752919595484855e-06,7.017931125119503e-09
1823,9.509121184692049e-06,6.917880934764753e-09
1824,9.435014703740308e-06,6.736890156844311e-09
1825,1.0102484793605981e-05,1.0566531427613768e-08
1826,1.0487666770586657e-05,5.284790383086602e-09
1827,9.532504009257536e-06,9.217273055917019e-10
1828,9.853802907855425e-06,1.0089530988466322e-08
1829,9.653396489284205e-06,1.628903412154159e-08
1830,1.0149822401217534e-05,1.982998831806526e-08
1831,9.997081406254438e-06,6.236482441579483e-09
1832,1.0932215445791371e-05,8.117981509236927e-09
1833,1.0956954611174297e-05,5.791814250422078e-09
1834,1.0770181916086585e-05,6.534171648198139e-09
1835,1.060950006603889e-05,2.4958190181223472e-08
1836,1.08533391767196e-05,6.72075017860152e-09
1837,1.0473017709955457e-05,9.045257765016856e-09
1838,1.0024975154010463e-05,7.574594063086693e-09
1839,1.0311726498457574e-05,5.5931801412612e-09
1840,9.63670186138188e-06,1.3376346252869098e-08
1841,9.971753627269209e-06,1.0272877659645019e-08
1842,9.610931215320306e-06,1.2074877098200432e-08
1843,1.0138621803434944e-05,1.594865972620596e-08
1844,1.0435950514420256e-05,1.2623690537338916e-08
1845,1.0582902632449986e-05,1.4508592549589139e-08
1846,1.0928597589554556e-05,5.854501106128396e-09
1847,9.32056946112425e-06,9.168480197274675e-09
1848,9.670356462265772e-06,3.218088684420195e-09
1849,9.66733074392323e-06,1.843471353346615e-08
1850,9.381034487887518e-06,8.146795238417326e-09
1851,1.006305944883934e-05,1.2898877521649865e-09
1852,1.0405804857782641e-05,3.906327261660181e-09
1853,1.0538668050230626e-05,1.6721409368258833e-08
1854,9.955412508588779e-06,1.195002835574499e-08
1855,1.070037734507423e-05,3.714855978387277e-09
1856,1.0933187866157823e-05,7.248064815001953e-09
1857,1.046058548581641e-05,7.810414537345878e-09
1858,1.0086845009027456e-05,1.1744822003834088e-08
1859,1.0439464745104488e-05,1.018434669930457e-08
1860,1.0077585670842382e-05,9.612086404597875e-09
1861,1.052084331831793e-05,9.431927461278633e-10
1862,9.687465933438943e-06,1.2198563048571032e-08
1863,9.236552159563871e-06,4.9946209945694875e-09
1864,1.0011871495407831e-05,5.753673537611803e-09
1865,1.0020400566190801e-05,4.706844358715045e-10
1866,9.871842109987483e-06,9.244664589402873e-09
1867,9.570714780693379e-06,2.91168689159349e-09
1868,9.804167746096937e-06,1.975949626142892e-09
1869,9.68987870919591e-06,1.953407657850903e-09
1870,9.29890723000426e-06,1.1468097582678638e-08
1871,8.825136490031582e-06,2.7615060460561835e-08
1872,8.925268389248231e-06,1.0280476692159368e-08
1873,9.90144974366558e-06,5.9860045809045914e-09
1874,9.91605838862597e-06,1.1949218281515073e-09
1875,9.527487350169395e-06,4.005069165202713e-09
1876,9.801799365050101e-06,4.836811839936672e-09
1877,9.472045690017694e-06,1.4225077116236662e-08
1878,8.832770902245102e-06,7.2469061862534545e-09
1879,9.206142237871973e-06,4.887460214320072e-09
1880,8.66986897563038e-06,7.701415727368044e-09
1881,8.60965252513779e-06,3.4862537301449947e-09
1882,8.634031473775394e-06,1.3310770485830403e-08
1883,8.824324936540506e-06,7.583206729222525e-09
1884,8.231656011048472e-06,7.922036360241691e-09
1885,8.626838962300099e-06,6.445635691854079e-10
1886,8.29011958103365e-06,2.5813855497602844e-09
1887,8.894354436961294e-06,6.528924512139156e-09
1888,8.313180103414197e-06,2.53624587998047e-09
1889,7.863999428536772e-06,3.1325683158556217e-09
1890,8.541676606910187e-06,1.3108772956016423e-09
1891,8.394210226470022e-06,4.461953917456185e-09
1892,8.068829288276902e-06,1.002961980134387e-08
1893,8.26705826284524e-06,1.1085150131151522e-08
1894,8.376636344564758e-06,3.150769645188234e-09
1895,8.58976619610985e-06,2.4074457982692365e-09
1896,8.22753503371132e-06,4.127920172347643e-09
1897,8.143415072936477e-06,3.4960281336537946e-09
1898,8.175191339887533e-06,5.6583546736987955e-09
1899,8.023832947401388e-06,4.4220627160029835e-09
1900,8.254812883023988e-06,9.34389543516545e-09
1901,7.787907634337898e-06,2.794369458047896e-09
1902,7.689013386880106e-06,1.4730851538580225e-09
1903,7.757416256026772e-06,3.2401321625741275e-09
1904,7.7657957149313e-06,2.6873125946735854e-09
1905,7.658050208192435e-06,1.3934049247765756e-08
1906,7.838708540930384e-06,5.144184522798412e-09
1907,7.770322156375187e-06,5.6571278217454335e-09
1908,7.614126275257149e-06,3.437972351250096e-09
1909,7.884559863668983e-06,4.400786846048277e-09
1910,7.809407350123365e-06,1.068830135508847e-09
1911,7.788495508975757e-06,4.788336616101674e-09
1912,7.560432891295932e-06,5.209421227725386e-09
1913,7.292141162906773e-06,2.121195885607108e-09
1914,7.189624227521563e-06,2.6786975415582504e-09
1915,6.882321201828745e-06,1.1780761921542648e-09
1916,7.150640101372119e-06,0.0
1917,7.606311839936097e-06,1.0966424435210342e-09
1918,7.768236059746414e-06,0.0
1919,6.9942815912327205e-06,2.762354567309444e-09
1920,7.273885842096206e-06,7.572231730534895e-10
