year,fût_VERB en_PRON,fût_VERB tant_ADV
1800,6.917161954334006e-08,1.5720821977538435e-08
1801,2.8574191901498125e-08,2.3811825844433088e-09
1802,6.713520406265161e-08,4.475680270843441e-09
1803,6.241085515057421e-08,7.801356893821776e-09
1804,3.460591457837836e-08,3.9549615138412264e-08
1805,1.1371510844071508e-08,3.695740957709859e-08
1806,1.440834580535011e-07,4.8988376022407465e-08
1807,3.9857372513552036e-08,2.562259560079383e-08
1808,2.7192887941396293e-08,2.2660739951163578e-09
1809,5.6475762733043666e-08,2.4849335034105025e-08
1810,6.31834211617388e-08,9.360507036149102e-09
1811,5.515568801683912e-08,3.259199843341776e-08
1812,2.6672083208723052e-08,0.0
1813,2.8757416004054903e-08,5.751483289628823e-09
1814,3.1466772298927026e-08,2.2026739543434815e-08
1815,4.8550024445148665e-08,5.394447111228828e-09
1816,3.244645441213834e-08,3.9399267848239106e-08
1817,3.42512151974006e-08,1.401186100480345e-08
1818,5.126106117359086e-08,2.5034472272977837e-08
1819,5.4860564091541164e-08,3.519356894798875e-08
1820,4.390598107306687e-08,1.542642635854463e-08
1821,8.875339574387908e-08,3.648750634965836e-08
1822,3.408709403629473e-08,1.9048670196752937e-08
1823,9.78386012207011e-08,5.0401702367253165e-08
1824,8.000056794799093e-08,3.115811608722652e-08
1825,5.547429182684027e-08,1.8491430608946757e-08
1826,5.108631029315802e-08,1.4973572604048968e-08
1827,7.373818533551457e-08,4.055600300034712e-08
1828,5.6868266540277546e-08,1.559291185060374e-08
1829,6.601345603485242e-08,1.628903412154159e-08
1830,2.2961039292113128e-08,1.7742621594152297e-08
1831,9.354723218280014e-09,1.2472964883158966e-08
1832,3.3824925083081325e-08,1.352996914505411e-08
1833,3.8225973497674204e-08,3.359252431778259e-08
1834,4.85395617033646e-08,1.9602515166639023e-08
1835,4.9160071569076536e-08,2.7983425354705105e-08
1836,3.696412420595152e-08,3.1587525484155776e-08
1837,4.244313345225237e-08,2.2265250976261086e-08
1838,9.152634561360173e-08,3.597932263232906e-08
1839,3.705481788074394e-08,1.3982949909063791e-08
1840,4.968357103507515e-08,2.6752692505738196e-08
1841,5.393260948949319e-08,4.365973182984817e-08
1842,4.159124245006751e-08,1.0733224087289273e-08
1843,3.9576303123567413e-08,2.539971788451112e-08
1844,4.7750482679020934e-08,2.360081374774836e-08
1845,4.464182268293371e-08,1.8414752389617206e-08
1846,2.5759806732139623e-08,3.1614305839866574e-08
1847,4.314578916364553e-08,1.4022381478184798e-08
1848,2.574470947536156e-08,2.091757700384278e-08
1849,3.603148357456121e-08,1.75967720394965e-08
1850,3.530277936647508e-08,1.5614691761811628e-08
1851,4.321124080775007e-08,1.2253933867611977e-08
1852,3.6459056218518526e-08,2.018269107395554e-08
1853,2.9262466227919504e-08,2.508211416341055e-08
1854,4.2604447969551984e-08,1.2469595134234623e-08
1855,3.980202833986368e-08,2.3350523292720027e-08
1856,4.40061072026765e-08,2.692138423299184e-08
1857,4.3445432140742923e-08,4.1980978693345605e-08
1858,4.991549573674092e-08,1.7127865348243176e-08
1859,4.379269213927728e-08,2.64793023063703e-08
1860,4.073693560258107e-08,1.876645328025006e-08
1861,2.0750240636857598e-08,1.839225838295988e-08
1862,6.776979688538631e-08,1.1294965851504912e-08
1863,4.395266373080631e-08,2.3974180862751382e-08
1864,3.5001512799226475e-08,1.1986819536957682e-08
1865,5.036323358353911e-08,1.1767110841276462e-08
1866,3.6978658357611494e-08,9.244664589402873e-09
1867,4.367530337390235e-08,2.2808213984149006e-08
