year,seront_VERB en_PRON,seront_VERB tant_ADV
1800,2.829747991484055e-08,1.5720821977538435e-08
1801,6.191074675143682e-08,2.3811825844433088e-09
1802,4.0281122437590966e-08,4.475680270843441e-09
1803,2.9255089017965474e-08,7.801356893821776e-09
1804,6.426812149129546e-08,2.2246657849223084e-08
1805,8.52863308864471e-08,5.685755422035754e-09
1806,7.204172902675055e-08,5.76333825108577e-09
1807,1.9928686256776018e-08,0.0
1808,4.5321478125970316e-08,4.5321479902327155e-09
1809,3.840352036377226e-08,0.0
1810,1.6380887757350138e-08,2.574139479349924e-08
1811,2.757784400841956e-08,2.5070767684098882e-09
1812,2.400487453257938e-08,8.00162425207418e-09
1813,3.738464116054274e-08,2.8757416448144113e-09
1814,2.5173417128598885e-08,3.1466771410748606e-09
1815,1.6183340889597275e-08,4.5852800667489646e-08
1816,2.0858434979231788e-08,5.5622493277951435e-08
1817,2.1796227045456362e-08,2.0239355080775567e-08
1818,4.410835785506606e-08,3.5763532135746345e-09
1819,6.624672010957511e-08,3.1053151161586356e-08
1820,1.542642635854463e-08,5.102586797534059e-08
1821,5.325203744632745e-08,9.861488514673056e-09
1822,4.0102463572111446e-08,6.015369535816717e-09
1823,7.313188632451784e-08,2.174191138237802e-08
1824,5.052667617633233e-08,5.4737231636181605e-08
1825,7.484626252107773e-08,3.9624492131906663e-08
1826,9.600702810530493e-08,1.4092774947016551e-08
1827,5.530363722527909e-08,3.6869092223668076e-09
1828,7.979902250099258e-08,1.8344602503717056e-09
1829,2.743416338546467e-08,2.5719527840806222e-08
1830,4.5922078584226256e-08,8.349468672008697e-09
1831,6.548306430431694e-08,3.1182413096075834e-08
1832,2.570694235259907e-08,0.0
1833,3.938433579264711e-08,1.3900354645102198e-08
1834,5.974099792638299e-08,7.467624740797874e-09
1835,4.235329242874286e-08,2.4201881387853064e-08
1836,4.5701099793404865e-08,1.9490174807401672e-08
1837,3.75726116885744e-08,1.530736071231331e-08
1838,8.77390533560174e-08,1.1361890983607736e-08
1839,5.872839281551023e-08,2.027527834513876e-08
1840,6.369688776430849e-08,1.592422194107712e-08
1841,1.8619591202195807e-08,3.852329122366882e-09
1842,4.628702754416736e-08,1.2074877098200432e-08
1843,3.9576303123567413e-08,1.7720733325177207e-08
1844,5.598332464273881e-08,2.4149668931272572e-08
1845,5.5802278353667134e-08,2.5669049108500985e-08
1846,3.688335681317767e-08,1.3465353276842507e-08
1847,3.074137566727586e-08,2.3190860787281053e-08
1848,3.218088551193432e-08,1.287235473768078e-08
1849,1.5920887719289567e-08,2.76520690789539e-08
1850,6.042206734946376e-08,3.055048125588655e-08
1851,4.70809027319774e-08,1.4188765717904062e-08
1852,4.8829090104618444e-08,7.812654523320361e-09
1853,5.1955808544335014e-08,2.6873692604567623e-08
