year,seront_VERB au_ADP,seront_VERB tôt_ADV
1800,8.457802707084738e-07,7.231578535993322e-08
1801,6.6196873871327e-07,3.809892135109294e-08
1802,8.123359691580845e-07,1.5664880947952042e-08
1803,5.753500573746351e-07,5.070882025393075e-08
1804,7.613301189479671e-07,1.2359254952798437e-08
1805,7.505196961687943e-07,1.1371510844071508e-08
1806,1.6108530047631575e-06,2.881669125542885e-08
1807,1.053373374304556e-06,5.693910054560547e-08
1808,1.0582565792560672e-06,9.064295980465431e-09
1809,9.646060448176286e-07,9.036122072814123e-09
1810,1.0975194300044677e-06,1.8721014072298203e-08
1811,1.574444240759476e-06,0.0
1812,1.1042241965242283e-06,1.8670457180292033e-08
1813,9.029828760276359e-07,3.4508900625951355e-08
1814,8.33869467697923e-07,0.0
1815,7.255531566663365e-07,4.315557688983063e-08
1816,8.760542904440172e-07,1.1588019432906549e-08
1817,9.216690628477409e-07,3.7364962679475866e-08
1818,1.0037631525960933e-06,2.2650237241350624e-08
1819,9.005413694751496e-07,1.2421260464634543e-08
1820,6.585896770161526e-07,1.1866481131050932e-08
1821,7.287639789410605e-07,3.35290586406245e-08
1822,6.346214718178089e-07,4.210758675071702e-08
1823,6.670813652576157e-07,1.680056804787e-08
1824,7.157945844937785e-07,2.3579115548955087e-08
1825,7.599097529009669e-07,1.4088708866211164e-08
1826,9.87375031513693e-07,2.3781558056157337e-08
1827,1.2535491293874657e-06,3.871254605769536e-08
1828,7.796455934183655e-07,2.935136400594729e-08
1829,9.610530575798748e-07,1.3717081692732336e-08
1830,1.0645572672274284e-06,1.2524203008013046e-08
1831,7.265501764663895e-07,2.3386808933878456e-08
1832,8.266811093449178e-07,2.3000948701223933e-08
1833,7.992703601189532e-07,3.359252431778259e-08
1834,1.2452264002149604e-06,2.7070139907436896e-08
1835,8.65217259615747e-07,2.2689263801112247e-08
1836,1.045748742711794e-06,1.747394939854985e-08
1837,7.222290658859265e-07,1.1828414692161004e-08
1838,7.372605033140189e-07,2.840472923537618e-08
1839,7.466895617369573e-07,1.11863602825224e-08
1840,7.981220022656998e-07,2.165694112932215e-08
1841,7.916536368668403e-07,3.338685417020315e-08
1842,6.091104403083136e-07,3.890793820460203e-08
1843,7.389545828573318e-07,2.8943864194275193e-08
1844,7.157084134234992e-07,3.1833653935109396e-08
1845,6.740915603486997e-07,1.2834524554250493e-08
1846,6.60387765805126e-07,3.922516000898213e-08
1847,8.246238678566442e-07,1.88762818709165e-08
1848,8.39921169060176e-07,2.091757700384278e-08
1849,7.734199769515726e-07,1.0893239199560867e-08
1850,8.126428454602319e-07,2.5798184921654865e-08
1851,7.287865742000577e-07,2.257303499675345e-08
1852,7.363426881568103e-07,2.3437962681782665e-08
1853,6.354135209107881e-07,1.4929829816878737e-08
1854,6.281558491139094e-07,2.3900057044556888e-08
1855,5.869472730068992e-07,2.5473298137512757e-08
1856,6.404182997243879e-07,2.7439103433835044e-08
1857,4.852220030215904e-07,1.122747050885664e-08
1858,5.241126856958545e-07,1.2234189661342043e-08
1859,5.418072217544534e-07,1.782260738991681e-08
1860,5.620782044246653e-07,1.9224172476128842e-08
1861,6.159048577814019e-07,2.2165028923382124e-08
1862,5.611339028988027e-07,2.1234535907410645e-08
1863,5.828722642320372e-07,1.048870412745373e-08
1864,5.734494781250987e-07,1.6781548595190543e-08
1865,4.862170071007199e-07,1.7415324293779122e-08
1866,4.602869778658203e-07,3.5518972651971126e-08
1867,5.808815615182539e-07,1.6014277903764196e-08
1868,6.056285695166252e-07,1.679557115608077e-08
1869,5.718600997184353e-07,3.857980246380066e-08
1870,5.11477166398322e-07,2.9243649279919737e-08
1871,5.246861656260648e-07,3.292564798584863e-08
1872,4.71692465087159e-07,1.814201766592305e-08
1873,4.920495628724098e-07,2.334541804316359e-08
1874,5.17998590687796e-07,2.7483201492373155e-08
1875,5.286690818451234e-07,2.1741803024610817e-08
1876,5.858588156826272e-07,1.934724735974669e-08
1877,5.257093853572314e-07,2.288381928394756e-08
1878,5.57407863865933e-07,1.268208649207736e-08
1879,6.549196776006738e-07,1.3440515367335593e-08
1880,8.137829095034022e-07,1.9253539207397807e-08
1881,5.626813486259152e-07,2.7890029841159958e-08
1882,5.770218951539619e-07,6.655385131892899e-09
1883,5.188177549797501e-07,3.2860562271253e-08
1884,5.789688088952971e-07,1.4523733327109767e-08
1885,5.485236167501739e-07,2.2559724754955823e-08
1886,5.730676040371918e-07,1.5488312854472497e-08
1887,7.16223046204334e-07,2.154545164501087e-08
1888,7.171235374414664e-07,1.014498351992188e-08
1889,5.801516858028322e-07,1.7542383545787743e-08
1890,5.715425102081895e-07,2.1629475099871343e-08
1891,6.393342584232187e-07,1.4023283867459213e-08
1892,5.754494292187218e-07,1.002961980134387e-08
1893,5.813545289612421e-07,1.1085149687062312e-08
1894,6.654425419583276e-07,1.5123694296903523e-08
1895,5.681572239346622e-07,4.273216447359118e-08
1896,6.309820754779594e-07,9.435246361988447e-09
1897,6.694893750491815e-07,2.6220211779559577e-08
1898,6.111023433952312e-07,1.9238406423482957e-08
1899,6.489376929152968e-07,3.0954439012020885e-08
1900,5.938564622276488e-07,2.5436159845071415e-08
1901,7.052988668654336e-07,1.1736351446245408e-08
1902,5.808865979339828e-07,1.0802624572647801e-08
1903,6.042846241172128e-07,1.5120615870500842e-08
1904,6.008831148207605e-07,2.6873125946735854e-08
1905,6.301286967769215e-07,1.186974607492175e-08
1906,6.064993760546145e-07,1.7490227932626112e-08
1907,6.474839575609792e-07,1.2342823652033985e-08
1908,6.561615935041232e-07,1.2278472460991452e-08
1909,5.462476444506592e-07,2.3654228797909127e-08
1910,6.669500089984126e-07,1.6566866989364826e-08
1911,6.379128483224861e-07,2.2345570727111408e-08
1912,5.923111845440587e-07,2.0837685354990754e-08
1913,5.827985916084799e-07,1.590896836489719e-08
1914,6.140914075025705e-07,1.6072185360371805e-08
1915,7.292291659410921e-07,3.534228465440492e-09
1916,6.021129355104904e-07,1.3184954461564757e-08
1917,4.2549726586571524e-07,6.57985488317081e-09
1918,5.226301080796247e-07,1.9526840588923733e-08
1919,6.123218905806915e-07,2.301962176431971e-08
1920,6.868013908700732e-07,2.0445025228355007e-08
1921,5.853733973104625e-07,1.438822039290244e-08
1922,5.762167809564289e-07,2.1396012073182646e-08
1923,5.276126202602427e-07,7.431163684401554e-09
1924,5.014842079376081e-07,3.867487219366694e-09
1925,4.4762584217039603e-07,1.7597084678300234e-08
1926,4.2578249992430983e-07,2.229227646921572e-08
1927,4.939106346135702e-07,2.0068604555945058e-08
1928,4.741807244634799e-07,1.4853853258500749e-08
1929,5.091165695692013e-07,1.5596569369336066e-08
1930,3.949354923094006e-07,3.1510811737689437e-09
1931,4.413873071484886e-07,1.0264820993199919e-08
1932,4.493410008521437e-07,1.4247397928102146e-08
1933,4.6112061835579254e-07,1.0323596200123575e-08
1934,3.9898662507198424e-07,9.585264137967897e-09
1935,4.212836106631812e-07,1.555876849579363e-08
1936,3.95265693509117e-07,7.274828739411987e-09
1937,4.4698470835768944e-07,1.3850230295986421e-08
1938,3.4098514711811134e-07,1.4261735792331365e-08
1939,3.3646910857498824e-07,4.588215141154706e-09
1940,3.955821217260791e-07,1.7750480196809804e-08
1941,3.8664684076650246e-07,5.9030051957620344e-09
1942,3.5196856629227113e-07,2.1239483061208375e-08
1943,4.877435069161606e-07,1.4516175816936538e-08
1944,3.4702409656972577e-07,9.639558484764166e-09
1945,4.531288282372259e-07,8.714016175304096e-09
1946,3.563802710715436e-07,2.227376683094917e-08
1947,4.17230495930454e-07,2.1457568166738383e-08
