year,en_ADP iles_NOUN,en_ADP fils_NOUN
1800,3.144164484325529e-08,1.4148740463681975e-06
1801,7.143547975374531e-09,1.2453584758986835e-06
1802,8.951360541686881e-09,1.7455153056289419e-06
1803,9.751695895232615e-09,1.217011686094338e-06
1804,1.9774807569206132e-08,1.3174965136641958e-06
1805,2.2743021688143017e-08,1.0802934866660507e-06
1806,8.645007376628655e-09,9.33660788682289e-07
1807,8.540865792383556e-09,1.0476794614078244e-06
1808,2.4926814390369145e-08,1.2168816923008308e-06
1809,2.25903047379461e-08,1.3847856870086162e-06
1810,1.8721014072298203e-08,1.0156149823359328e-06
1811,7.521230305229665e-09,1.2635666735150153e-06
1812,8.00162469616339e-09,1.1842404332718104e-06
1813,8.627224934443234e-09,1.3774802358756943e-06
1814,3.1466771410748606e-09,1.1516838469560753e-06
1815,0.0,1.4295284413989862e-06
1816,2.3176038865813098e-09,1.0753682317954372e-06
1817,2.3353101674672416e-08,1.1972356572798049e-06
1818,2.0266001987678806e-08,1.1790044123216603e-06
1819,8.280840235741493e-09,1.1675984614711865e-06
1820,3.5599443393152796e-09,1.2127544248841104e-06
1821,3.94459531705138e-09,1.0108025791932818e-06
1822,1.4035862250239006e-08,9.80505276970689e-07
1823,6.917880712720148e-09,1.2481833554511823e-06
1824,1.6000114122505238e-08,1.4206417420226103e-06
1825,2.641632912414593e-09,1.490761468048163e-06
1826,8.807984452907647e-09,1.2824424899804399e-06
1827,5.530363889061363e-09,1.2747488652986583e-06
1828,2.7516904310687096e-09,1.0814143580617497e-06
1829,2.5719527840806222e-08,1.4617264748051362e-06
1830,9.39315203396518e-09,1.4569823223453682e-06
1831,4.677361609140007e-09,1.5248199360939907e-06
1832,8.117981509236927e-09,1.1852253405386648e-06
1833,1.3900354645102198e-08,1.2927329713363633e-06
1834,6.534171870242744e-09,1.3572407875361847e-06
1835,1.1344631900556124e-08,1.3190025640597014e-06
1836,1.0753199664037538e-08,1.2594685209199596e-06
1837,6.262101726051128e-09,1.3393939899408736e-06
1838,1.3255539776935166e-08,1.4783083108760309e-06
