year,divin_ADJ enfant_NOUN
1800,4.087413785214267e-08
1801,1.3572740908962544e-07
1802,6.937304419807333e-08
1803,8.386458594245028e-08
1804,1.9033252129929679e-07
1805,1.876299251524216e-07
1806,1.3543844712415876e-07
1807,1.2811298200077204e-07
1808,2.832592476131879e-07
1809,1.1746958428204834e-07
1810,2.0125089861267043e-07
1811,1.579458341893769e-07
1812,2.427159415674396e-07
1813,5.4639090807384605e-08
1814,8.810695639738242e-08
1815,2.6702512556653346e-07
1816,3.5459339287058356e-07
1817,9.496927655394671e-08
1818,1.1205906602640425e-07
1819,7.142224467404645e-08
1820,9.374520359983762e-08
1821,1.3313009084026106e-07
1822,1.1228689800191205e-07
1823,1.2649838831979565e-07
1824,1.507379145948562e-07
1825,1.8403375978692793e-07
1826,1.0481501000469962e-07
1827,7.373818539102572e-08
1828,2.118801631367795e-07
1829,1.41457401570122e-07
1830,2.692703611195668e-07
1831,9.51063563459087e-08
1832,7.576782934393123e-08
1833,1.9344659740738734e-07
1834,1.2974997676273858e-07
1835,2.0798492528228962e-07
1836,3.8577104638504167e-07
1837,2.1917356640699381e-07
1838,1.5022945865084125e-07
1839,1.7338857871695978e-07
1840,1.414070872618467e-07
1841,2.2792948151106884e-07
1842,2.1198117527987392e-07
1843,2.1973709546374565e-07
1844,3.2217854384342104e-07
1845,3.5825063093852805e-07
1846,2.2539830046852671e-07
1847,2.89076793613674e-07
1848,2.7434206589793675e-07
1849,1.3155681743981518e-07
1850,1.846606956235064e-07
1851,2.2895507401088366e-07
1852,3.033914295347273e-07
1853,2.5320991370314516e-07
1854,3.7045087064591087e-07
1855,4.027965161412794e-07
1856,4.3643704600304645e-07
1857,3.094876684373027e-07
1858,2.892162531131781e-07
1859,3.3404656951674383e-07
1860,3.9363782308732276e-07
1861,3.107820015779694e-07
1862,3.8673962191038136e-07
1863,4.510142753155755e-07
1864,4.3248444525634255e-07
1865,2.922950272932212e-07
1866,3.454585244533348e-07
1867,3.392115193179279e-07
1868,3.507310644135231e-07
1869,2.837324604154645e-07
1870,2.7179391937082187e-07
1871,2.0605084305458377e-07
1872,3.0236697057262063e-07
1873,3.3521626024990425e-07
1874,3.6504861772312935e-07
1875,3.2441058789300925e-07
1876,2.1281971918085674e-07
1877,2.2945667088603017e-07
1878,1.7030229920722562e-07
1879,2.633119259298766e-07
1880,3.388622726863133e-07
1881,2.342762590590297e-07
1882,2.149689422026313e-07
1883,2.205449248227076e-07
1884,2.3370007884437882e-07
1885,1.5018331112059968e-07
1886,1.6714471740009174e-07
1887,1.423305593939439e-07
1888,1.9846124388323005e-07
1889,1.7918291206342474e-07
1890,1.7762387322095563e-07
1891,2.0397504607583272e-07
1892,1.8492111264478694e-07
1893,1.3302179713292617e-07
1894,2.249649568852874e-07
1895,1.534746725262437e-07
1896,1.5332275399293493e-07
1897,2.097616893514953e-07
1898,1.8050152139625908e-07
1899,1.8572662696669795e-07
1900,1.401584377447307e-07
1901,1.693387866597007e-07
1902,1.5909319373008657e-07
1903,1.1934486821019163e-07
1904,1.4135264514436585e-07
1905,9.5990115411837e-08
1906,1.224315899217565e-07
1907,1.3371392648675595e-07
1908,1.3211636584742337e-07
1909,1.243222251257059e-07
1910,9.245380616640375e-08
1911,2.165392317676762e-07
1912,1.0887690216065948e-07
1913,1.1454457526927087e-07
1914,1.3326520154066657e-07
1915,3.7934053709332005e-07
1916,1.5492321425725208e-07
1917,8.334482615168781e-08
1918,9.189101035644853e-08
1919,1.2062281484759296e-07
1920,9.768178799163252e-08
1921,5.14946840723951e-08
1922,6.64014194740048e-08
1923,6.369568872344189e-08
1924,7.090393339126422e-08
1925,8.028669995496784e-08
1926,5.9074533709235766e-08
1927,8.919379723693055e-08
1928,6.055801904381042e-08
1929,6.907052041427164e-08
1930,6.092090032439046e-08
1931,4.904303452235581e-08
1932,5.4797682835783235e-08
1933,4.81767816751244e-08
1934,7.308763905200522e-08
1935,5.505410527462118e-08
1936,3.273672888326473e-08
1937,4.280980192561401e-08
1938,3.3709557811789637e-08
1939,3.976453033516236e-08
1940,5.0715660115940864e-08
1941,8.264207096431164e-08
1942,1.1530005172843971e-07
1943,7.838735283094422e-08
1944,1.317406344014671e-07
1945,4.574858536443571e-08
1946,3.480276067335808e-08
1947,6.437270272385831e-08
1948,6.631851690030999e-08
1949,5.693864757461142e-08
1950,3.403315673722318e-08
1951,5.4373147984065895e-08
1952,4.956057786387191e-08
1953,2.9089334496745778e-08
1954,4.1044652121513536e-08
1955,3.472674947602172e-08
1956,4.8838392885386384e-08
1957,5.9194752211055857e-08
1958,2.895285167170414e-08
1959,3.410329085795638e-08
1960,5.7442917977823527e-08
1961,5.766972321907815e-08
1962,4.249110840959247e-08
1963,2.4571002787965313e-08
1964,3.8937397306426647e-08
1965,5.1984411442163037e-08
1966,4.431259803538978e-08
1967,4.3879987143835564e-08
1968,3.772789369804741e-08
1969,7.811823365955206e-08
1970,3.632992787161449e-08
1971,5.3953172596266086e-08
1972,4.3093233870195036e-08
1973,2.866865900230664e-08
1974,2.4752515148662724e-08
1975,3.3126585030629485e-08
1976,3.4281161909177627e-08
1977,3.819908211966094e-08
1978,5.643561806767394e-08
1979,4.09638133413992e-08
1980,3.581645025008129e-08
1981,4.6809065068487143e-08
1982,3.41412621507331e-08
1983,4.231261763187888e-08
1984,3.827345462781295e-08
1985,4.271046327719574e-08
1986,3.836470713336482e-08
1987,9.59398236410891e-08
1988,5.097070765458511e-08
1989,2.5245361356951435e-08
1990,3.9775151172705137e-08
1991,3.1651912479890854e-08
1992,6.171137301169694e-08
1993,5.151462723063105e-08
1994,4.2199413297083765e-08
1995,7.157635018018027e-08
1996,5.4982349118049e-08
1997,1.2994164366730843e-07
1998,5.292623583841305e-08
1999,5.895559596069688e-08
2000,5.124916402365898e-08
2001,3.548781610240859e-08
2002,6.79089350863471e-08
2003,5.000307529146042e-08
2004,4.889318444556423e-08
2005,5.4044994368673827e-08
2006,4.488500077171054e-08
2007,6.630836146825914e-08
2008,4.8960557469390764e-08
2009,6.389377804616458e-08
2010,5.810265424344152e-08
2011,8.718656369088862e-08
2012,6.808505492728045e-08
2013,7.195942403059874e-08
2014,6.193173085478065e-08
2015,6.073416720930869e-08
2016,8.388926914237871e-08
2017,7.043711833243371e-08
2018,6.376222866366632e-08
2019,5.7142127196652126e-08
