year,bon_ADJ enfant_NOUN
1800,2.4210065285856786e-07
1801,1.0239084957675004e-07
1802,1.9469209178168967e-07
1803,1.4237475909339992e-07
1804,1.6808586167371686e-07
1805,1.9047281041295605e-07
1806,1.152667650217154e-07
1807,1.7081731096268982e-07
1808,1.9035021159297116e-07
1809,1.378008573915679e-07
1810,2.340126741273707e-07
1811,1.504246114336638e-07
1812,3.8141078562148323e-07
1813,1.7542024011163448e-07
1814,1.1642705288750221e-07
1815,1.0519171667056071e-07
1816,1.6223227916611904e-07
1817,1.6969920579867903e-07
1818,2.706107311567507e-07
1819,1.2628281176318978e-07
1820,1.2459805898146215e-07
1821,4.6546225895838234e-07
1822,2.456275751683279e-07
1823,3.211873278452515e-07
1824,2.6189661639364203e-07
1825,2.8001309138048214e-07
1826,1.5766291994179227e-07
1827,3.032482822074023e-07
1828,3.22865001067818e-07
1829,3.326392379321419e-07
1830,3.5589608859964983e-07
1831,5.503695783559692e-07
1832,5.290217770514971e-07
1833,6.266742778038292e-07
1834,4.695269195664764e-07
1835,4.726929887510778e-07
1836,3.7972238287053983e-07
1837,3.778134853860138e-07
1838,1.9315215782356177e-07
1839,2.3071867483182018e-07
1840,3.3122380782568683e-07
1841,4.5072249577060575e-07
1842,3.280341616118676e-07
1843,2.835317183258468e-07
1844,3.7925959261997377e-07
1845,3.682950477923441e-07
1846,2.979941209346748e-07
1847,1.7150450659642047e-07
1848,2.485973595867108e-07
1849,3.2931100069077957e-07
1850,2.253946709274146e-07
1851,2.53462951071981e-07
1852,2.5911969858682937e-07
1853,2.6754254722760606e-07
1854,2.670571421781176e-07
1855,4.5321241870510676e-07
1856,2.83709983228686e-07
1857,3.778288006905939e-07
1858,3.963877528434523e-07
1859,3.9922639105682833e-07
1860,3.4054249020698535e-07
1861,4.032148988031281e-07
1862,3.858360175801323e-07
1863,4.005685809715942e-07
1864,4.2481289597162686e-07
1865,4.109075124603123e-07
1866,3.980071263676166e-07
1867,4.697521642782476e-07
1868,3.5814088050756254e-07
1869,4.961655299950962e-07
1870,4.747792345938251e-07
1871,5.650466525786157e-07
1872,4.6262146291553563e-07
1873,4.902537602546886e-07
1874,4.749814319637835e-07
1875,4.7545891401767904e-07
1876,6.275763118068767e-07
1877,7.180571257592305e-07
1878,5.139264223075202e-07
1879,6.848553510963029e-07
1880,6.077700138718001e-07
1881,7.495445482064156e-07
1882,6.928255893434709e-07
1883,7.551609808587045e-07
1884,6.951586648540342e-07
1885,7.173992431219745e-07
1886,7.363402065863056e-07
1887,8.180742794294815e-07
1888,8.870519785375564e-07
1889,6.841529298640125e-07
1890,8.140548053425789e-07
1891,6.903280285186497e-07
1892,7.804298158831102e-07
1893,6.995961152611585e-07
1894,8.255016723524022e-07
1895,7.733919726859995e-07
1896,9.163983101245776e-07
1897,8.652669478692587e-07
1898,7.616145722977308e-07
1899,8.716990933521629e-07
1900,8.720969377762344e-07
1901,8.394285595514361e-07
1902,6.648524113472831e-07
1903,8.105730566754232e-07
1904,7.201997975769814e-07
1905,6.61609306007449e-07
1906,7.824304719683539e-07
1907,7.199980895933322e-07
1908,8.133260163134537e-07
1909,9.219648617886378e-07
1910,9.41639360707569e-07
1911,8.219978049339716e-07
1912,7.360912124276808e-07
1913,8.145392453862144e-07
1914,8.518258192147243e-07
1915,7.268730213283447e-07
1916,7.339624588098559e-07
1917,7.259772978329693e-07
1918,7.408712967560405e-07
1919,8.277855676475099e-07
1920,8.223443863641933e-07
1921,6.686736160332885e-07
1922,7.953414300487793e-07
1923,9.671128191612866e-07
1924,7.206417818039768e-07
1925,7.852699006605235e-07
1926,8.850033701435223e-07
1927,1.1595193782909519e-06
1928,8.992294651122279e-07
1929,8.232760411175377e-07
1930,7.940724469079896e-07
1931,6.660728288920836e-07
1932,5.983907200857175e-07
1933,6.26298152894833e-07
1934,5.966826819303606e-07
1935,6.702239048195224e-07
1936,5.625867718350719e-07
1937,4.759442733259789e-07
1938,6.067720281777156e-07
1939,5.842327306382344e-07
1940,4.843345169369684e-07
1941,6.168640642734147e-07
1942,6.887660504162341e-07
1943,6.909699852286622e-07
1944,7.261800689661868e-07
1945,7.995109587710658e-07
1946,7.447790970616097e-07
