year,en_ADP auto_NOUN,en_ADP photo_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,2.2660739062985158e-08,0.0
1809,1.581321384946932e-08,0.0
1810,2.3401266702194334e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,5.751483289628823e-09,0.0
1814,6.293354282149721e-09,0.0
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,3.5763532135746345e-09,0.0
1819,5.175524897538253e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,6.903041693817613e-09,0.0
1822,3.0076847679083585e-09,0.0
1823,3.9530747564242574e-09,0.0
1824,6.736890156844311e-09,0.0
1825,4.4027217427355936e-09,0.0
1826,1.0569580766173203e-08,0.0
1827,7.373818444733615e-09,0.0
1828,7.337841001486822e-09,0.0
1829,9.430493719264632e-09,8.57317605795771e-10
1830,7.305785310052215e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,6.764984683549358e-09,0.0
1833,9.266902800675325e-09,0.0
1834,5.600718555598405e-09,0.0
1835,4.5378527602224494e-09,0.0
1836,5.376600054063374e-09,0.0
1837,5.5663127440652715e-09,0.0
1838,4.418513555037862e-09,0.0
1839,1.2584655095793096e-08,0.0
1840,4.458782232319436e-09,0.0
1841,3.852329122366882e-09,0.0
1842,1.2074877098200432e-08,0.0
1843,8.269675610961258e-09,0.0
1844,2.7442805805577564e-09,5.488561272137815e-10
1845,1.0602432709561072e-08,0.0
1846,9.952652257894101e-09,0.0
1847,2.6966118227278457e-09,0.0
1848,1.287235473768078e-08,0.0
1849,1.75967720394965e-08,0.0
1850,6.788996032014438e-09,6.788996032014438e-10
1851,9.029214709244116e-09,0.0
1852,6.510545436100301e-09,0.0
1853,7.166318205520383e-09,0.0
1854,1.4547860527347467e-08,0.0
1855,9.021793090369101e-09,5.306937111981824e-10
1856,7.248064981535407e-09,0.0
1857,6.345962033638131e-09,9.763018171682347e-10
1858,3.9149408159744326e-09,4.893676019968041e-10
1859,5.09217357169689e-09,0.0
1860,3.661747127736703e-09,4.577183909670879e-10
1861,1.131831339762357e-08,8.488735048217677e-09
