year,on_PRON allait_VERB,on_PRON fallait_VERB
1800,1.191638347108892e-06,0.0
1801,1.0572450719337212e-06,0.0
1802,8.660441324082058e-07,0.0
1803,1.0161267596231482e-06,1.950339223455444e-09
1804,1.2903062440727808e-06,0.0
1805,1.0035358002369321e-06,0.0
1806,6.887189414328532e-07,0.0
1807,1.187180259876186e-06,2.8469551160981155e-09
1808,1.01973330401961e-06,0.0
1809,1.2447257802250533e-06,6.7770915546105925e-09
1810,1.1302812481517321e-06,2.3401267590372754e-09
1811,8.849981014691366e-07,0.0
1812,1.1922420526389033e-06,1.3336041160272316e-08
1813,1.236568920148784e-06,2.8757416448144113e-09
1814,1.5481651871596114e-06,6.293354282149721e-09
1815,1.8395064103060577e-06,0.0
1816,1.3581158668785065e-06,0.0
1817,1.7078901350942033e-06,3.113746815941454e-09
1818,1.7655264059612819e-06,7.152706427149269e-09
1819,1.8745751049209503e-06,3.105315005136333e-09
1820,2.1146069855149108e-06,4.746592452420373e-09
1821,2.3411173515341943e-06,3.94459531705138e-09
1822,2.3650428033761273e-06,7.017931125119503e-09
1823,2.3580091124131286e-06,9.882686891060644e-10
1824,2.351174657633237e-06,1.6842225392110777e-09
1825,2.3219952822728374e-06,9.685987789609385e-09
1826,2.0337635362466244e-06,3.5231937367541377e-09
1827,1.969731272311037e-06,0.0
1828,2.3985568020634673e-06,0.0
1829,2.7914261124806217e-06,5.143905745796928e-09
1830,2.4307389594468987e-06,8.349468672008697e-09
1831,2.335562669486535e-06,1.5591206103948707e-09
1832,3.111892908691516e-06,0.0
1833,2.725627837207867e-06,0.0
1834,3.171873515839252e-06,1.8669061851994684e-09
1835,2.7053166036239418e-06,6.806779140333674e-09
1836,2.387882375387562e-06,2.016224964762614e-09
1837,2.760195286555245e-06,2.087367279024477e-09
1838,2.9439923423524306e-06,3.1560809521380406e-09
1839,2.470787279662545e-06,3.4957375882882502e-09
1840,3.074011829085066e-06,5.73271974335654e-09
1841,2.4019272757414e-06,1.2841097074556274e-09
