year,non_ADV in_ADJ,non_ADV fines_ADJ
1800,3.772997558826319e-08,0.0
1801,5.714838380299625e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,8.581492494386112e-08,0.0
1804,1.6808586433825212e-07,0.0
1805,7.107194432975916e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,5.978605788214963e-08,0.0
1808,5.4385776770971006e-08,6.798221985349073e-09
1809,8.810219043198231e-08,0.0
1810,1.1466620808420203e-07,0.0
1811,6.769107141479935e-08,0.0
1812,1.4669645587161995e-07,2.6672082320544632e-09
1813,1.0927818516748289e-07,8.627225156487839e-09
1814,6.922689888000377e-08,0.0
1815,7.282503844407984e-08,0.0
1816,1.1819779643928996e-07,0.0
1817,1.0275364292766653e-07,0.0
1818,5.841376893300776e-08,1.1921177378582115e-09
1819,8.384350391743567e-08,0.0
1820,6.526564533260171e-08,0.0
1821,9.565643432907223e-08,0.0
1822,1.1228689800191205e-07,0.0
1823,7.313188277180416e-08,0.0
1824,4.968456401854837e-08,0.0
1825,8.541279683527137e-08,0.0
1826,6.517908301972852e-08,0.0
1827,1.2351145883826575e-07,8.295545583791863e-09
1828,9.172301196347377e-08,0.0
1829,9.944884471480009e-08,0.0
1830,8.558205322195533e-08,0.0
1831,8.886987501455224e-08,0.0
1832,7.03558398207349e-08,4.058990921151917e-09
1833,6.950176878461889e-08,0.0
1834,1.0267983707734629e-07,0.0
1835,8.546289365085613e-08,0.0
1836,1.350870757477196e-07,0.0
1837,6.401259922128588e-08,1.3915781860163179e-09
1838,8.07956708204216e-08,0.0
1839,8.110111382464424e-08,0.0
1840,1.1146955447571827e-07,0.0
1841,1.1428576307537242e-07,1.2841097074556274e-09
1842,7.647422473056054e-08,5.366612043644636e-09
1843,9.214781071520406e-08,0.0
1844,1.4325144537252754e-07,2.7442805805577564e-09
1845,1.3280941946192115e-07,1.674068439427856e-09
1846,1.2060272958080986e-07,5.854501328173001e-10
1847,1.1487566631274149e-07,2.1572894581822766e-09
1848,8.688839248094382e-08,0.0
1849,6.20076696655758e-08,0.0
1850,1.0183494225657341e-07,0.0
1851,8.964719988568959e-08,0.0
1852,9.70071276640283e-08,0.0
1853,1.713944417502944e-07,5.971931837933653e-10
1854,1.745743309911063e-07,0.0
1855,1.0613874579235016e-07,0.0
1856,1.4599673736626073e-07,0.0
1857,8.103305237927572e-08,0.0
1858,1.1695885770990344e-07,4.893676019968041e-10
1859,7.027199266929074e-08,0.0
1860,9.566314496112227e-08,0.0
1861,8.064298206988951e-08,0.0
1862,1.0029929642385582e-07,0.0
1863,9.489779495552852e-08,4.994620828036034e-10
1864,1.1315557602031845e-07,8.151037178549814e-09
1865,8.613524871137201e-08,1.4120533631256649e-09
1866,1.1288222045990892e-07,4.865612912574591e-10
1867,7.521857803283183e-08,0.0
1868,5.680855075240743e-08,0.0
1869,8.643828897092476e-08,0.0
1870,9.518520815987586e-08,0.0
1871,1.189571858795091e-07,1.0621177271019633e-09
1872,9.917636423217857e-08,0.0
1873,1.0116347293198658e-07,0.0
1874,5.914863088207767e-08,0.0
1875,7.380770039588924e-08,0.0
1876,6.711076205867528e-08,0.0
1877,7.236234722540758e-08,0.0
1878,6.220261461464816e-08,0.0
1879,6.598071244923176e-08,6.10932526790009e-10
1880,6.482024494935956e-08,0.0
1881,5.229380639626413e-08,0.0
1882,7.320923822717873e-08,2.6621540527571597e-09
1883,7.204046126307873e-08,0.0
1884,5.0833066644884184e-08,1.3203393933736152e-09
1885,4.4474886218281995e-08,0.0
1886,6.06625611965228e-08,9.034849313138693e-09
1887,6.006610675513002e-08,0.0
1888,6.59423922133584e-08,0.0
1889,6.32778824893876e-08,0.0
1890,4.981333595610593e-08,0.0
1891,6.692931131535573e-08,0.0
1892,8.713231958168421e-08,6.268512375839919e-10
1893,5.788911416892972e-08,9.23762488724833e-09
1894,4.474092762940529e-08,6.301539290376468e-10
1895,5.2361947000534315e-08,0.0
1896,5.012474502130715e-08,0.0
1897,4.311767876075123e-08,0.0
1898,4.6964343858313384e-08,0.0
1899,5.638129962903804e-08,0.0
1900,4.412395127051383e-08,1.5573159428683425e-09
1901,5.588739082629246e-08,0.0
1902,3.6336101072453886e-08,9.820567692386817e-10
1903,4.968202471644645e-08,0.0
1904,4.8909090111237674e-08,0.0
1905,6.141303332540815e-08,0.0
1906,4.9384169642507914e-08,0.0
1907,5.091415000713084e-08,0.0
1908,4.911389184236725e-08,4.911389073214423e-10
1909,3.6306491479898284e-08,0.0
1910,3.3668149046484075e-08,5.344150677544235e-10
1911,4.788336638306134e-08,5.320374141248863e-10
1912,3.854971869499124e-08,5.209421227725386e-10
1913,5.196929780959536e-08,1.590896969716482e-09
1914,5.424362525818793e-08,0.0
1915,5.8903807942378705e-08,0.0
1916,3.8456116735474666e-08,0.0
1917,2.631941953268324e-08,0.0
1918,4.5945505178224266e-08,0.0
1919,3.591060959706738e-08,0.0
1920,6.815008424254643e-08,7.572231730534895e-10
1921,5.452378104564559e-08,0.0
1922,5.828569049626253e-08,0.0
1923,6.051090561953743e-08,0.0
1924,5.9301473065431765e-08,0.0
1925,6.708888378170741e-08,0.0
1926,9.697140512798796e-08,0.0
1927,6.355057835527589e-08,0.0
1928,5.255979096396857e-08,0.0
1929,5.235991040741794e-08,2.2280812750352652e-09
1930,7.142450242358933e-08,4.201441416995522e-09
1931,5.47457119637329e-08,0.0
1932,5.370172928564898e-08,0.0
1933,5.391211388428019e-08,5.735331320977366e-09
1934,7.06913212411564e-08,1.1981580172459871e-09
1935,6.462873081147791e-08,0.0
1936,6.304851440930292e-08,2.424942913137329e-09
1937,4.784624962894668e-08,0.0
1938,6.612259317861913e-08,1.2965214457594243e-09
1939,5.352917487044806e-08,4.588215141154706e-09
1940,7.100192078723921e-08,0.0
1941,8.559357667081713e-08,2.9515025978810172e-09
1942,8.799213935262173e-08,0.0
1943,4.93549991986697e-08,0.0
1944,5.7837352684941834e-08,0.0
1945,5.446259976338297e-08,0.0
1946,1.0997672461598995e-07,0.0
1947,5.483600662437027e-08,1.1920870957027319e-09
1948,6.305694899566561e-08,0.0
1949,5.104844191805569e-08,0.0
1950,6.062155932795577e-08,0.0
1951,4.157946797977985e-08,1.0661401761424827e-09
1952,3.901577316778315e-08,0.0
1953,4.848222190378948e-08,0.0
1954,6.058972701339371e-08,1.9545072227344917e-09
1955,5.0682281482750113e-08,9.385607846468247e-10
1956,5.668741898112728e-08,8.72114158667614e-10
1957,5.035971506472947e-08,2.6505113659425206e-09
1958,6.452350104213522e-08,2.4816730892496253e-09
1959,3.720358832115522e-08,1.5501495642666896e-09
1960,5.0522084515947085e-08,1.3841666701708277e-09
1961,5.350082554755886e-08,1.3896318540318475e-09
1962,5.2638237324487136e-08,0.0
1963,4.008952891876305e-08,0.0
1964,6.935723806389404e-08,0.0
1965,6.347570524756208e-08,1.6416130677043839e-09
1966,5.262120894578004e-08,0.0
1967,4.733122072053675e-08,0.0
1968,3.5482185134494415e-08,8.982831700699023e-10
1969,3.8150764214428534e-08,0.0
1970,5.5644574115110146e-08,4.5987250119061684e-10
1971,2.9802706191794925e-08,0.0
1972,4.155418831253144e-08,0.0
1973,4.9618833486420044e-08,0.0
1974,4.5004571680440364e-08,0.0
1975,4.112265727940212e-08,0.0
1976,2.7424929660568864e-08,0.0
1977,3.58483685514166e-08,0.0
1978,4.217819971064074e-08,0.0
1979,3.6282234106010947e-08,0.0
1980,3.240536017301565e-08,1.1370301367108482e-09
1981,4.1116071936020404e-08,0.0
1982,2.917526009671434e-08,1.2415004579935385e-09
1983,4.16810870262907e-08,6.315316047889041e-10
1984,3.189454655938562e-08,1.1598016991243298e-09
1985,5.293691074381712e-08,0.0
1986,3.2969669661042644e-08,1.1988970927134801e-09
1987,2.5665430669619127e-08,0.0
1988,2.2187249371086182e-08,0.0
1989,3.073348486815064e-08,0.0
1990,3.432650036439e-08,3.2691906959314565e-09
1991,2.5790446667173228e-08,0.0
1992,2.8651710337612712e-08,0.0
1993,3.655877023334142e-08,0.0
1994,3.9034457333109174e-08,1.0549853213248639e-09
1995,2.8196744494835002e-08,2.1689803286761844e-09
1996,4.0035690096473786e-08,1.6014276571496566e-09
1997,2.5892429533769246e-08,0.0
1998,3.146965255051981e-08,0.0
1999,3.473352708227573e-08,0.0
2000,3.2693432183705795e-08,2.6508188977203417e-09
2001,3.023036077021146e-08,0.0
2002,2.93541845830525e-08,4.38122149670761e-10
2003,3.250199914761609e-08,0.0
2004,4.052408081323122e-08,1.3214374039449694e-09
2005,2.9274373147814003e-08,0.0
2006,3.417848615239194e-08,4.1178899179428186e-10
2007,2.476577201648844e-08,0.0
2008,2.0861453980947076e-08,4.257439678578834e-10
2009,2.4794601483080214e-08,0.0
2010,1.6533275914998313e-08,0.0
2011,1.4913490831158782e-08,0.0
2012,1.3617011129785084e-08,0.0
2013,1.3945625099154313e-08,0.0
2014,1.3425760059249114e-08,0.0
2015,1.5072712855612735e-08,0.0
2016,1.6570719907349485e-08,0.0
2017,2.5910795869998893e-08,0.0
2018,1.2907333257761167e-08,2.5814667070633845e-10
2019,1.7856913614444636e-08,5.1019755087367e-10
