year,on_PRON eût_VERB,on_PRON fut_VERB
1800,1.0073903126794903e-05,4.329514467826812e-06
1801,1.0205749049418955e-05,4.874280875810655e-06
1802,8.799187412478204e-06,4.77555090583337e-06
1803,8.801880881037505e-06,4.692516313298256e-06
1804,9.55370398969535e-06,4.563036895888217e-06
1805,8.963593700173078e-06,5.188251861909521e-06
1806,8.87554108430777e-06,5.466526204145339e-06
1807,1.0004200589719403e-05,4.711710857918661e-06
1808,9.134544143307721e-06,4.724764266939019e-06
1809,9.225880603480618e-06,5.351643380890891e-06
1810,8.871420732248225e-06,5.2652853810286615e-06
1811,8.200648267120414e-06,4.8436724000566755e-06
1812,8.495058295920899e-06,4.6969536242613685e-06
1813,9.596350082574645e-06,5.107317178953963e-06
1814,1.0802542419696692e-05,5.383964435168309e-06
1815,9.221807545145566e-06,5.478060870700574e-06
1816,8.649297683405166e-06,4.584220391734561e-06
1817,1.0502668374101631e-05,5.891209070796322e-06
1818,1.080177912626823e-05,6.013041797814367e-06
1819,1.1429629239501082e-05,5.955993970019335e-06
1820,1.2093131090296083e-05,6.359247436193982e-06
1821,1.071845144906547e-05,5.34591265477502e-06
1822,1.0879798082896741e-05,5.659460271090211e-06
1823,1.2530259027698776e-05,6.709356171086256e-06
1824,1.1527661399668432e-05,6.026148184901103e-06
1825,1.189439240079082e-05,7.037309842417017e-06
1826,1.0186434224124241e-05,6.174397185532143e-06
1827,1.063304648596386e-05,5.602258625003742e-06
1828,1.0629780035742442e-05,5.996850518386054e-06
1829,1.1411754940127139e-05,6.688791927444981e-06
1830,1.182075993710896e-05,5.7580024304115796e-06
1831,1.1546846963028656e-05,4.8270374009007355e-06
1832,1.0836152796400711e-05,4.841023041990411e-06
1833,1.0542260383772373e-05,4.598700570568326e-06
1834,1.0113964094671246e-05,4.414299610289163e-06
1835,1.0088403314512107e-05,4.90163722588477e-06
1836,1.062214528246841e-05,4.824826532967563e-06
1837,1.0409005199107924e-05,5.068127961749269e-06
1838,1.0983792890328914e-05,6.120903321971127e-06
1839,1.0379544278293906e-05,5.1219549277448095e-06
1840,1.050425373705366e-05,4.6377701892197365e-06
1841,1.0741578080342151e-05,4.281221890778397e-06
1842,1.0065080914500868e-05,4.8037886699603405e-06
1843,9.77771014731843e-06,3.951723385853256e-06
1844,1.0220798458249192e-05,4.032446099699882e-06
