year,bien_ADV in_ADJ,bien_ADV fines_ADJ
1800,3.772997558826319e-08,2.2009151834367913e-08
1801,2.8574191901498125e-08,1.1905912700171939e-08
1802,3.8043282302169246e-08,3.3567602031325805e-08
1803,4.6808139586573816e-08,3.1205427575287104e-08
1804,3.707776485839531e-08,4.69651695311768e-08
1805,4.264316544322355e-08,0.0
1806,4.8988376022407465e-08,1.729001475325731e-08
1807,2.2775640928784924e-08,0.0
1808,6.345007363961486e-08,3.3991110370834576e-08
1809,1.581321384946932e-08,2.25903047379461e-08
1810,3.7442028144596406e-08,4.680253518074551e-09
1811,1.504245972228091e-08,3.259199843341776e-08
1812,5.601137331723294e-08,4.5342538612658245e-08
1813,4.888760685162197e-08,1.1502966579257645e-08
1814,2.2026739543434815e-08,3.4613449884091096e-08
1815,2.966945977789237e-08,1.3486118000116676e-08
1816,5.5622493277951435e-08,1.3905623319487859e-08
1817,4.203558034987509e-08,3.269434145636296e-08
1818,3.457141417584353e-08,1.668964877410417e-08
1819,4.34744116262209e-08,4.45095160728215e-08
1820,6.170570543417853e-08,1.4239777357261119e-08
1821,2.465372084259343e-08,2.5639868894700157e-08
1822,4.411270992932259e-08,3.0076847679083585e-09
1823,7.313188632451784e-08,7.906149512848515e-09
1824,5.3895121254754486e-08,1.6842225392110777e-09
1825,5.459374818883589e-08,8.805443485471187e-09
1826,3.082794464148719e-08,7.0463874735082754e-09
1827,5.1616730445402936e-08,1.474763688946723e-08
1828,4.586150481600271e-08,2.8434133270138773e-08
1829,4.6295149047637096e-08,1.1145129263923081e-08
1830,3.339787468803479e-08,2.0873670791843324e-08
1831,2.0268567268999504e-08,2.494592976631793e-08
1832,2.841293600397421e-08,6.764984572527055e-09
1833,2.6642345218874652e-08,3.1275796175123105e-08
1834,2.240287422239362e-08,1.9602515166639023e-08
1835,2.8739734148075513e-08,9.075705520444899e-09
1836,2.9571300075303952e-08,7.392825018825988e-09
1837,4.174734513640033e-08,6.957891152126194e-09
1838,4.292270006089893e-08,5.680945491803868e-09
1839,3.985140750728533e-08,2.1673573158409454e-08
1840,4.267691267045848e-08,2.5478754661634184e-09
1841,3.531301828729738e-08,1.5409316489467528e-08
1842,1.9453969102301016e-08,7.379091560011375e-09
1843,2.7762482091020502e-08,1.1223130869097986e-08
