year,en_ADP are_NOUN,en_ADP phare_NOUN
1875,2.0025345548457807e-08,6.293679799540541e-09
1876,4.897271921322499e-08,1.813804439976252e-09
1877,2.535774612510977e-08,3.710889595609501e-09
1878,4.5293163830617544e-08,4.22736201599605e-09
1879,3.42122213892182e-08,1.221865053580018e-09
1880,3.850707597230496e-08,1.9253538763308597e-09
1881,1.4642266066289267e-08,1.1853262871230896e-08
1882,3.0614771162618126e-08,1.1979693681496428e-08
1883,3.5388296737437486e-08,8.21514056781325e-09
1884,2.3105939384038265e-08,1.9805090900604227e-09
1885,3.7384687345820566e-08,3.2228177904158883e-09
1886,2.8395241713496944e-08,1.355227396970804e-08
1887,5.4842967500690065e-08,7.1818169189441505e-09
1888,2.980088953385973e-08,1.268122939990235e-09
1889,3.5084767091575486e-08,0.0
1890,5.112421624930974e-08,1.3108772956016423e-09
1891,3.250852154135231e-08,2.5496880162734215e-09
1892,3.19694137829174e-08,9.402768341715273e-09
1893,1.9091091374434654e-08,9.853466487186324e-09
1894,4.6631390526741257e-08,4.411077725308132e-09
1895,2.5278181325916194e-08,6.018614495673091e-10
1896,2.7716035688740703e-08,2.358811590497112e-09
1897,2.3306854779470143e-08,9.322741689743452e-09
1898,3.112095303681173e-08,2.26334195829736e-09
1899,2.984892333302014e-08,7.738609753005221e-09
1900,1.8168686111152965e-08,6.22926377147337e-09
1901,2.514932445629725e-08,7.265360757457984e-09
1902,2.1114220150053598e-08,7.365425824801264e-09
1903,2.8081145186931167e-08,4.320176216765503e-09
1904,3.6009990544982884e-08,2.1498500757388683e-09
1905,3.3028859480754846e-08,6.708986699521802e-09
1906,2.777859631208912e-08,4.115347507216427e-09
1907,1.851423608867364e-08,1.5428529565042481e-09
1908,2.2101251717643322e-08,0.0
1909,2.53045246978445e-08,2.7504918342913243e-09
1910,2.618633831996675e-08,2.137660271017694e-09
1911,1.54290848985994e-08,3.1922244847493175e-09
1912,1.8753916974922902e-08,6.772247651554153e-09
1913,2.969674284258872e-08,2.121195885607108e-09
1914,2.678697441638178e-08,6.696743604095445e-09
1915,1.0602685840410686e-08,1.1780761921542648e-09
1916,3.40611328031315e-08,3.2962386153911893e-09
1917,2.52227767560953e-08,2.1932848870420685e-09
1918,4.020231614276781e-08,1.2635013924011673e-08
1919,2.4861191438851904e-08,2.762354567309444e-09
1920,3.028892692213958e-08,4.543339038320937e-09
1921,1.5145495135815423e-08,7.572747429129834e-10
1922,1.6231458566107193e-08,6.640141769764796e-09
1923,1.8047112249064412e-08,6.369568872344189e-09
1924,1.6759112098085893e-08,2.578324886925998e-09
1925,1.0998178145982251e-08,5.499089184013428e-09
1926,1.560459372829115e-08,3.343841648018042e-09
1927,1.5608915049369898e-08,1.1149224876660924e-09
1928,2.8565102283550914e-08,3.4278123672848437e-09
1929,1.2254446790649354e-08,8.912325322185666e-09
1930,2.2057568216382606e-08,8.402882833991043e-09
1931,1.1405356659111021e-08,2.2810713318222042e-09
1932,2.4110979879310435e-08,4.383814644626227e-09
1933,9.176529758292418e-09,2.2941324395731044e-09
1934,1.4377896206951846e-08,7.188948103475923e-09
1935,1.555876849579363e-08,4.787313656606784e-09
1936,8.487299751891442e-09,2.424942913137329e-09
1937,8.813782481631449e-09,3.777335333410292e-09
1938,2.593042824905467e-08,5.186085783037697e-09
1939,1.988226472349197e-08,4.588215141154706e-09
1940,7.607348528892999e-09,2.5357829169792012e-09
1941,1.4757512545315876e-08,5.9030051957620344e-09
1942,6.068423541449874e-09,0.0
1943,8.709705845433291e-09,0.0
1944,6.4263723231761105e-09,9.639558484764166e-09
1945,4.357008087652048e-09,2.178504043826024e-09
1946,1.8097434661967782e-08,2.7842208538686464e-09
1947,1.4305045148432782e-08,0.0
1948,6.523132700664291e-09,3.2615663503321457e-09
1949,4.908504269707237e-09,2.9451024952109606e-09
1950,3.190608444114673e-09,2.1270722960764488e-09
1951,1.2793681780642885e-08,6.396841278899501e-09
1952,1.1599284199803606e-08,6.326882129314981e-09
1953,5.386913581872932e-09,9.69644453618912e-09
1954,8.795282724349818e-09,2.9317608341017376e-09
1955,1.0324168187025862e-08,2.815682353940474e-09
1956,1.22095984433912e-08,7.849027205963921e-09
1957,7.951533653738352e-09,3.534015080575159e-09
1958,9.099467845885556e-09,8.272243445794913e-10
1959,5.425523585955716e-09,1.5501495642666896e-09
1960,4.844583401109048e-09,6.2287499602575735e-09
1961,6.25334317660986e-09,2.08444772553662e-09
1962,5.7077609305622445e-09,4.43936931660005e-09
1963,7.1126584622049904e-09,8.405868889838075e-09
1964,1.3384730601639916e-08,9.125952382671443e-09
1965,8.755269065297e-09,5.47204326295514e-09
1966,3.046491048319666e-08,7.200797069728537e-09
1967,1.2818872185960117e-08,4.437302081328198e-09
