year,en_ADP hôtes_NOUN,en_ADP faute_NOUN
1800,0.0,3.898763907272951e-07
1801,2.3811825844433088e-09,5.048107141192304e-07
1802,0.0,6.489736392722989e-07
1803,2.3404069793286908e-08,5.090385570838407e-07
1804,0.0,1.7327674868283793e-06
1805,0.0,1.111565211431298e-06
1806,8.645007376628655e-09,9.077257914213988e-07
1807,2.8469551160981155e-09,1.2640480235859286e-06
1808,0.0,1.1919548796868185e-06
1809,1.129515236897305e-08,6.460827535192948e-07
1810,9.360507036149102e-09,8.681870440341299e-07
1811,0.0,8.774768502917141e-07
1812,0.0,5.867858021701977e-07
1813,5.751483289628823e-09,8.454680369140988e-07
1814,1.5733386149463513e-08,5.254950679045578e-07
1815,8.091670666843243e-09,4.4773909735340567e-07
1816,1.1588019432906549e-08,4.704735943050764e-07
1817,1.8682481339737933e-08,3.1293154734157724e-07
1818,2.98029441125891e-08,5.149948378857516e-07
1819,4.140420006848444e-09,7.825393595339847e-07
1820,2.3732962262101864e-09,7.440283411597193e-07
1821,6.903041693817613e-09,8.135727966873674e-07
1822,2.0051231786055723e-09,6.09557446296094e-07
1823,3.9530747564242574e-09,7.896267106843879e-07
1824,8.421112696055388e-09,1.1402186146369786e-06
1825,5.283265824829186e-09,8.840664804665721e-07
1826,8.807984341885344e-10,7.680562248424394e-07
1827,0.0,1.194558535644319e-06
1828,0.0,8.603618653069134e-07
1829,2.571952872898464e-09,8.950395908868813e-07
1830,1.878630406793036e-08,8.965241704572691e-07
1831,1.5591206103948707e-09,8.356886382898665e-07
1832,2.705993873419743e-09,7.022053978289478e-07
1833,1.0425265983826648e-08,9.347988338959112e-07
1834,1.120143711119681e-08,1.045467456606275e-06
1835,1.285724948729694e-08,8.758055969337875e-07
1836,1.4785650037651976e-08,9.872782129605184e-07
1837,1.3219993100221927e-08,8.133774258567428e-07
1838,8.2058102535143e-09,1.1942610171900014e-06
1839,1.3283802502428443e-08,7.697614137214259e-07
1840,3.1848443882154243e-09,8.261486073024571e-07
1841,6.420548537278137e-09,9.040132340487617e-07
1842,8.720745015011744e-09,9.418404260941315e-07
1843,2.953455480181333e-09,8.240140800808149e-07
1844,1.1525978393933656e-08,1.0938703098872793e-06
1845,5.022205318283568e-09,1.222069954565086e-06
1846,1.4050803187615202e-08,1.1410422757762717e-06
1847,1.0786447290911383e-08,1.1811159765784396e-06
1848,9.65426583121598e-09,9.308321295975475e-07
1849,6.535943697372204e-08,8.496726877638139e-07
1850,4.073397619208663e-09,8.540557132619142e-07
1851,8.384270167027807e-09,9.570967449690215e-07
1852,1.5625309046640723e-08,9.902539659378817e-07
1853,1.0749477752369785e-08,9.196775181408157e-07
1854,8.313063126763609e-09,9.284652264796023e-07
1855,2.175844215912548e-08,9.8655959845928e-07
1856,7.765783571755946e-09,1.0535579804127337e-06
1857,2.4407544874094356e-09,1.1403204780435772e-06
1858,9.787352261980686e-09,9.787352155399276e-07
1859,2.2914779407301467e-08,1.2827184718844364e-06
1860,8.696649622663699e-09,9.22760250432475e-07
1861,2.3579818320129675e-08,1.0658078508640756e-06
1862,3.388489855371546e-08,9.162475862467545e-07
1863,2.6970951694238465e-08,1.3290685956235393e-06
1864,1.965838514195184e-08,1.1531320751601015e-06
1865,1.3179164426446732e-08,1.2882633200206328e-06
1866,1.751620715140234e-08,1.2159166544734035e-06
1867,1.844068364675877e-08,1.1845712606373127e-06
1868,1.778354707937524e-08,1.0763985756057082e-06
1869,1.3673853160867111e-08,1.2433439451342565e-06
1870,7.454262984651905e-09,1.203003421323956e-06
1871,4.036047429600842e-08,1.1407144029362826e-06
1872,1.8142017887967654e-09,1.1870927210111404e-06
1873,8.380406590902112e-09,1.2792091865776456e-06
1874,2.3898437007119355e-08,1.0610905292196549e-06
1875,1.2587359599081083e-08,1.0916674000327475e-06
1876,1.934724735974669e-08,1.2436652241376578e-06
1877,2.5976227391311113e-08,1.2882971986982739e-06
1878,1.268208649207736e-08,1.6021701867430238e-06
1879,8.55305515301552e-09,1.3122830750944559e-06
1880,1.0910338410496934e-08,1.168048015642853e-06
1881,1.324776466304911e-08,1.052151446856442e-06
1882,1.6638463051776853e-08,1.451539446861716e-06
1883,1.7062214752172622e-08,1.6234381519097951e-06
1884,1.386356363042296e-08,1.3394843563219183e-06
1885,2.2559724977000428e-08,1.4799179552937858e-06
1886,2.8395241713496944e-08,1.4972035842220066e-06
1887,5.223139698529167e-09,1.9847930161631666e-06
1888,2.0924028731883482e-08,1.7316218645646586e-06
1889,1.4409814674820609e-08,1.6483575109305093e-06
1890,3.080561788992853e-08,1.9112590052827727e-06
1891,1.211101796627645e-08,1.7012793023241102e-06
1892,2.0686091062316336e-08,1.7739889699441846e-06
1893,9.23762488724833e-09,1.903566612782015e-06
1894,2.2685540557176864e-08,1.9011744143426768e-06
1895,4.273216447359118e-08,1.8675760884434567e-06
1896,1.2383760683576384e-08,1.664141564106103e-06
1897,1.0488084178916779e-08,1.927476887431112e-06
1898,1.0185038590293516e-08,1.5860368876019493e-06
1899,3.040168117252051e-08,1.5737015246486408e-06
1900,1.661137005726232e-08,1.6164939324880834e-06
1901,2.4031576728589243e-08,1.6419714938820107e-06
1902,8.34748237199534e-09,1.4838877859801869e-06
1903,2.214090244478939e-08,1.6130458106999868e-06
1904,1.7736262236667244e-08,1.5957261894072872e-06
1905,3.6641388589941926e-08,1.5791922578500817e-06
1906,1.4918134283448126e-08,1.6919223071454326e-06
1907,6.1714118260169926e-09,1.5371958852483658e-06
1908,2.504808449543816e-08,1.4709610240970505e-06
1909,2.9155213354670195e-08,1.331788098468678e-06
1910,1.0153886620400954e-08,1.3627584394271253e-06
1911,1.8089272302290738e-08,1.5194988236544305e-06
1912,1.719108944087111e-08,1.4018552292327513e-06
1913,1.113627856597077e-08,1.542109430374694e-06
1914,1.1384464038144415e-08,1.4505146737064933e-06
1915,1.4136913861761968e-08,1.2558292610265198e-06
1916,3.29623865980011e-08,1.2020283293168177e-06
1917,1.0966424213165737e-08,1.077999513654504e-06
1918,1.378365155346728e-08,9.3613965646e-07
1919,5.7088658744763876e-08,1.2393763881846098e-06
1920,1.9687803387569147e-08,1.1577942586882273e-06
1921,1.060184651180407e-08,1.3570363535109209e-06
1922,2.656056830030451e-08,1.3243394505479955e-06
1923,7.431163684401554e-09,1.5616059272360872e-06
1924,9.02413699321869e-09,1.2118126733184909e-06
1925,1.4297631523163545e-08,1.5243474535964197e-06
1926,2.11776637337735e-08,1.249482124876522e-06
1927,3.4562596340492746e-08,1.61217792538082e-06
1928,1.3711249025050165e-08,1.6510629166077706e-06
1929,1.1140405931087116e-08,1.2867169516539434e-06
1930,1.05036033204442e-08,1.2520295058493502e-06
1931,1.596749932275543e-08,1.462166778765095e-06
1932,1.3151444377967891e-08,1.0608831644276506e-06
