year,en_ADP arts_NOUN,en_ADP phare_NOUN
1800,5.345079756580162e-08,0.0
1801,6.42919282256571e-08,2.3811825844433088e-09
1802,9.398928568771225e-08,0.0
1803,7.80135707145746e-08,0.0
1804,6.921182560404304e-08,0.0
1805,2.558589917711629e-08,0.0
1806,4.8988375134229045e-08,0.0
1807,4.27043254092041e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,1.581321384946932e-08,0.0
1810,5.616304221689461e-08,0.0
1811,3.7606150637969904e-08,0.0
1812,5.06769564090348e-08,0.0
1813,4.3136123117903935e-08,0.0
1814,9.440030979135372e-09,0.0
1815,2.6972236000233352e-08,0.0
1816,8.57513455798653e-08,0.0
1817,2.1796228488746294e-08,0.0
1818,4.4108355412575406e-08,0.0
1819,9.212434237682032e-08,0.0
1820,3.44127952800477e-08,0.0
1821,7.001656854299654e-08,0.0
1822,3.308453244699194e-08,0.0
1823,6.32491954366543e-08,0.0
1824,3.1158117863583357e-08,1.6842225392110777e-09
1825,4.3146671568905504e-08,0.0
1826,8.807984186454121e-08,0.0
1827,3.686909327837995e-08,0.0
1828,3.3937512911030865e-08,0.0
1829,3.686465693819585e-08,8.57317605795771e-10
1830,3.131050774207722e-08,0.0
1831,3.741889442743229e-08,0.0
1832,5.276688019861808e-08,0.0
1833,4.51761508202253e-08,0.0
1834,2.4269779741459274e-08,0.0
1835,3.932805725526123e-08,3.025235173481633e-09
1836,6.922372786100084e-08,1.3441500135158435e-09
1837,3.89641890974346e-08,0.0
1838,4.102905393210676e-08,2.5248647617104325e-09
1839,2.8665047335785232e-08,0.0
1840,5.8601136720959346e-08,0.0
1841,3.2102741354123054e-08,4.494383976094696e-09
1842,4.9641161403712886e-08,0.0
1843,4.075768533784441e-08,2.953455480181333e-09
1844,5.1592476069117765e-08,3.841992946007622e-09
1845,1.3392547348889394e-08,3.348136878855712e-09
1846,3.981060747726417e-08,5.854501328173001e-10
1847,1.5101026207275936e-08,1.6179670936367074e-09
1848,2.735375304041554e-08,1.6090443422100975e-09
1849,3.26797175986826e-08,0.0
1850,3.6660578572877967e-08,1.3577992064028876e-09
1851,2.3217978650791338e-08,2.579775504329973e-09
1852,4.9480144648228475e-08,0.0
1853,2.926246556178569e-08,0.0
1854,4.0006617019194834e-08,0.0
1855,1.0083180512765466e-08,5.306937111981824e-10
1856,2.0708756043319454e-08,0.0
1857,1.3668224996266076e-08,4.881508974818871e-09
1858,4.8447393652395476e-08,1.4681028059904122e-09
1859,3.5645212559387573e-08,3.055304009791371e-09
1860,3.249800525906288e-08,4.57718396518203e-09
1861,3.301174633651982e-08,9.431927461278633e-10
1862,5.0149648683772696e-08,0.0
1863,3.9457503930862003e-08,2.4973103585068657e-09
1864,1.726102105692462e-08,2.3973640850272204e-09
1865,3.4830647810402127e-08,6.118897888374164e-09
1866,2.7733993435141713e-08,1.4596839292835284e-09
1867,1.5043715606566366e-08,5.82337378318698e-09
1868,1.778354707937524e-08,7.903798504571569e-09
1869,1.12320943657096e-08,1.0743741896135361e-08
1870,2.5803219116937726e-08,4.587239033071455e-09
1871,1.1683294776076991e-08,5.3105884134652115e-09
1872,1.8746751706544273e-08,6.047339518033823e-09
1873,5.566984079274917e-08,2.3944017879529156e-09
1874,2.031367180022059e-08,1.7923826867161097e-09
1875,1.3731665304828056e-08,6.293679799540541e-09
1876,6.16693476285235e-08,1.813804439976252e-09
1877,2.1028374708187414e-08,3.710889595609501e-09
