year,bien_ADV au_ADP,bien_ADV faux_ADJ
1800,6.115399749262451e-06,1.5720821977538435e-08
1801,5.760080604488849e-06,4.0480102825313224e-08
1802,5.516276161188216e-06,6.489736392722989e-08
1803,5.724245419003182e-06,9.751696339321825e-09
1804,6.337826022217996e-06,6.921182915675672e-08
1805,5.947300124375943e-06,3.695740957709859e-08
1806,5.6624798432380885e-06,5.76333825108577e-08
1807,5.591419764527927e-06,3.701041606518629e-08
1808,5.409118429611226e-06,9.064295980465431e-09
1809,5.5436607198089405e-06,4.969867006821005e-08
1810,5.1318978080416855e-06,6.786367379163494e-08
1811,5.48548391066106e-06,5.0141535368197765e-09
1812,5.531790002066828e-06,8.00162425207418e-09
1813,6.191471761951561e-06,1.6966875193702435e-07
1814,6.692982140066306e-06,3.4613449884091096e-08
1815,5.995927963908798e-06,4.8550024445148665e-08
1816,5.905254880644861e-06,4.4034472068688046e-08
1817,6.433000848460324e-06,5.916118794857539e-08
1818,5.654214376704658e-06,6.795070817133819e-08
1819,5.689972383038366e-06,8.384350280721264e-08
1820,6.037665606584142e-06,7.357218123615894e-08
1821,6.441523993316878e-06,7.198886464721e-08
1822,6.3010997166657035e-06,2.5064039732569654e-08
1823,6.4939134318819924e-06,6.81905376609393e-08
1824,6.8084694646586286e-06,6.82110155025839e-08
1825,7.035548861722418e-06,9.069606221601134e-08
1826,6.88167827433972e-06,6.429828403042848e-08
1827,6.022566125807316e-06,3.502563927781921e-08
1828,6.276605859056872e-06,3.118582370120748e-08
1829,6.471890529269331e-06,8.830371456269859e-08
1830,7.635589071242066e-06,5.844628248041772e-08
1831,7.095557705838473e-06,5.456922025359745e-08
1832,7.206061468423286e-06,6.629684889958298e-08
1833,7.792306774945246e-06,2.89590715851773e-08
1834,7.021434186071929e-06,1.213489042584115e-08
1835,7.335439050848436e-06,4.5378527602224494e-08
1836,7.679801257154395e-06,3.091545153210973e-08
1837,7.236206698735259e-06,2.7831564608504777e-08
1838,7.586587372543363e-06,2.3354999711955315e-08
1839,7.729075718998502e-06,2.3771015378315496e-08
1840,7.59075776102236e-06,2.4841785517537573e-08
1841,7.935156247640407e-06,5.008027770259105e-08
1842,7.961368766018495e-06,2.683306021822318e-08
1843,7.74986733631522e-06,2.126487963494128e-08
1844,7.551162468644179e-06,4.390849017710252e-09
1845,8.16219954913322e-06,2.4553003186156275e-08
1846,7.717403434526204e-06,3.9810608143397985e-08
1847,7.113122478585865e-06,2.480882876909618e-08
1848,7.734676273685182e-06,2.976732105253177e-08
1849,7.3621538092538685e-06,2.3462362719328667e-08
1850,7.700079464711962e-06,2.987158254086353e-08
1851,7.393636735741893e-06,1.483370937194195e-08
1852,7.823722540933886e-06,2.6042181744401205e-08
1853,8.051358776128836e-06,1.6124216628554677e-08
1854,8.233569076310232e-06,3.636965217879151e-08
1855,7.976856721825243e-06,2.388121700391821e-08
1856,8.04845805646437e-06,4.245295315286057e-08
1857,8.192636471449077e-06,2.0502337605421417e-08
1858,8.869298170566253e-06,3.6213201326518174e-08
1859,8.61595759715783e-06,3.360834455179429e-08
1860,8.517681095554508e-06,2.8378540406492903e-08
1861,8.846676507801021e-06,4.33868656557479e-08
1862,8.736881682125386e-06,1.355395884417021e-08
1863,8.583255549865498e-06,3.096664968893492e-08
1864,9.371775661293213e-06,3.0206784629172034e-08
1865,9.37273887302581e-06,3.95374932793402e-08
1866,9.058311746912295e-06,1.5083399418358567e-08
1867,9.264017535315361e-06,2.038180824115443e-08
1868,9.050837491031416e-06,1.877152122631287e-08
1869,9.168807309833937e-06,3.809144999422642e-08
1870,9.156702503787528e-06,2.5229814681893004e-08
1871,9.503829176082945e-06,6.37270636261178e-09
1872,9.51730243059501e-06,1.3304146229131675e-08
1873,9.587184649717528e-06,1.496501056408306e-08
1874,9.666917719641788e-06,2.5093358502203955e-08
1875,9.375294553137792e-06,2.5174719198162165e-08
1876,9.391275057168968e-06,2.0556450763820067e-08
1877,9.827054441302607e-06,1.9172929910382663e-08
1878,9.388367232077144e-06,2.536417298415472e-08
1879,9.45906839433519e-06,5.254019797007459e-08
1880,9.773096394383174e-06,2.1820676820993867e-08
1881,9.513986526599183e-06,2.8587281875047665e-08
1882,9.764781168541958e-06,1.9966154951589488e-08
1883,9.915043051478278e-06,2.0853818227806187e-08
1884,9.876799254016078e-06,1.5844072720483382e-08
1885,1.0162833746107935e-05,1.6758653131887513e-08
1886,9.794422169306927e-06,9.680196200179125e-09
1887,1.0215808515567915e-05,2.6768590899450828e-08
1888,1.0171614349019364e-05,2.028996703984376e-08
1889,9.911446682053793e-06,1.3783300722991498e-08
1890,1.010030985071353e-05,1.4419650362640368e-08
1891,1.0180267224768613e-05,1.529812720946211e-08
1892,1.0181944219311845e-05,1.3790726782758611e-08
1893,1.0004347529957158e-05,2.9560400349737392e-08
1894,1.0437239780003438e-05,8.822155450616265e-09
1895,1.033576654663193e-05,1.745398137131815e-08
1896,1.0434792500291223e-05,3.007484750128242e-08
1897,1.0633169779339369e-05,9.905413378419325e-09
1898,1.0906479531058721e-05,1.3014216371232123e-08
1899,1.0903148790930572e-05,2.266307141951529e-08
1900,1.0728869028753252e-05,1.764958135197503e-08
1901,1.06007195768143e-05,1.7325090695408107e-08
1902,1.0345476880502247e-05,8.347482705062248e-09
1903,1.1073151540585968e-05,1.7280704867062013e-08
1904,1.1088389214819472e-05,9.674325340824907e-09
1905,1.0912424784237373e-05,2.0643035725242953e-08
1906,1.1078001648456848e-05,2.4692084821253957e-08
1907,1.0957341942230414e-05,2.1599941391059474e-08
1908,1.1260341807428631e-05,2.504808449543816e-08
1909,1.1125189530503121e-05,2.585462333115629e-08
1910,1.1341890967742074e-05,8.01622590529405e-09
1911,1.1159484756717575e-05,2.3409645777405785e-08
1912,1.1208590876776725e-05,2.6047105805560022e-08
1913,1.1233323334636225e-05,2.2802856491921375e-08
1914,1.124115408401849e-05,2.4108278040557707e-08
1915,1.087482178263599e-05,1.8849219074468238e-08
1916,1.1306098258501152e-05,7.69122365795738e-09
1917,1.1890894029420451e-05,1.973956464951243e-08
1918,1.1953871421610529e-05,2.756730310693456e-08
1919,1.2070568232047663e-05,3.1306683467846597e-08
1920,1.170288385310414e-05,1.817335615328375e-08
1921,1.1584788808249868e-05,7.572747762196741e-09
1922,1.241558970832557e-05,1.9182632371439468e-08
1923,1.1517242114678083e-05,2.441668023323018e-08
1924,1.1456786296548671e-05,1.2891624656674594e-08
1925,1.113125620122446e-05,1.8696901804560184e-08
1926,1.1911878004866594e-05,2.3406890647947876e-08
1927,1.1645365589174617e-05,2.5643217327342427e-08
1928,1.1771107665481395e-05,2.5137291359556002e-08
1929,1.16272424293129e-05,1.893869061575515e-08
1930,1.1379603733985277e-05,1.7856125467119455e-08
1931,1.1518269730004249e-05,1.596749932275543e-08
1932,1.1748623137464165e-05,2.301502632917618e-08
1933,1.1698928346959292e-05,9.176529758292418e-09
1934,1.1535865496625775e-05,1.4377896206951846e-08
1935,1.1763626957872475e-05,2.5133395809007197e-08
1936,1.2228986975060252e-05,1.576212937948185e-08
1937,1.1956525668210816e-05,2.1404900962807005e-08
1938,1.1946148561037262e-05,1.4261735792331365e-08
1939,1.222300477365934e-05,1.070583532936098e-08
1940,1.1545419852154737e-05,7.607348528892999e-09
1941,1.2012616025458556e-05,2.9515025978810172e-09
1942,1.2604115909198299e-05,1.517105907566929e-08
1943,1.2931009564454143e-05,1.1612940831184915e-08
1944,1.3013404213779722e-05,3.2131861615880553e-09
1945,1.3800822898701881e-05,8.714016175304096e-09
1946,1.3248715276859002e-05,6.960552134671616e-09
1947,1.2974675883015152e-05,2.3841742802233057e-08
1948,1.259943041986844e-05,1.7395020535104777e-08
1949,1.2680629197348026e-05,2.3560819073509265e-08
