year,en_ADP acteurs_NOUN,en_ADP facteur_NOUN
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,9.524730337773235e-09,4.7623651688866175e-09
1802,0.0,6.713520406265161e-09
1803,1.3652374342143503e-08,1.755305234496518e-08
1804,1.730295728918918e-08,1.2359254952798437e-08
1805,0.0,0.0
1806,1.729001475325731e-08,6.051504897186533e-08
1807,1.9928686256776018e-08,5.124519120158766e-08
1808,2.2660739951163578e-09,0.0
1809,9.036122072814123e-09,2.259030518203531e-09
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,2.2563691359778204e-08,1.4541045345595194e-07
1812,1.3336041604361526e-08,0.0
1813,2.8757416448144113e-09,8.627225156487839e-09
1814,6.293354282149721e-09,3.4613449884091096e-08
1815,5.394447111228828e-09,1.0788894222457657e-08
1816,2.0858434979231788e-08,3.7081662185300956e-08
1817,4.670620157298799e-08,1.4945985071790346e-07
1818,9.536941902865692e-09,9.536941902865692e-09
1819,1.035105001712111e-09,1.035105001712111e-09
1820,3.678609061807947e-08,1.6613073583471305e-08
1821,0.0,1.97229765852569e-09
1822,2.90742860897808e-08,1.0025615893027862e-09
1823,1.680056804787e-08,5.929612356680991e-09
1824,3.8737120178211626e-08,0.0
1825,3.0819052199149155e-08,7.924898959288385e-09
1826,1.76159691278599e-08,2.642395191543301e-09
1827,1.7512819638909605e-08,0.0
1828,2.659967357487858e-08,2.0179061976932644e-08
1829,2.4862210068476998e-08,1.714635211591542e-09
1830,3.1310507520032616e-09,6.262101504006523e-09
1831,4.677361609140007e-09,1.5591206103948707e-09
1832,2.976593194148336e-08,4.058990921151917e-09
1833,2.20088942626262e-08,1.50587169400751e-08
1834,1.213489042584115e-08,5.600718555598405e-09
1835,1.5882484660778573e-08,1.739510224751939e-08
1836,8.064899859050456e-09,1.1425274948351216e-08
1837,4.0355768504696243e-08,1.7394727436226276e-08
1838,3.787297142565649e-09,6.943378316748294e-09
1839,9.788065469251706e-09,1.1885507689157748e-08
1840,1.1465439264668476e-08,2.1019973317493168e-08
1841,1.733548060656176e-08,1.8619591202195807e-08
1842,6.037438549100216e-09,8.049918065466954e-09
1843,1.4176587015413133e-08,1.1813821920725331e-08
1844,1.5367971784030487e-08,1.2623690537338916e-08
1845,2.0088821273134272e-08,3.627148004170522e-08
1846,1.6978054517835517e-08,8.781752214304106e-09
1847,9.707802561820245e-09,6.68759696509369e-08
1848,1.850401076808339e-08,6.114368744647436e-08
1849,1.5920887719289567e-08,1.6758828991214614e-08
1850,1.1541293254424545e-08,3.055048125588655e-08
1851,1.0319102017319892e-08,4.063146263888484e-08
1852,1.1718981340891332e-08,2.0833745395520964e-08
