year,mon_DET or_NOUN,mon_DET for_NOUN
1843,8.919435912080331e-08,3.5441467538532834e-09
1844,7.46444339672081e-08,1.811225303072206e-08
1845,1.2778722091599803e-07,9.48638767539478e-09
1846,8.606117085641074e-08,2.9272506640865004e-09
1847,1.2512278502185836e-07,7.550513103637968e-09
1848,9.010648333029891e-08,1.287235473768078e-08
1849,5.530413860199701e-08,3.4355601030711114e-08
1850,1.1405512978512888e-07,1.0862393651223101e-08
1851,6.578427780290497e-08,1.6768540334055615e-08
1852,9.375185161530908e-08,2.929745512858517e-08
1853,7.70379240400132e-08,8.360704129017904e-09
1854,8.313062949127925e-08,9.352196350675968e-09
1855,1.475328552658084e-07,1.2736649068756378e-08
1856,1.0250834381331231e-07,1.65670055451983e-08
1857,9.323682181872073e-08,3.3194261561675376e-08
1858,7.634134790990288e-08,3.229826006645453e-08
1859,1.5989423940432346e-07,2.3933214521321133e-08
1860,9.200139317044886e-08,3.158256944857385e-08
1861,9.007490908707894e-08,3.1125360067107977e-08
1862,1.084316711974509e-07,2.801151488540654e-08
1863,1.2536498195103718e-07,4.04564275413577e-08
1864,1.1027873991764636e-07,2.1096802527154068e-08
1865,7.53095128480652e-08,1.5061901947888146e-08
1866,1.196940804248925e-07,2.8220554781910323e-08
1867,1.0142376005717324e-07,5.28956434209249e-08
1868,5.829051508143834e-08,4.100095551962113e-08
1869,1.4455216934550208e-07,3.369628132077196e-08
1870,8.429052034131246e-08,2.695002976338401e-08
1871,8.072094637157079e-08,3.292564798584863e-08
1872,6.10781268894911e-08,2.116568786902917e-08
1873,7.183205408267668e-08,4.19020302899753e-08
1874,8.42419886071255e-08,2.7483201492373155e-08
1875,1.1900776364370813e-07,5.607096653648114e-08
1876,9.61316373171428e-08,1.9951848173604958e-08
1877,6.617753400828263e-08,1.9172929910382663e-08
1878,4.5897075418022126e-08,1.8117265909722846e-08
1879,9.713827386903517e-08,2.1993571408529533e-08
1880,6.417846365458502e-08,3.914886193001621e-08
1881,8.227558789819511e-08,2.9284532132578533e-08
1882,8.119569905318258e-08,2.728707926280549e-08
1883,7.835980098125361e-08,2.1485751844352308e-08
1884,7.790002776175697e-08,5.413391335196138e-08
1885,5.47879024370701e-08,3.7384687345820566e-08
1886,7.227879655902214e-08,2.5813855941692054e-08
1887,7.051238926081282e-08,3.852065688647599e-08
1888,4.818867194167353e-08,2.9800888867725916e-08
1889,7.392861539612383e-08,2.255449160770695e-08
1890,6.554386544621593e-08,3.080561583601593e-08
1891,4.84440720871504e-08,3.6970476458009216e-08
1892,6.080456849133498e-08,2.570090096298827e-08
1893,5.419406545748018e-08,2.0322774574310642e-08
1894,5.6713854723611234e-08,4.285046628638156e-08
1895,6.680662156810513e-08,6.921406736637437e-08
1896,5.66114787270422e-08,3.774098544795379e-08
1897,6.059781965106481e-08,4.3700350005337896e-08
1898,4.470100434250668e-08,4.809601605870739e-08
1899,6.356714976618605e-08,4.366786754417262e-08
1900,6.281174180777782e-08,6.073532432537831e-08
1901,3.409130805431815e-08,5.9240633731860726e-08
1902,2.700656170917526e-08,4.7629754362787935e-08
1903,3.6181477369723325e-08,4.6981917023458664e-08
1904,2.6335664315979557e-08,4.944655174199397e-08
1905,3.6641388589941926e-08,4.025391930895239e-08
1906,3.755254707193956e-08,4.73264982758792e-08
1907,3.291419647943883e-08,3.651418722938615e-08
1908,4.7149335324903063e-08,4.5675918158849527e-08
1909,5.500983568662576e-08,5.3359539009534274e-08
1910,7.214603336969105e-08,5.6647998292191915e-08
1911,2.7133907565257687e-08,5.2671705219609066e-08
1912,5.730363239475622e-08,4.636384787204406e-08
1913,3.234823792164221e-08,5.409049563809276e-08
1914,3.482306887292452e-08,5.089525245693949e-08
1915,3.416420912838447e-08,2.709575319670421e-08
1916,3.955486338469427e-08,7.361599330124591e-08
1917,3.289927352767563e-08,7.018511638534619e-08
1918,3.44591288836682e-08,5.168869421368072e-08
1919,3.775217927159957e-08,5.1563951330990676e-08
1920,4.24044972469062e-08,6.890731185649202e-08
1921,6.891199966219119e-08,4.8465583546430935e-08
1922,4.5743199228454046e-08,5.1645550058765366e-08
1923,4.0340602414090654e-08,7.961961046021315e-08
1924,4.125319807979366e-08,6.961477083677892e-08
1925,6.1589795707917e-08,6.928851803422731e-08
1926,4.792839447542718e-08,5.9074533709235766e-08
1927,3.4562597228671166e-08,5.797597069090443e-08
1928,6.17006229441941e-08,9.255093402771308e-08
1929,6.68424400274148e-08,4.233354289340241e-08
1930,5.7769819150621515e-08,6.092090387710414e-08
1931,3.421607086551148e-08,7.185374784057785e-08
1932,6.794912910113027e-08,3.1782654730250215e-08
1933,2.867665616079762e-08,5.5059178549754506e-08
1934,3.5944742293736454e-08,6.589868917217245e-08
1935,6.462873614054843e-08,5.0266791618014395e-08
1936,5.577368789033699e-08,6.426098764222843e-08
1937,3.7773354000236736e-08,7.051026074123001e-08
1938,4.019216381934143e-08,7.001215607260747e-08
1939,2.5999885799876665e-08,4.129393715857077e-08
1940,2.02862628917444e-08,4.3108308034334186e-08
1941,3.246652724442356e-08,1.1806010036252701e-07
1942,4.551317678291866e-08,3.944475324146879e-08
1943,2.9032351855917682e-08,7.548411673496958e-08
1944,8.996921074810871e-08,6.7476911169706e-08
1945,6.099811189486104e-08,1.0021118868053236e-07
1946,7.378185351569755e-08,7.378185529205439e-08
1947,5.602809283189458e-08,8.940653373201712e-08
1948,6.196976110039998e-08,1.0328293598149685e-07
1949,4.810333908977782e-08,5.792034940554913e-08
1950,8.61464248824717e-08,8.295582176742755e-08
1951,5.970385164033587e-08,9.168805803483338e-08
1952,8.857635369619032e-08,6.326882129314981e-08
1953,3.87857791439572e-08,7.757155628951296e-08
1954,5.179444317882087e-08,7.231676590890856e-08
1955,3.848099261460902e-08,5.7252208307545516e-08
1956,1.0552581453104892e-07,9.68046691696145e-08
1957,4.329168429295649e-08,7.686482916824389e-08
1958,6.617794856556003e-08,6.369627669755573e-08
1959,4.417926346977907e-08,5.03798602835559e-08
1960,5.6750832033714005e-08,8.443416987802266e-08
1961,5.141637993144599e-08,1.0144312767579322e-07
1962,5.327243290942363e-08,7.927445722089033e-08
1963,5.1728425987107585e-08,8.664511597089586e-08
1964,5.962289084671113e-08,7.17908292813263e-08
1965,4.4870755666615025e-08,8.80998953789458e-08
1966,9.693380720321443e-08,6.979234257187272e-08
1967,7.395503398566206e-08,9.564850955712245e-08
1968,8.758261038632753e-08,8.174377086334061e-08
1969,7.130559692702931e-08,6.948889108571166e-08
1970,4.4607632171400624e-08,7.7718453894704e-08
1971,6.011925224314041e-08,8.067284085200299e-08
1972,3.950213234293898e-08,6.823095333174933e-08
1973,4.5759593003680266e-08,5.127279578687194e-08
1974,3.431598788461443e-08,7.425754944279106e-08
1975,4.283610000044291e-08,6.682432029947449e-08
1976,3.942333526296693e-08,6.684826558966961e-08
1977,3.819908062085986e-08,7.287209768946923e-08
1978,5.7029677313913396e-08,1.045544095745754e-07
1979,3.9793420336664553e-08,7.49052588844279e-08
1980,3.8090508192034633e-08,9.0393896812202e-08
1981,3.479052185229037e-08,9.99436835513734e-08
1982,5.46260205958049e-08,8.938803119917793e-08
1983,4.8627932125455686e-08,1.0736037125980147e-07
1984,4.2912663311689414e-08,1.1134096666864934e-07
1985,3.2484012701949894e-08,9.985826210368032e-08
1986,5.155257531974655e-08,8.392279937652347e-08
1987,5.133086067310444e-08,7.882953667603942e-08
1988,2.9383114108494368e-08,8.635037573867521e-08
1989,3.4026357731420376e-08,1.2897086776320066e-07
1990,4.19546128949122e-08,1.4874817111376615e-07
1991,3.868566977871524e-08,1.4419204319437995e-07
1992,4.0222590869110064e-08,1.0413794626629169e-07
1993,4.6529340824719156e-08,1.5122036245429626e-07
1994,5.116678947203468e-08,1.21850803225243e-07
1995,3.958388994362849e-08,1.2851208452957508e-07
1996,3.8968072990641645e-08,1.3451992231239274e-07
1997,4.3154051110327885e-08,1.4960070870984055e-07
1998,4.29131632451174e-08,1.430438771876652e-07
1999,3.976074980371891e-08,1.4533239323100133e-07
2000,3.71114652342186e-08,1.4623684307935036e-07
2001,3.811654292196209e-08,1.7042913214027067e-07
2002,3.417352778534166e-08,1.5334275360601168e-07
2003,3.791899783056607e-08,1.9376192028630612e-07
2004,5.638132671847984e-08,1.9997752076506004e-07
2005,3.602999687490893e-08,1.6483723186411225e-07
2006,4.3649631242814735e-08,2.314254174962116e-07
2007,3.7548105791263e-08,1.9213446478261176e-07
2008,5.15150195279368e-08,2.47357235139134e-07
2009,4.243691442695763e-08,2.1409184114418167e-07
2010,6.613310210568102e-08,3.278312306065345e-07
2011,7.30378623692296e-08,3.697780925904226e-07
2012,8.102121512587601e-08,4.0442523641104344e-07
2013,1.1240173802828934e-07,4.981377514923224e-07
2014,1.0459100341364547e-07,4.82028099213494e-07
2015,1.2634479436279822e-07,4.772286956722382e-07
2016,1.3173722290815704e-07,4.62737375528377e-07
2017,1.343336428760722e-07,5.212346536609402e-07
2018,1.1306824038159746e-07,5.986421456327662e-07
2019,9.642733844739126e-08,5.030547640672012e-07
