year,ancien_ADJ air_NOUN,ancien_ADJ fer_NOUN
1800,6.288328968651058e-09,0.0
1801,2.1430643926123594e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,8.951360541686881e-09
1803,0.0,0.0
1804,1.9774807569206132e-08,0.0
1805,2.842877711017877e-09,8.528632911009026e-09
1806,2.881669125542885e-08,2.881669125542885e-09
1807,8.540865792383556e-09,0.0
1808,1.1330369531492579e-08,0.0
1809,9.036122072814123e-09,0.0
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,0.0,5.3344164641089264e-09
1813,4.026038169513413e-08,1.1502966579257645e-08
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,3.113746815941454e-09
1818,1.1921177378582115e-09,0.0
1819,6.210630232317271e-09,0.0
1820,1.779972080839798e-08,0.0
1821,1.2819934447350079e-08,1.4792232327920374e-08
1822,9.023054303725075e-09,1.0025615893027862e-09
1823,3.9530747564242574e-09,0.0
1824,5.052667617633233e-09,1.6842225392110777e-09
1825,5.283265824829186e-09,0.0
1826,4.403992170942672e-09,0.0
1827,2.7651818612639545e-09,4.608636583469661e-09
1828,1.7427371545863934e-08,5.503380862137419e-09
1829,5.143905579263475e-09,8.57317605795771e-10
1830,1.7742621594152297e-08,0.0
1831,4.677361609140007e-09,0.0
1832,1.7588960066206027e-08,0.0
1833,3.0117434435261714e-08,0.0
1834,6.534171426153534e-09,9.334530925997342e-10
1835,2.571449897459388e-08,3.025235173481633e-09
1836,1.6129800606279332e-08,6.720750067579218e-10
1837,1.0436836284100082e-08,1.3915781860163179e-09
1838,7.574594285131298e-09,6.312161904276081e-10
1839,3.495737654901632e-08,4.894032734625853e-09
1840,6.369688498875092e-09,1.9109065441114126e-09
1841,1.3483152372373297e-08,0.0
1842,3.3541325272778977e-09,6.708265054555795e-10
1843,5.906911071384968e-10,1.7720733769266417e-09
1844,1.3172546831086152e-08,4.390849017710252e-09
1845,3.348136878855712e-09,4.464182357111213e-09
1846,8.781751770214896e-09,1.7563503984519002e-09
1847,1.7797638030003782e-08,5.393223645455691e-10
