year,en_ADP ère_NOUN,en_ADP ere_NOUN,en_ADP fers_NOUN
1800,1.8864987794131594e-08,1.0690159246706799e-07,4.4018303668735825e-08
1801,3.333655484993869e-08,7.1435474868764e-08,5.714838380299625e-08
1802,2.2378401354217203e-09,2.2378401354217203e-09,3.5805442166747525e-08
1803,1.950339267864365e-08,5.0708818033484704e-08,5.812011067973799e-07
1804,4.943701892301533e-09,4.943701892301533e-09,1.2606439270257397e-07
1805,5.685755422035754e-09,2.842877711017877e-09,1.051864728651708e-07
1806,0.0,3.1698359492793315e-08,1.729001475325731e-08
1807,2.8469551160981155e-09,0.0,4.555128185756985e-08
1808,1.1330369531492579e-08,6.118399653587403e-08,9.970725445285211e-08
1809,9.036122072814123e-09,9.036122072814123e-09,4.066255088197579e-08
1810,4.212228077449254e-08,7.020380277111826e-09,2.8081521108447305e-08
1811,5.0141535368197765e-09,2.5070767684098882e-09,1.2535383131506705e-07
1812,8.00162425207418e-09,1.8670457180292033e-08,5.067695729721322e-08
1813,0.0,0.0,4.026038169513413e-08
1814,1.2586708564299443e-08,3.1466771410748606e-09,6.293354459785405e-08
1815,2.697223555614414e-09,3.506390644503199e-08,1.6183340889597275e-08
1816,0.0,1.4832664874120383e-07,4.8669683394564345e-08
1817,1.556873407970727e-09,6.227493631882908e-09,6.227493543065066e-08
1818,7.152706427149269e-09,2.384235475716423e-09,2.1458118837358597e-08
1819,1.7596784473994376e-08,3.933399084221634e-08,2.4842520929269085e-08
1820,1.1866481131050932e-09,2.3732962262101864e-08,7.357218478887262e-08
1821,7.88919063410276e-09,1.7750678149575094e-08,2.9584464655840748e-08
1822,5.012807946513931e-09,1.2030739071633434e-08,2.5064039732569654e-08
1823,2.8659792761231984e-08,1.4824030780680175e-08,4.4472090010572174e-08
1824,1.0105335235266466e-08,0.0,8.084268188213173e-08
1825,1.584979791857677e-08,0.0,5.459374596838984e-08
1826,2.642395191543301e-09,1.1450379977517855e-08,5.813269599030946e-08
1827,1.8434546111834038e-09,2.21214555007343e-08,7.18947319455765e-08
1828,8.255071293206129e-09,4.5861504760491556e-08,3.118582370120748e-08
1829,1.0287811491593857e-08,2.8291481157793896e-08,7.54439470895818e-08
1830,4.174734336004349e-09,1.0436835840010872e-09,4.279102583382155e-08
1831,0.0,9.35472388441383e-09,5.456922025359745e-08
1832,5.411987746839486e-09,2.705993873419743e-09,4.7354894228135436e-08
