year,bien_ADV été_VERB,bien_ADV eté_VERB,bien_ADV fêté_VERB
1800,2.2952400513531757e-07,6.288328968651058e-09,2.5153315874604232e-08
1801,4.3337522015463037e-07,0.0,9.524730337773235e-09
1802,2.842056971985585e-07,0.0,1.7902721083373763e-08
1803,3.413093736526207e-07,0.0,1.950339223455444e-09
1804,3.435872883983393e-07,0.0,2.4718509905596875e-08
1805,2.9281639513101254e-07,0.0,3.1271653710973624e-08
1806,5.042920747655444e-07,2.881669125542885e-09,8.645007376628655e-09
1807,4.5551280436484376e-07,0.0,1.4234775136401367e-08
1808,3.308468023988098e-07,0.0,4.5321478125970316e-08
1809,4.2695677393567166e-07,6.7770917766551975e-09,0.0
1810,2.8315534450484847e-07,0.0,0.0
1811,3.6603321973416314e-07,0.0,0.0
1812,4.6142702103679767e-07,0.0,2.6672082320544632e-09
1813,2.5881675469463516e-07,0.0,0.0
1814,3.366944554272777e-07,0.0,1.5733386149463513e-08
1815,3.506390555685357e-07,0.0,2.697223555614414e-09
1816,2.4103081841531093e-07,0.0,2.3176038865813098e-09
1817,3.876614869113837e-07,0.0,4.670620334934483e-09
1818,3.6001955550091225e-07,0.0,2.384235475716423e-09
1819,3.260580854202999e-07,1.035105001712111e-09,1.035105001712111e-09
1820,3.3344812777613697e-07,0.0,2.3732962262101864e-09
1821,3.678335076529038e-07,0.0,1.3806083387635226e-08
1822,5.293525191518711e-07,1.0025615893027862e-09,4.3110148340019805e-08
1823,5.030287866247818e-07,0.0,1.9765373782121287e-09
1824,5.26319524851715e-07,8.421112696055388e-10,2.863178316658832e-08
1825,4.437943346147222e-07,0.0,2.1133063299316746e-08
1826,5.55783799427445e-07,8.807984341885344e-10,7.0463874735082754e-09
1827,4.49802911361985e-07,0.0,4.608636583469661e-09
1828,5.824411459798284e-07,0.0,9.172301140836225e-09
1829,5.966930416434479e-07,0.0,2.5719527840806222e-08
1830,4.6757025984334177e-07,0.0,2.817945699007396e-08
1831,5.20746311849507e-07,4.677361609140007e-09,2.0268567268999504e-08
1832,6.304965722847555e-07,0.0,3.2471927369215337e-08
1833,3.996351836121903e-07,0.0,4.6334514003376626e-09
1834,4.816618002223549e-07,9.334530925997342e-10,1.5868701908061666e-08
1835,6.337867830552568e-07,1.5126175867408165e-09,2.117664621437143e-08
1836,4.5835514583814074e-07,1.3441500135158435e-09,1.6129799718100912e-08
1837,4.954018208991329e-07,2.0873671680021744e-09,6.957891152126194e-09
1838,4.2670214384088467e-07,6.312161904276081e-10,1.3886756633496589e-08
1839,4.810135010302474e-07,0.0,1.1885507689157748e-08
1840,4.866442395723425e-07,6.369688665408546e-10,1.2739377552861697e-08
1841,5.881222477910342e-07,0.0,1.0914932957462042e-08
1842,4.803117690244108e-07,1.341653010911159e-09,2.4820581145945653e-08
1843,5.369382165554271e-07,1.1813822142769936e-09,1.7130041385371442e-08
1844,5.587355644820491e-07,0.0,9.330554107123135e-09
1845,3.800135175424657e-07,0.0,6.696273757711424e-09
1846,5.514939971362764e-07,5.854501328173001e-10,7.610851504580296e-09
1847,4.843114993491326e-07,0.0,9.707802561820245e-09
1848,4.907585093860689e-07,0.0,1.689496542667257e-08
1849,5.211995812715031e-07,2.513824481908955e-09,1.6758829879393033e-09
1850,4.7658753032919776e-07,0.0,1.3577992064028876e-09
1851,4.482359940993774e-07,1.2898877521649865e-09,3.2247193804124663e-09
1852,4.7526981461487594e-07,1.3021090872200602e-09,5.859490670445666e-09
1853,5.912212373004877e-07,5.971931837933653e-10,5.971931837933653e-09
1854,5.154099085302732e-07,0.0,1.3508727469968562e-08
1855,5.14772921178519e-07,0.0,4.776243400783642e-09
1856,5.42569409844873e-07,4.659470143053568e-09,1.346069211649592e-08
1857,5.765062383034092e-07,4.881509085841174e-10,8.78671624349181e-09
1858,5.089423211757094e-07,4.893676019968041e-10,1.1744822003834088e-08
1859,5.810169909636898e-07,0.0,1.3748867822016564e-08
1860,5.488043370860396e-07,0.0,1.5562426014525954e-08
1861,5.706315846509824e-07,0.0,9.903524222920623e-09
1862,6.673065513496113e-07,0.0,8.584174260306554e-09
1863,5.77877642626845e-07,0.0,1.3485475847119233e-08
1864,5.825594371344778e-07,4.794727948009836e-10,1.5343129433631475e-08
1865,6.876699671920505e-07,0.0,2.8241067262513297e-09
1866,5.906854312343057e-07,0.0,4.379051787850585e-09
1867,6.11939526606875e-07,0.0,6.79393608038481e-09
1868,5.908089519834903e-07,0.0,4.939874287401835e-09
1869,6.4315946701754e-07,0.0,1.953407746668745e-08
1870,6.685900757474883e-07,0.0,6.880858549607183e-09
1871,7.509172519348795e-07,0.0,5.3105884134652115e-09
1872,6.47670049147564e-07,6.047339295989218e-10,1.0885210954825197e-08
1873,6.698339234390005e-07,0.0,1.855661402316855e-08
1874,6.476476528405328e-07,0.0,1.7326366119618797e-08
1875,6.471047413469933e-07,0.0,1.0298748520654044e-08
1876,6.958962899261678e-07,0.0,2.539326260375674e-08
1877,7.155832122407446e-07,0.0,1.0514186854493346e-08
1878,6.238378773559816e-07,1.2078177347163432e-09,1.2078177569208037e-08
1879,6.323151637843694e-07,0.0,1.221865097988939e-08
1880,6.340832214846159e-07,0.0,1.4761046607247863e-08
1881,6.944617325643776e-07,6.972507571312292e-10,9.761510710859511e-09
1882,7.533895995948114e-07,6.655385131892899e-10,8.652000893505374e-09
1883,7.766467433611979e-07,1.2638677882037541e-09,2.1485751844352308e-08
1884,8.285129524665535e-07,0.0,1.3203393933736152e-08
1885,7.509165698138531e-07,0.0,7.7347630522695e-09
1886,8.195898999474593e-07,1.936039106809062e-09,5.808117542471791e-09
1887,7.266693273777491e-07,6.528924623161458e-10,9.793386546164129e-09
1888,8.724686040295637e-07,1.268122939990235e-09,4.4384300679212174e-09
1889,8.977941092780384e-07,0.0,5.012109394186837e-09
1890,9.857797067525098e-07,0.0,3.9326319978272295e-09
1891,9.478465017309645e-07,6.374220040683554e-10,7.0116419337296065e-09
1892,9.816490091907326e-07,1.8805537127519756e-09,4.387958441043338e-09
1893,9.206832487507199e-07,0.0,6.15841644346915e-09
1894,9.698069334262982e-07,0.0,7.561847148451761e-09
1895,9.521448305349622e-07,1.2037228991346183e-09,2.4074457982692365e-09
1896,1.0909503771472373e-06,5.89702897624278e-10,2.948514543632541e-09
1897,1.0995008778991178e-06,0.0,1.0488084178916779e-08
1898,1.1910836974493577e-06,0.0,4.52668391659472e-09
1899,1.2381775604808354e-06,1.1055156790007459e-09,8.291367592505594e-09
1900,1.1565666682145093e-06,0.0,1.1939421895590385e-08
1901,1.2250516192580108e-06,2.794369402536745e-09,8.38310842965484e-09
1902,1.089100919671182e-06,1.4730852093691738e-09,7.856454153909453e-09
1903,1.2593313840625342e-06,5.400220270956879e-10,1.0800440541913758e-09
1904,1.2044534969390952e-06,1.6123875568041512e-09,5.912087708281888e-09
1905,1.355215317744296e-06,1.5482277682110634e-09,1.0321517862621477e-08
1906,1.226888002747728e-06,5.144184522798412e-10,8.230695236477459e-09
1907,1.2903393553642672e-06,0.0,5.142843484406967e-09
1908,1.2995535598747665e-06,0.0,5.40252820258047e-09
1909,1.3697449503524695e-06,5.500983557560346e-10,1.1001967337165297e-08
1910,1.2596162832778646e-06,1.068830135508847e-09,5.878565634276356e-09
1911,1.2838062275477569e-06,1.5961122423746588e-09,9.576673676292558e-09
