year,en_ADP or_NOUN
1800,6.980045327509288e-06
1801,6.350614057737403e-06
1802,7.655650733795483e-06
1803,5.9017265812144615e-06
1804,7.0299442995747086e-06
1805,6.606847819057293e-06
1806,6.8151475716149434e-06
1807,6.0241568462515716e-06
1808,6.4809714785951655e-06
1809,7.76654724177206e-06
1810,5.911160315008601e-06
1811,9.31880458665546e-06
1812,6.8013810050615575e-06
1813,6.634335932176327e-06
1814,5.903166311327368e-06
1815,1.0122679668711498e-05
1816,5.3258536354405805e-06
1817,5.930131010245532e-06
1818,5.1046481530647725e-06
1819,7.2146817728935275e-06
1820,6.727108029735973e-06
1821,6.427718290069606e-06
1822,8.022498150239699e-06
1823,6.740980552422116e-06
1824,6.967628451093333e-06
1825,7.2732959779386874e-06
1826,8.379035534744617e-06
1827,7.899203410488553e-06
1828,6.4774790189403575e-06
1829,6.618492079724092e-06
1830,8.751287168706767e-06
1831,6.476586804637918e-06
1832,7.179001840995625e-06
1833,7.363712484220741e-06
1834,6.873015081509948e-06
1835,7.255270247696899e-06
1836,6.864574061182793e-06
1837,7.021207693469478e-06
1838,7.056365575408563e-06
1839,7.455709237547126e-06
1840,7.969754733494483e-06
1841,7.788125003571622e-06
1842,7.114786058082245e-06
1843,7.359420578723075e-06
1844,6.799778475397034e-06
1845,7.008766260696575e-06
1846,7.009009095781948e-06
1847,8.276440894405823e-06
1848,6.6855791374109685e-06
1849,5.945194970990997e-06
1850,7.818886842869688e-06
1851,7.19241415936267e-06
1852,8.220215022447519e-06
1853,8.5852489064564e-06
1854,7.341993295995053e-06
1855,7.917419679870363e-06
1856,8.091428753687069e-06
1857,8.515304216416553e-06
1858,8.358888408110943e-06
1859,7.205934707599226e-06
1860,8.530039849574678e-06
1861,8.377909580303822e-06
1862,9.247414709534496e-06
1863,7.2911475399450865e-06
1864,7.302370704564964e-06
1865,7.4099853009101935e-06
1866,8.710906513442751e-06
1867,9.209665222442709e-06
1868,8.792975677351933e-06
1869,6.798835329391295e-06
1870,7.445089067914523e-06
1871,6.073189069866203e-06
1872,7.06631590219331e-06
1873,8.139169949572533e-06
1874,7.414490028168075e-06
1875,7.726350304437801e-06
1876,7.484966317861108e-06
1877,9.371233318233863e-06
1878,1.0096752703248058e-05
1879,9.032026355271228e-06
1880,7.997919965418987e-06
1881,1.044342207023874e-05
1882,7.564510724478168e-06
1883,9.607290849089622e-06
1884,7.816409379302058e-06
1885,9.4944216471049e-06
1886,9.35300522542093e-06
1887,7.971164450282231e-06
1888,8.393071766477078e-06
1889,8.273739695141558e-06
1890,7.080048362695379e-06
1891,8.761365279497113e-06
1892,9.089342711376958e-06
1893,9.538771337247454e-06
1894,1.042841722664889e-05
1895,9.170563316729385e-06
1896,9.294896699429955e-06
1897,1.0751451554824598e-05
1898,8.204048754123505e-06
1899,8.074133802438155e-06
1900,9.301328645960893e-06
1901,7.562681275885552e-06
1902,7.296681815205375e-06
1903,7.375620953098405e-06
1904,6.838135504949605e-06
1905,7.16468184691621e-06
1906,7.4348899943288416e-06
1907,7.372780146397417e-06
1908,7.036056103970623e-06
1909,6.1825553530070465e-06
1910,6.2622757468489e-06
1911,6.615885467908811e-06
1912,6.261724138312275e-06
1913,6.590555585717084e-06
1914,7.541872946603689e-06
1915,8.198232535505667e-06
1916,7.160529094107915e-06
1917,5.998634151183069e-06
1918,5.382516064855736e-06
1919,6.98139047017321e-06
1920,7.841045771783683e-06
1921,7.103237294359133e-06
1922,8.12753387435805e-06
