year,son_DET acteur_NOUN,son_DET facteur_NOUN
1800,3.772997558826319e-08,6.288328968651058e-09
1801,3.5717739876872656e-08,5.2386017301842e-08
1802,4.4756802708434407e-08,7.161088433349505e-08
1803,5.851017448321727e-09,6.436119548425268e-08
1804,2.4718509905596875e-08,1.0628959046243835e-07
1805,2.842877711017877e-09,7.675770063997334e-08
1806,8.645007376628655e-09,4.8988375134229045e-08
1807,8.540865792383556e-09,1.195721210933698e-07
1808,2.4926814390369145e-08,1.11037628869326e-07
1809,2.0331274663831778e-08,5.6475762733043666e-08
1810,4.44624070894406e-08,5.616304221689461e-08
1811,1.2535384286138651e-08,4.011322829455821e-08
1812,2.9339290108509886e-08,1.0135391192989118e-07
1813,1.1502966579257645e-08,1.0927818516748289e-07
1814,0.0,1.447471538185141e-07
1815,0.0,4.315557644574142e-08
1816,2.3176038865813098e-09,3.7081662185300956e-08
1817,1.5568733857662664e-08,3.42512151974006e-08
1818,1.9073883805731384e-08,2.6226590676969863e-08
1819,2.6912729822470283e-08,6.417651232659694e-08
1820,2.1359666035891678e-08,8.425201425410478e-08
1821,1.4792232105875769e-08,5.226588939422072e-08
1822,6.316138012607553e-08,1.4035862250239006e-08
1823,9.882686891060644e-10,3.4589405117912975e-08
1824,4.7158231986088595e-08,4.463189728909356e-08
1825,2.7296874094417944e-08,6.956299869464999e-08
1826,6.1655889282974385e-09,1.1098060426206757e-07
1827,3.041700225026034e-08,1.1521591147811705e-07
1828,5.503380862137419e-09,7.154395120778645e-08
1829,0.0,7.11573591161141e-08
1830,2.0873671235932534e-08,5.7402598452327425e-08
1831,2.182768810143898e-08,1.4967557149248023e-07
1832,1.2176972319366541e-08,4.735489433915774e-08
1833,1.50587169400751e-08,5.09679658478035e-08
1834,9.334531370086552e-09,4.667265329771908e-08
1835,4.4622218808854086e-08,1.0210168710500511e-07
1836,8.736974699274924e-09,5.511014888881505e-08
1837,1.2524203896191466e-08,4.6617870008702766e-08
1838,1.5780404538645598e-08,6.249040440664544e-08
1839,4.894032556990169e-08,4.754203164480941e-08
1840,1.0191501864653674e-08,3.630722672509634e-08
1841,1.1556987367100646e-08,2.7608358710295988e-08
1842,1.6770663080478698e-08,6.507017324963726e-08
1843,6.497602011990011e-09,4.607390569066894e-08
1844,8.232841963717874e-09,3.787107161201675e-08
1845,2.0646844234306627e-08,9.039969417479199e-08
1846,1.1709002656346001e-08,4.7421460758201306e-08
1847,9.168480197274675e-09,1.1325769744274794e-07
1848,9.65426583121598e-09,4.263967667839097e-08
1849,2.513824481908955e-09,1.0306680309213334e-07
1850,3.394498016007219e-09,1.6293590476834652e-08
1851,1.1608989325395669e-08,4.1921353499674296e-08
1852,4.036538214791108e-08,5.599068941819496e-08
1853,1.6721408258035808e-08,6.867721680237082e-08
1854,1.0910895298366086e-08,7.066103591135686e-08
1855,1.326734277995456e-08,6.262185792138553e-08
1856,2.7439103433835044e-08,4.5041547713786656e-08
1857,1.122747050885664e-08,4.246912865824015e-08
1858,1.3702292633865909e-08,2.88726890174118e-08
1859,9.165912473463322e-09,3.106225654470052e-08
1860,9.612086238064421e-09,3.1124849447783376e-08
1861,1.5562680311109744e-08,3.065376574795664e-08
1862,1.490935552794781e-08,4.698705780015189e-08
1863,1.2986014041871385e-08,2.5972028361298527e-08
1864,1.102787461348953e-08,2.924783959468158e-08
1865,1.788600934027329e-08,1.5061901947888146e-08
1866,1.1190909532388105e-08,4.2330832172865485e-08
1867,2.426405742994575e-08,4.270474107670452e-08
1868,1.778354707937524e-08,3.309715523869272e-08
1869,1.5138908793232986e-08,4.785848706223561e-08
1870,2.5229813793714584e-08,3.7271317143705573e-08
1871,4.248470908407853e-09,3.18635318130589e-08
1872,6.652073114565837e-09,3.1446163006876304e-08
1873,2.9930022904522957e-09,3.471882709105145e-08
1874,6.572069999322139e-09,9.559374802847742e-08
1875,1.9453191668628023e-08,3.089624556196213e-08
1876,9.673623679873344e-09,3.506688628363008e-08
1877,1.9172929910382663e-08,3.958282235316801e-08
1878,1.69094480639842e-08,3.563062156430874e-08
1879,1.3440515367335593e-08,4.7041804673852994e-08
1880,2.4387816210946767e-08,4.6850276769205834e-08
1881,2.091752193678076e-08,5.020205584571613e-08
