year,un_DET air_NOUN,un_DET fer_NOUN
1800,3.1539114957013226e-05,3.9868006567189695e-06
1801,2.9183774074681423e-05,4.219455590259713e-06
1802,2.820126178448845e-05,3.7976147666540783e-06
1803,3.28456627585183e-05,4.440922431570016e-06
1804,3.575037993641672e-05,3.398794980569164e-06
1805,3.487073780661376e-05,3.260780776059846e-06
1806,3.055722015687934e-05,2.9364209055415813e-06
1807,2.429306718454427e-05,2.5138612755881695e-06
1808,2.6828049868754533e-05,2.8507210885209133e-06
1809,2.871905564916233e-05,4.014297275034551e-06
1810,4.341403035823532e-05,3.4048843318146282e-06
1811,3.0200246897038596e-05,3.1238177484738117e-06
1812,2.5333143298666982e-05,5.827849822281905e-06
1813,3.3326970822145086e-05,3.448014325613258e-06
1814,2.6513900877489505e-05,3.4361715535169424e-06
1815,2.3487422566859095e-05,2.953459848242801e-06
1816,2.6483259148335492e-05,3.963102727766454e-06
1817,2.63189456291002e-05,3.566796893395008e-06
1818,2.873718946716508e-05,3.21633373800978e-06
1819,2.4065156139840838e-05,2.880697238083485e-06
1820,2.803930794925691e-05,3.0366325525221782e-06
1821,3.1554789529764093e-05,2.1152892166753645e-06
1822,2.90572434380465e-05,2.9625693827028954e-06
1823,2.759740365831931e-05,2.605076296902098e-06
1824,2.4607332676396254e-05,2.54064967819545e-06
1825,2.7951998561093205e-05,2.9304513304850843e-06
1826,2.211420704156808e-05,2.6538456232572116e-06
1827,1.9799625064820248e-05,2.71079997560264e-06
1828,2.5229331214404738e-05,2.9388052169565526e-06
1829,2.8438082637194384e-05,2.7545614003088303e-06
1830,2.8202417325928764e-05,2.8450814646419076e-06
1831,2.4743244182445778e-05,3.0792632799148123e-06
1832,2.7678257595198374e-05,3.289135626971529e-06
1833,2.8152851399454448e-05,2.9874178117950123e-06
1834,2.4972671269551938e-05,2.6687425034310763e-06
1835,3.5641052249957283e-05,2.9722935650511317e-06
1836,2.651873523973336e-05,2.588160839422926e-06
1837,2.4754087718292794e-05,2.5535459453607245e-06
1838,2.219482431087272e-05,2.620178364054482e-06
1839,2.432054471057654e-05,2.8105729796834567e-06
1840,2.5315690649563294e-05,2.278437687408541e-06
1841,2.1713653779897868e-05,2.0764054582400604e-06
1842,2.5270704668400867e-05,2.2928850498260545e-06
1843,2.5331198287403822e-05,2.57600385822343e-06
1844,2.3661187839252307e-05,2.424297463221592e-06
1845,2.451003473424862e-05,2.3241649174110535e-06
1846,2.186480668342483e-05,2.4237636431223564e-06
1847,1.578380854994066e-05,2.085559543729687e-06
1848,1.847504712770842e-05,2.7579018926360277e-06
1849,1.6754639375449187e-05,2.3705365386206267e-06
