year,aucun_DET enfant_NOUN
1800,8.803660911382849e-08
1801,1.3810858701113204e-07
1802,1.6112448975036386e-07
1803,1.872325601226521e-07
1804,1.9774808279748868e-07
1805,8.812921237222326e-08
1806,1.988351669979238e-07
1807,3.1885896056849106e-07
1808,3.489753956920083e-07
1809,3.7499907534765953e-07
1810,2.761349486846143e-07
1811,2.9082089270104916e-07
1812,4.000812365845263e-07
1813,2.674439745220525e-07
1814,2.2656075060467629e-07
1815,2.184751011213848e-07
1816,1.1356259399519786e-07
1817,9.496927655394671e-08
1818,2.408077826032695e-07
1819,1.770029509629012e-07
1820,1.9223699077031142e-07
1821,2.702047776637073e-07
1822,2.0753024898567674e-07
1823,1.4725203723031655e-07
1824,1.515800249762833e-07
1825,2.3598586729178805e-07
1826,4.0869048589797785e-07
1827,3.032482704945494e-07
1828,2.2563861001856367e-07
1829,2.0918549425985589e-07
1830,2.5778984635849156e-07
1831,1.6214854170470971e-07
1832,1.9753755609031032e-07
1833,2.6642346284688756e-07
1834,2.3242982116755684e-07
1835,2.3143048366591756e-07
1836,2.0968740166438238e-07
1837,2.66487223399281e-07
1838,2.739478297542064e-07
1839,2.4609992266277914e-07
1840,2.5797239544544937e-07
1841,3.062601550141153e-07
1842,2.079562229084786e-07
1843,2.6817375697874013e-07
1844,2.2503100893800365e-07
1845,2.209770304517633e-07
1846,2.3593640108288128e-07
1847,2.383804869054984e-07
1848,2.1802551586347363e-07
1849,1.4580181861845176e-07
1850,2.0434878678088353e-07
1851,1.9090338554406117e-07
1852,2.4805178000519845e-07
1853,2.2155867185347233e-07
1854,1.5067427128201416e-07
1855,2.886973824445249e-07
1856,2.7024927717889113e-07
1857,1.7378172678661485e-07
1858,1.9476831170095465e-07
1859,1.894288494952434e-07
1860,1.5058934543787927e-07
1861,1.4147891952420721e-07
1862,1.5587052715204663e-07
1863,1.8679882174410523e-07
1864,1.9658384431409104e-07
1865,2.908829728198725e-07
1866,1.8683952873743692e-07
1867,2.0430336178378639e-07
1868,2.0599274108690224e-07
1869,2.0022429225718952e-07
1870,1.754618992322321e-07
1871,2.2623108009156567e-07
1872,2.39474633900727e-07
1873,2.9690581726526943e-07
1874,3.094847542683965e-07
1875,2.3687121597504301e-07
1876,2.2672556099223584e-07
1877,1.7255637274615765e-07
1878,2.222384694050561e-07
1879,1.9305467524599607e-07
1880,2.252664081936473e-07
1881,2.252119912782291e-07
1882,2.868470971861825e-07
1883,1.7883729697132367e-07
1884,1.868280214978313e-07
1885,1.9465819178776655e-07
1886,1.9424926733790926e-07
1887,2.6507434114364514e-07
1888,1.6992848017594042e-07
1889,2.2554493028792422e-07
1890,2.294035219563284e-07
1891,1.963259705917153e-07
1892,1.9996554101453512e-07
1893,2.2231883889389792e-07
1894,1.6762093935085431e-07
1895,2.1546640738279166e-07
1896,2.3175323349278187e-07
1897,1.8762017006679343e-07
1898,1.5843393441627995e-07
1899,2.2220864437372256e-07
1900,2.0971855363427494e-07
1901,1.7380977723746582e-07
1902,2.0083060547904097e-07
1903,1.857675755445598e-07
1904,2.010109874106547e-07
1905,2.002374515086558e-07
1906,2.0936831646167775e-07
1907,1.979994633805049e-07
1908,2.3230870027646233e-07
1909,1.5732812741475755e-07
1910,2.175069298004928e-07
1911,1.8993734940409013e-07
1912,1.911857623326796e-07
1913,2.0045300885840334e-07
1914,2.029113339574451e-07
1915,1.6021835591573108e-07
1916,1.7799688478703501e-07
1917,1.5243329798408922e-07
1918,1.573633632290239e-07
1919,2.1085973145318349e-07
1920,1.5674519460162628e-07
1921,1.0677574024953174e-07
1922,1.6452795748023163e-07
1923,1.794095254581407e-07
1924,1.5469948699831093e-07
1925,1.4957521798919515e-07
1926,1.9505741732928072e-07
1927,1.6835329574860225e-07
1928,2.410894772708616e-07
1929,1.860447891299799e-07
1930,1.2394252024705565e-07
1931,1.437074903520852e-07
1932,1.3699420620127967e-07
1933,1.5714807588551594e-07
1934,1.329955363615909e-07
1935,1.4002892445574844e-07
1936,1.5155893251517227e-07
1937,1.6368453970017072e-07
1938,1.724373461797768e-07
1939,1.4988169461105372e-07
1940,1.5468275638141904e-07
1941,2.62683734320035e-07
1942,1.6081322584682312e-07
1943,1.6258117518930248e-07
1944,1.5101974781828176e-07
1945,1.5903080097245947e-07
1946,2.1716922837811126e-07
1947,1.1086410012239867e-07
1948,1.4568329476105646e-07
1949,1.089687948763185e-07
1950,1.6165749272545327e-07
1951,1.7484698489056427e-07
1952,1.2126524673305994e-07
1953,1.4221452104834498e-07
1954,1.6026959315240674e-07
1955,1.6612525399750666e-07
1956,1.3953826649704126e-07
1957,1.2899155166223863e-07
1958,1.9853383648182898e-07
1959,1.6354077558844438e-07
1960,1.5779500373014343e-07
1961,1.229824171389282e-07
1962,1.4269402015543164e-07
1963,1.3966675282972574e-07
1964,2.2510682740062293e-07
1965,1.32423449983321e-07
1966,1.5066283753917276e-07
1967,1.7453387757271344e-07
1968,1.4911500301195701e-07
1969,1.3806943677252548e-07
1970,1.572764034563079e-07
1971,1.9320373922937506e-07
1972,1.4774822787444464e-07
1973,1.5492102178882305e-07
1974,1.4288952243646236e-07
1975,1.930480273415469e-07
1976,1.7769069060591391e-07
1977,1.79241840925215e-07
1978,1.7405932872804897e-07
1979,2.0247827681174613e-07
1980,2.006858164094183e-07
1981,2.9983104532504967e-07
1982,2.4519633967656773e-07
1983,2.1787840509546186e-07
1984,3.0154843599916603e-07
1985,1.918963050684397e-07
1986,3.890421034213887e-07
1987,1.8760207254331362e-07
1988,1.876921336130266e-07
1989,2.003164631947385e-07
1990,1.8743359220252387e-07
1991,2.860394943127176e-07
1992,2.1874477745820187e-07
1993,2.636662757571351e-07
1994,2.3737170085080805e-07
1995,1.9412373575278252e-07
1996,2.3807891103011514e-07
1997,1.9707016563064172e-07
1998,3.4235167523100074e-07
1999,2.892937285281505e-07
2000,2.4078271687599795e-07
2001,2.8127379669840025e-07
2002,2.5893019284239926e-07
2003,2.5001537001800855e-07
2004,2.735375369822268e-07
2005,2.7427834425886033e-07
2006,2.7589862083843286e-07
2007,3.087732707851565e-07
2008,2.7077316389068073e-07
2009,3.0611795409640763e-07
2010,3.301931346122444e-07
2011,3.376567194457447e-07
2012,3.611912276491047e-07
2013,3.388786922187137e-07
2014,3.445223327736002e-07
2015,3.4356917666400477e-07
2016,3.4094256676220347e-07
2017,3.6249959123324516e-07
2018,3.717312111461979e-07
2019,3.7678088832260315e-07
