year,on_PRON aille_VERB,on_PRON faille_VERB
1800,1.8550569791386806e-07,3.144164484325529e-09
1801,1.619204113012529e-07,1.4287095950749062e-08
1802,8.056224487518193e-08,4.475680270843441e-09
1803,7.411288915903924e-08,7.801356893821776e-09
1804,1.3347994887169534e-07,4.943701892301533e-09
1805,3.980028751016107e-08,0.0
1806,6.916005901302924e-08,2.881669125542885e-09
1807,1.508886242618246e-07,2.8469551160981155e-09
1808,1.2463406706686442e-07,4.5321479902327155e-09
1809,6.325285539787728e-08,2.259030518203531e-09
1810,1.6848912842704067e-07,0.0
1811,1.178326058948187e-07,2.5070767684098882e-09
1812,9.868670503010435e-08,0.0
1813,7.764502640839055e-08,0.0
1814,1.730672369859576e-07,0.0
1815,4.5852800667489646e-08,0.0
1816,8.575134202715162e-08,0.0
1817,1.0898113700363865e-07,1.0898113522728181e-08
1818,1.4663047842589094e-07,2.384235475716423e-09
1819,1.1696686696982539e-07,1.035105001712111e-09
1820,1.2934463988756306e-07,7.119888678630559e-09
1821,8.776724591541551e-08,4.930744257336528e-09
1822,9.323822780515911e-08,4.010246357211145e-09
1823,9.487379382111527e-08,0.0
1824,8.75795747035113e-08,0.0
1825,1.153513036200593e-07,0.0
1826,9.160303537925074e-08,0.0
1827,9.770309317147507e-08,4.608636583469661e-09
1828,1.6234973065909486e-07,2.7516904310687096e-09
1829,1.11451291973097e-07,0.0
1830,1.1689256229630018e-07,3.1310507520032616e-09
1831,1.2161141227373662e-07,0.0
1832,1.420646782435142e-07,0.0
1833,1.01935931695607e-07,3.4750886612755494e-09
1834,2.277625532620675e-07,2.8003592777992026e-09
1835,1.0815215745196838e-07,0.0
1836,1.1425275053822403e-07,1.008112526790228e-08
1837,1.4402833992122055e-07,1.3915781860163179e-09
1838,9.278878110308142e-08,5.680945491803868e-09
1839,9.927894817352012e-08,6.9914751765765004e-09
1840,1.8790581046701504e-07,2.5478754661634184e-09
1841,1.2391658676946804e-07,2.5682194149112547e-09
1842,1.4758183253249513e-07,2.683306021822318e-09
1843,1.1223130891302446e-07,4.7255288571079745e-09
1844,9.934296230085238e-08,4.9397050894128824e-09
1845,8.649353394618586e-08,1.1160455892778032e-09
1846,1.0245376991235844e-07,2.3418005312692003e-09
1847,1.445383963627478e-07,4.314578916364553e-09
1848,4.98803736093123e-08,2.413566457803995e-09
1849,8.798385664476882e-08,8.379414939696517e-10
1850,1.0455054155755761e-07,1.3577992064028876e-09
1851,8.964719699910972e-08,1.9348316282474798e-09
1852,8.203286938623933e-08,4.557382027314816e-09
1853,9.19677523025797e-08,1.074947753032518e-08
1854,9.404152445657843e-08,5.195664620760709e-09
1855,1.0401596384213008e-07,4.776243400783642e-09
1856,1.4858533220474257e-07,3.6240323519898254e-09
