year,en_ADP île_NOUN,en_ADP ile_NOUN,en_ADP file_NOUN
1800,3.144164395507687e-08,1.2576657937302116e-08,1.980823611802407e-07
1801,1.0715321963061797e-07,3.095537381980762e-08,3.64320925427819e-07
1802,6.937304419807333e-08,2.2378401354217203e-08,3.1329761895904085e-07
1803,3.705644502360883e-08,1.1702035340732664e-08,2.262393496987869e-07
1804,1.557266102736321e-07,4.943701892301533e-09,2.2493843232496147e-07
1805,6.254330742194725e-08,1.9900143755080535e-08,3.240880630528409e-07
1806,5.187004603612877e-08,5.76333825108577e-09,1.0950342410609437e-07
1807,6.832692633906845e-08,5.693910232196231e-09,6.832692633906845e-08
1808,7.47804418388398e-08,2.2660739951163578e-08,1.654234011994049e-07
1809,7.454800710071652e-08,6.7770917766551975e-09,3.185232912983338e-07
1810,8.424456154898508e-08,4.680253518074551e-08,1.427477371862551e-07
1811,6.267691787797958e-08,1.0028307073639553e-08,1.353821517113829e-07
1812,9.868670503010435e-08,8.00162469616339e-09,1.226915742336132e-07
1813,9.777521370324394e-08,2.5881675469463516e-08,2.041776525629757e-07
1814,9.125363931161701e-08,2.5173416684509675e-08,1.195737269199526e-07
1815,6.74305908887618e-08,5.394447111228828e-09,1.1867783911156948e-07
1816,6.025770460382773e-08,6.952811659743929e-09,1.1356259221884102e-07
1817,9.49692804397273e-08,1.0898113522728181e-08,8.56280379935015e-08
1818,1.1801965627000754e-07,7.152706427149269e-09,8.225612657675185e-08
1819,4.5544620519422097e-08,7.24573512300708e-09,1.4594981223581271e-07
1820,1.2222476186707354e-07,3.5599443393152796e-09,1.6138415048772004e-07
1821,3.550135829755163e-08,1.0847637010868993e-08,1.6172840922035192e-07
1822,5.714601059025881e-08,7.017931125119503e-09,9.825103575167304e-08
1823,7.313188632451784e-08,6.917880934764753e-09,1.7492355652848346e-07
1824,4.6316120716483056e-08,1.0947446504872005e-08,1.271587990459011e-07
1825,9.862096272961196e-08,1.4969253392393966e-08,1.1359021812040737e-07
1826,1.3476216054186807e-07,8.807984452907647e-09,8.984144272972117e-08
1827,4.2399456390285195e-08,8.295545805836468e-09,1.3088528011406808e-07
