year,ancien_ADJ or_NOUN,ancien_ADJ for_NOUN
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,2.881669125542885e-09
1807,2.2775640928784924e-08,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,1.7254450312975678e-08
1814,0.0,0.0
1815,0.0,4.045835311217161e-08
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,4.768470862615004e-08
1819,2.070210003424222e-09,0.0
1820,1.1866481131050932e-08,0.0
1821,9.86148829262845e-10,0.0
1822,1.0025615893027862e-09,0.0
1823,1.9765373782121287e-09,4.941343334508019e-09
1824,2.5263338088166165e-09,2.5263338088166165e-09
1825,3.522177216552791e-09,7.924898959288385e-09
1826,6.1655889282974385e-09,0.0
1827,4.6086365279585095e-09,4.608636583469661e-09
1828,9.172301251858528e-10,1.8344602503717056e-09
1829,1.714635211591542e-09,0.0
1830,0.0,0.0
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,8.108540172635514e-09,1.2741991128883967e-08
1834,1.9602515166639023e-08,1.6802156110884425e-08
1835,7.563087933704082e-10,9.832014313815307e-09
1836,3.36037508930076e-09,6.720750067579218e-10
1837,4.174734336004349e-09,0.0
1838,3.1560809521380406e-09,1.009945949093094e-08
1839,1.3982950353153e-09,6.991475398621105e-09
1840,1.2739377330817092e-09,1.082847034261647e-08
1841,6.420548537278137e-09,2.5682194149112547e-09
1842,1.341653010911159e-09,9.391571076378114e-09
1843,0.0,7.088293507706567e-09
1844,8.232841963717874e-09,1.097712254427563e-09
1845,3.348136878855712e-09,1.674068439427856e-09
1846,5.854501328173001e-10,4.6836010625384006e-09
1847,0.0,8.629157832729106e-09
1848,8.045221711050488e-10,8.045221711050488e-10
1849,5.865590679832167e-09,1.005529748354661e-08
1850,6.788996032014438e-10,4.752297222410107e-09
1851,1.9348316282474798e-09,0.0
1852,1.6927418133860783e-08,9.114764054629632e-09
1853,2.388772735173461e-09,4.777545470346922e-09
1854,2.5978321716024766e-09,1.3508727469968562e-08
1855,1.0613874223963649e-09,1.1675261646360013e-08
1856,0.0,1.5531567698623405e-09
1857,4.881509085841174e-10,4.881509085841174e-10
1858,4.893676019968041e-10,7.3405139189297586e-09
1859,5.092173349652285e-10,0.0
1860,3.661747127736703e-09,7.323494033428801e-09
1861,9.431927461278633e-10,4.715963619617014e-09
1862,1.3553959066214816e-09,7.228778048373741e-09
1863,9.989241656072068e-10,3.995696662428827e-09
1864,0.0,1.4384183844029508e-09
1865,4.706844358715045e-10,8.943004337069738e-09
1866,1.9462452205409875e-09,0.0
1867,5.338092634588065e-09,1.1161466417775046e-08
1868,4.93987406535723e-10,4.93987406535723e-10
1869,9.767038289254515e-10,1.2208797972590446e-08
1870,2.2936195165357276e-09,8.027668307875047e-09
1871,4.248470908407853e-09,3.18635318130589e-09
1872,1.8142017887967654e-09,0.0
1873,0.0,3.591602570907071e-09
1874,1.1949218281515073e-09,0.0
1875,1.7164581422868253e-09,2.2886108563824337e-09
1876,1.813804439976252e-09,1.5115036333668286e-08
1877,6.184815992682502e-09,0.0
1878,5.435179861734696e-09,6.039088673581716e-10
1879,6.10932526790009e-10,7.331190321480108e-09
1880,6.417846254436199e-10,6.417846254436199e-10
1881,1.3945015142624584e-09,0.0
1882,2.6621540527571597e-09,5.989846840748214e-09
1883,1.8958017378167824e-09,6.319338829996468e-09
1884,6.601696966868076e-10,6.601696966868076e-10
1885,1.2891271383708158e-09,1.2891271383708158e-09
