year,aucun_DET fard_NOUN
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,4.475680270843441e-09
1803,1.5602713787643552e-08
1804,3.460591457837836e-08
1805,8.528632911009026e-09
1806,0.0
1807,8.540865792383556e-09
1808,3.172503681980743e-08
1809,1.8072244145628247e-08
1810,4.680253518074551e-09
1811,1.504245972228091e-08
1812,0.0
1813,4.888760685162197e-08
1814,3.1466772298927026e-08
1815,1.0788894222457657e-08
1816,9.270415546325239e-09
1817,1.556873407970727e-09
1818,8.344824387052086e-09
1819,1.3456364911235141e-08
1820,2.1359666035891678e-08
1821,1.676452932031225e-08
1822,1.1028177482330648e-08
1823,2.4706716672540097e-08
1824,5.894778887238772e-09
1825,2.6416328680056722e-08
1826,2.025836387531399e-08
1827,9.217273166939322e-09
1828,3.668920500743411e-09
1829,1.2859763920403111e-08
1830,3.1310507520032616e-09
1831,1.7150327380477393e-08
1832,5.411987746839486e-09
1833,1.1583628500844156e-09
1834,4.667265685043276e-09
1835,1.1344631900556124e-08
1836,2.083432448785061e-08
1837,2.1569462660409044e-08
1838,1.1361890983607736e-08
1839,3.4957374772659477e-09
1840,1.273937771939515e-08
1841,3.2102742686390684e-09
1842,1.0733224087289273e-08
1843,1.5357969118667825e-08
1844,1.097712254427563e-09
1845,6.696273757711424e-09
1846,8.196302303531411e-09
1847,1.6179670936367074e-08
1848,5.63165514222419e-09
1849,1.6758829879393033e-09
1850,4.752297222410107e-09
1851,5.8044946626978344e-09
1852,3.906327261660181e-09
1853,1.4332636411040767e-08
1854,1.454786069388092e-08
1855,1.9104973603134567e-08
1856,1.0354378465748937e-09
1857,8.298565390418844e-09
1858,8.808616946964776e-09
1859,7.129042689513199e-09
1860,2.746310290291376e-09
1861,1.2733101684148096e-08
1862,1.0843167252971853e-08
1863,9.489779628779615e-09
1864,9.109982990196386e-09
1865,7.530950973944073e-09
1866,1.5083399418358567e-08
1867,7.76449837758264e-09
1868,1.1361710461343932e-08
1869,3.906815315701806e-09
1870,2.8670243956696595e-09
1871,9.559059321873065e-09
1872,1.8746751706544273e-08
1873,3.591602570907071e-09
1874,5.974609251779839e-09
1875,9.154443425529735e-09
1876,1.5115036333668286e-08
1877,3.710889595609501e-09
1878,1.268208649207736e-08
1879,1.0996785704264767e-08
1880,1.0910338410496934e-08
1881,1.1853263259808955e-08
1882,3.9932310791357395e-09
1883,1.579834751908038e-08
1884,5.941527270181268e-09
1885,7.7347630522695e-09
1886,1.355227396970804e-08
1887,7.1818169189441505e-09
1888,8.876860135842435e-09
1889,6.265136853755848e-09
1890,3.9326319978272295e-09
1891,5.099376032546843e-09
1892,6.8953633913793055e-09
1893,1.2316833108982905e-09
1894,6.9316932194141145e-09
1895,3.0093072478365457e-09
