year,ancien_ADJ art_NOUN
1800,0.0
1801,2.1430643926123594e-08
1802,2.9091921760482364e-08
1803,3.315576790896557e-08
1804,4.943701892301533e-09
1805,3.1271653710973624e-08
1806,4.3225035994964855e-08
1807,1.1387820464392462e-08
1808,1.5862518409903714e-08
1809,0.0
1810,3.2761775514700275e-08
1811,1.504245972228091e-08
1812,1.0402111882967802e-07
1813,8.627224934443234e-09
1814,0.0
1815,2.1577788444915313e-08
1816,3.9399267848239106e-08
1817,0.0
1818,1.1921176934492905e-08
1819,3.3123360054787554e-08
1820,1.6613073583471305e-08
1821,5.9168927535324656e-09
1822,7.017931125119503e-09
1823,9.882686669016039e-09
1824,4.6316120716483056e-08
1825,3.9624492131906663e-08
1826,2.906634755106552e-08
1827,1.6591091167583727e-08
1828,1.8344602503717056e-09
1829,1.628903412154159e-08
1830,6.575206512593468e-08
1831,8.263339346115117e-08
1832,2.17832510363003e-07
1833,2.559981879812767e-07
1834,5.3206827388407874e-08
1835,5.3697924329298985e-08
1836,1.4785649682380608e-07
1837,6.33168089070324e-08
1838,1.1298769919676488e-07
1839,1.3283803035335495e-07
1840,1.4713981072445037e-07
1841,3.653292175442857e-07
1842,2.5625573663035084e-07
1843,2.2091846846317154e-07
1844,4.7036969613722945e-07
1845,2.4720409719236613e-07
1846,2.4647449237136243e-07
1847,2.8638018623183825e-07
1848,2.9043249982763086e-07
1849,5.605828810040236e-07
1850,3.23835124049765e-07
1851,1.380824805607972e-06
1852,4.1927912763917163e-07
1853,2.9799939715857704e-07
1854,3.481095305346571e-07
1855,2.0431707525858656e-07
1856,2.055344099360923e-07
1857,2.7971046467900607e-07
1858,7.73200792281159e-07
1859,4.4607438076660344e-07
1860,2.425907448255771e-07
1861,2.3013903494017995e-07
1862,1.5225614236058505e-07
1863,3.7559549959098604e-07
1864,4.2625130269868805e-07
1865,5.780004723732191e-07
1866,2.9290990133379324e-07
1867,3.3824096945522797e-07
1868,7.059079848437122e-07
1869,5.718601089332864e-07
1870,4.713387973254157e-07
1871,4.896362852946368e-07
1872,4.5838830642352946e-07
1873,1.8915774546712782e-07
1874,9.917850929408445e-08
1875,2.523193389780687e-07
1876,1.8924025813049639e-07
1877,4.2056748927876697e-07
1878,1.5037330736156207e-07
1879,1.9061094480576912e-07
1880,2.7019132509131794e-07
1881,4.0161642811398224e-07
1882,1.8235755616657912e-07
1883,4.354024554231728e-07
1884,2.528449885019768e-07
1885,4.31213035168021e-07
1886,4.304460503590235e-07
1887,4.6420655408496714e-07
1888,3.544403632815829e-07
1889,2.706539135033381e-07
1890,6.5478322552881e-07
1891,5.214112057672082e-07
1892,4.795412096303409e-07
1893,6.084515594695361e-07
1894,3.314609708926497e-07
1895,4.869059031520351e-07
1896,3.408482691091841e-07
1897,5.733486139192223e-07
1898,4.006115252863651e-07
1899,4.842158691786835e-07
1900,3.6493103472423627e-07
1901,4.538055986547107e-07
1902,5.254003978549804e-07
1903,5.54602609170729e-07
1904,5.138141538907348e-07
1905,6.5386819736446e-07
1906,6.718305241015798e-07
1907,7.235980745701198e-07
1908,4.6609083348414515e-07
1909,4.3017690432023414e-07
1910,6.07629913496055e-07
1911,4.692570048092648e-07
1912,7.652639597566235e-07
1913,5.127991187237058e-07
1914,4.968983930986326e-07
1915,4.995043152433709e-07
1916,4.142273253293638e-07
1917,8.038389003317548e-07
1918,4.962114523721084e-07
1919,4.999861680232698e-07
1920,4.210160895468107e-07
1921,5.43723275292507e-07
1922,5.946616115082293e-07
1923,4.872720187343305e-07
1924,5.453156921575442e-07
1925,5.8180362705329e-07
1926,5.706823067441746e-07
1927,3.857631698522823e-07
1928,4.0676705526099255e-07
1929,5.547922443671638e-07
1930,5.031226149032619e-07
1931,5.588624691910127e-07
1932,3.309779996740758e-07
1933,4.0376731647029374e-07
1934,6.58986920143434e-07
1935,2.214132575062422e-07
1936,4.95900836838814e-07
1937,3.412192892682242e-07
1938,8.181050326072636e-07
1939,8.396433628377054e-07
1940,3.068297402819553e-07
1941,3.9254985262360265e-07
1942,4.672686209072907e-07
1943,7.345185251139696e-07
1944,3.341713643578714e-07
1945,8.387240413298969e-07
1946,5.735495225422937e-07
1947,2.121915092523352e-07
1948,3.5659791719488965e-07
1949,2.699677147388613e-07
1950,4.50939339202705e-07
1951,3.8807500857274135e-07
1952,5.557111444343121e-07
1953,2.3702420071103347e-07
1954,2.5701770467456697e-07
1955,2.121147337774687e-07
1956,3.8198599305871994e-07
1957,1.9790485183968087e-07
1958,2.473400744773535e-07
1959,2.627503568053413e-07
1960,3.2735541410922053e-07
1961,1.1811870969102856e-06
1962,1.3635205675655016e-07
1963,2.2178563341412882e-07
1964,1.5027401517597738e-07
1965,2.604692627139471e-07
1966,1.3958468692010229e-07
1967,2.6377295625490405e-07
1968,2.2412165173735232e-07
1969,2.675095237547609e-07
1970,1.5819614629375423e-07
1971,1.587764779653611e-07
1972,1.903284527204896e-07
1973,1.9075684498659484e-07
1974,2.4865026154730074e-07
1975,2.690107199221359e-07
1976,3.073877508086298e-07
1977,2.456494874181203e-07
1978,1.6336626806889853e-07
1979,3.0488782309934237e-07
1980,4.047827388831138e-07
1981,1.2651098796334637e-07
1982,1.6325731344579708e-07
1983,4.0796941058740543e-07
1984,1.6817124315338106e-07
1985,2.670907850443882e-07
1986,1.6904449395838128e-07
1987,1.52159336519464e-07
1988,1.6190695184548076e-07
1989,5.768016425600209e-07
1990,1.8089521625075378e-07
1991,2.0808202094713124e-07
1992,1.6309434869299366e-07
1993,2.0938204414733264e-07
1994,1.3187316305618424e-07
1995,2.667845819814829e-07
1996,2.396803393533986e-07
1997,2.805013227247244e-07
1998,1.2540179739062296e-07
1999,1.9469056589116462e-07
2000,1.6921060297381274e-07
2001,2.795213163153676e-07
2002,5.691206581559527e-07
2003,5.20865370390311e-07
2004,2.0085848007056484e-07
2005,4.773974541238957e-07
2006,8.482852908997529e-08
2007,7.34984206829381e-08
2008,9.06834670411083e-08
2009,2.2982687997163964e-07
2010,1.1384341469522496e-07
2011,6.080115300122202e-08
2012,6.740420310791251e-08
2013,1.7153119635793246e-07
2014,1.132960899874469e-06
2015,1.1364382315193211e-06
