year,mon_DET air_NOUN,mon_DET fer_NOUN
1800,2.5467732811534916e-07,2.829747991484055e-08
1801,2.857419119095539e-07,4.0480104601670064e-08
1802,2.6854081625060644e-07,4.2518962573012686e-08
1803,2.1843799924425866e-07,3.510610557810878e-08
1804,4.4740502147533334e-07,5.19088700912107e-08
1805,2.3595885600968813e-07,3.980028751016107e-08
1806,1.786634866718373e-07,6.339671809740821e-08
1807,1.6512339939822596e-07,1.4234775580490577e-08
1808,1.31432294381284e-07,2.7192887497307083e-08
1809,2.82378817217932e-07,2.484933525614963e-08
1810,5.101476219238066e-07,2.106114038724627e-08
1811,3.083704456230407e-07,1.2535383397960231e-08
1812,1.7870294755084615e-07,2.6672081432366213e-08
1813,2.7894694198948855e-07,5.751483289628823e-09
1814,2.1397405092216104e-07,7.552025138579666e-08
1815,2.1577787912008262e-07,8.091670666843243e-09
1816,1.46009039525552e-07,9.270415546325239e-09
1817,3.6430836658496446e-07,4.203558301441035e-08
1818,3.4929049164134085e-07,9.060095074175933e-08
1819,2.3703904972194323e-07,2.6912730377581795e-08
1820,3.453146142362584e-07,2.3732963150280284e-08
1821,3.5304127266044816e-07,3.352905997289213e-08
1822,2.2156611123591574e-07,2.105379337535851e-08
1823,3.449057608406747e-07,2.7671523405992104e-08
1824,3.107390718071201e-07,3.789500535589241e-08
1825,3.4693444384004124e-07,3.874395027025912e-08
1826,2.0434524117263209e-07,2.554315425840059e-08
1827,2.1291900154096766e-07,2.7651819944907174e-08
1828,2.825068889933391e-07,2.5682442839070063e-08
1829,2.6062456370823384e-07,4.458051439115707e-08
1830,2.170861836958693e-07,4.696576194618274e-08
1831,2.60373150595683e-07,4.5214498811674275e-08
1832,2.814233717174375e-07,4.194290381676069e-08
1833,2.5947328552433646e-07,3.4750884836398654e-08
1834,2.0162587244243468e-07,4.573920175943158e-08
1835,2.6243913708867694e-07,4.764745398233572e-08
1836,3.098265786150023e-07,3.8308276550935716e-08
1837,1.7325148338187546e-07,2.087367334535628e-08
