year,en_ADP âme_NOUN,en_ADP ame_NOUN,en_ADP femme_NOUN
1800,6.288328968651058e-09,1.446315653907959e-07,4.842013212602581e-07
1801,1.904946067554647e-08,2.0478170359439218e-07,6.810182189287417e-07
1802,2.0140561218795483e-08,7.832440473976021e-08,6.086925168347079e-07
1803,4.290746247193056e-08,9.751695762005852e-08,5.851017697011685e-07
1804,1.4831105232815389e-08,2.4471323856189997e-07,7.118930955840597e-07
1805,2.842877711017877e-09,1.3645813323748257e-07,8.443346963815657e-07
1806,1.2679343797117326e-07,2.0748018414451508e-07,8.183940201078599e-07
1807,8.540865792383556e-09,2.7046074890790806e-07,6.149423086299066e-07
1808,9.064295980465431e-09,2.6286459053892486e-07,7.183454684422941e-07
1809,1.3554183553310395e-08,1.6716825657070444e-07,7.477390795429528e-07
1810,1.6380887757350138e-08,1.8487000863487424e-07,1.0062544726352485e-06
1811,7.270522672797597e-08,9.777599307980722e-08,7.521230123153089e-07
1812,1.3336041604361526e-08,8.268345785822362e-08,7.708231954950406e-07
1813,6.039057609541487e-08,7.189354045422647e-08,9.777521796650035e-07
1814,4.405347908686963e-08,1.5733386149463513e-07,6.32482096918352e-07
1815,4.045835311217161e-08,2.886029148996272e-07,3.8840020089025984e-07
1816,3.9399267848239106e-08,1.3442102897442965e-07,5.400017197842999e-07
1817,9.029865566390072e-08,8.25142891791586e-08,6.16521848684215e-07
1818,8.344824209416402e-08,9.775365494846255e-08,6.389750923929682e-07
1819,1.625114833814223e-07,1.1800196819677922e-07,5.258333342084143e-07
1820,9.374520004712394e-08,2.0054353644383127e-07,6.241768879533538e-07
1821,1.370746929296729e-07,1.4989461838421647e-07,8.076558923875155e-07
1822,1.1529458276982041e-07,1.6141241587774857e-07,6.015369677925264e-07
1823,8.103803139647425e-08,1.7195875101627678e-07,7.273657338657813e-07
1824,5.726356633317664e-08,1.1200079974571509e-07,7.511632418299996e-07
1825,9.509878395874694e-08,1.673034146776331e-07,7.634318865967771e-07
1826,1.0041102171953753e-07,1.444509369896707e-07,5.557838109737645e-07
1827,4.7929820112813104e-08,1.281200947556016e-07,5.290714604200275e-07
1828,1.1740545602378916e-07,1.1190207738209779e-07,5.952823300958698e-07
1829,6.858540757548326e-08,1.0287811458287166e-07,7.227187239777777e-07
1830,1.2106730196137505e-07,1.1376150732544943e-07,6.105548884249856e-07
1831,7.483778574624012e-08,1.683850194833525e-07,6.579489126856686e-07
1832,7.035583848846727e-08,1.339466928484967e-07,6.764984656904005e-07
1833,6.950177322551099e-08,1.297366415409229e-07,5.594892789062555e-07
1834,6.347480763224667e-08,9.987947935385932e-08,6.5901786783229e-07
1835,7.941242330389287e-08,1.096647750387092e-07,7.653844704691437e-07
1836,1.424799052074377e-07,2.3522625891558846e-07,6.666984155856426e-07
1837,1.4541991610883542e-07,1.0228099567299864e-07,6.853522673821999e-07
1838,1.1993107307262107e-07,6.880256608887692e-08,6.993875292238272e-07
1839,9.508406151326199e-08,1.531133128063189e-07,6.509063368298484e-07
1840,1.5733131419892743e-07,5.860113594380323e-08,5.070271917873015e-07
1841,1.2327453191574023e-07,4.558589505876398e-08,4.91171970651294e-07
1842,1.9923547256439633e-07,8.519496930148307e-08,7.070511429674298e-07
1843,1.7779802874429151e-07,6.143187414320295e-08,6.036863204883502e-07
1844,2.2503100632897954e-07,2.5796237368425068e-08,5.834340388588544e-07
1845,2.0758447760726995e-07,3.9061595735745414e-08,5.764375323735749e-07
1846,2.3066735366228386e-07,3.80542584110799e-08,5.093416284296381e-07
1847,1.7042586364368617e-07,2.2651539310913904e-08,5.08581003089148e-07
1848,1.4803208414626567e-07,2.1722098675347468e-08,5.56729352396701e-07
1849,1.0977033326753372e-07,3.016589333881825e-08,3.812633782018793e-07
1850,1.6904600386169477e-07,4.480737558765213e-08,4.358535399262564e-07
1851,1.902584472190938e-07,3.1602249261908355e-08,4.3791690274019857e-07
1852,1.75784729661288e-07,2.9948508561972176e-08,4.6810822063036994e-07
1853,1.6840847649746138e-07,8.360704351062509e-09,6.670647856310552e-07
1854,2.0574831749442524e-07,7.170016669277857e-08,5.668469800212961e-07
1855,2.595092283286249e-07,4.4578271740647324e-08,8.278821646001688e-07
1856,2.2054825654649335e-07,3.365172940306138e-08,6.507726926230362e-07
