year,en_ADP enfants_NOUN
1800,9.432493897065797e-09
1801,1.6668277424969347e-08
1802,0.0
1803,0.0
1804,2.4718509905596875e-08
1805,0.0
1806,3.7461699520235925e-08
1807,1.4234775136401367e-08
1808,4.5321478125970316e-08
1809,4.518061036407062e-09
1810,9.360507036149102e-09
1811,1.2535384286138651e-08
1812,2.6672082320544632e-09
1813,1.1502966579257645e-08
1814,2.5173417128598885e-08
1815,2.697223555614414e-09
1816,3.0128852301913867e-08
1817,3.269434145636296e-08
1818,9.536941902865692e-09
1819,1.7596784473994376e-08
1820,5.933240565525466e-09
1821,2.6626018723163725e-08
1822,2.5064039732569654e-08
1823,2.668325471688604e-08
1824,2.947389532437228e-08
1825,2.4655239627691117e-08
1826,5.549030035467695e-08
1827,3.7790819362726324e-08
1828,1.7427371545863934e-08
1829,3.257806824308318e-08
1830,2.5048406016026092e-08
1831,4.365537620287796e-08
1832,3.5177919244233635e-08
1833,2.3167256557599103e-08
1834,3.547121707470069e-08
1835,4.4622218808854086e-08
1836,6.58633538819231e-08
1837,5.5663129217009555e-08
1838,6.690891751759409e-08
1839,4.754203075663099e-08
1840,8.344292012907317e-08
1841,7.76886395215115e-08
1842,1.1001554867107188e-07
1843,1.0809647221776686e-07
1844,1.619125526985954e-07
1845,1.2220699829867954e-07
1846,1.3875168747290445e-07
1847,9.276344314912421e-08
1848,2.083712473677224e-07
1849,1.7094006921070104e-07
1850,1.3645882290802547e-07
1851,1.2060451126671978e-07
1852,9.765818020923689e-08
1853,1.248133685294306e-07
1854,1.4807643822223326e-07
1855,1.496556194524601e-07
1856,1.1752219819527454e-07
1857,1.1422731205357195e-07
1858,1.0961834107092727e-07
1859,1.2017528661090182e-07
1860,9.795173383508882e-08
1861,1.0516598791809884e-07
1862,8.13237548413781e-08
1863,1.2536497706605587e-07
1864,1.4144447391117865e-07
1865,1.3461574610573734e-07
1866,1.5180712864548696e-07
1867,1.0821769791391489e-07
1868,1.3041267266089562e-07
1869,1.157394038386883e-07
1870,1.588331457469394e-07
1871,1.2957836759142083e-07
1872,1.7537283270030457e-07
1873,1.1612848993536318e-07
1874,9.380136134495842e-08
1875,1.2873435650817555e-07
1876,1.0036384878731042e-07
1877,9.400920220059561e-08
1878,9.058633310132791e-08
1879,9.530547373515219e-08
1880,9.11334154807264e-08
1881,1.4990891372690385e-07
1882,1.2645232061458955e-07
1883,1.0616489731773981e-07
1884,1.333542769543783e-07
1885,8.443782917311182e-08
1886,8.518572514049083e-08
1887,6.985949596582941e-08
1888,7.735550155985038e-08
1889,9.710961990094802e-08
1890,1.1339088956674459e-07
1891,1.3003409549128264e-07
1892,9.089342967172342e-08
1893,1.0099802949525838e-07
1894,1.1468801375258408e-07
1895,1.348169575976499e-07
1896,1.3445226443309366e-07
1897,1.2643968716474774e-07
1898,1.2335213739333994e-07
1899,1.1331535887393329e-07
1900,1.2718079744900024e-07
1901,9.612630691435697e-08
