year,son_DET air_NOUN,son_DET fer_NOUN
1800,3.744699938579288e-06,3.867322249107019e-07
1801,3.2907943818827334e-06,1.833510552273765e-07
1802,3.01660844570506e-06,2.215461734067503e-07
1803,3.2161094338789553e-06,4.973365008709152e-07
1804,5.203246075780044e-06,6.97061960153178e-07
1805,4.591247318330716e-06,2.3311597274755513e-07
1806,3.316801098662836e-06,2.535868759423465e-07
1807,2.9067411730920867e-06,3.07471157867667e-07
1808,3.6189201750858047e-06,4.2828797264249374e-07
1809,3.3411062361210497e-06,4.066254959411708e-07
1810,4.701314708199789e-06,3.720801409201613e-07
1811,3.123817577943555e-06,2.5572181527877547e-07
1812,3.5740591215471795e-06,3.280666192040371e-07
1813,3.830487941058891e-06,4.687458812213663e-07
1814,2.712435588136941e-06,4.373881345998143e-07
1815,2.5192067028001475e-06,1.8341119512044202e-07
1816,2.336144632408832e-06,1.4369143741532753e-07
1817,3.154225424850665e-06,1.3389111419570554e-07
1818,3.2509049674445123e-06,2.9087671649108415e-07
1819,3.006980080044741e-06,2.9707512894106003e-07
1820,2.8004895398225926e-06,2.575026449846973e-07
1821,3.0501582557462825e-06,1.518669172639875e-07
1822,3.708475276198442e-06,2.516429589149993e-07
1823,3.294887733318319e-06,2.2236045005286087e-07
1824,3.3566554122899106e-06,3.3010761057994387e-07
1825,3.051086025607219e-06,3.610231651407503e-07
1826,2.971813813701374e-06,1.8056367956376107e-07
1827,2.367917545598175e-06,1.6130227820099208e-07
1828,2.8690957378785242e-06,1.6143249581546115e-07
1829,3.1334958237039245e-06,2.314757594490402e-07
1830,3.266729635242882e-06,2.4526564956772745e-07
1831,2.6598597173688177e-06,1.153749238369528e-07
1832,3.1470708279357495e-06,3.3283724931720826e-07
1833,2.992051236105908e-06,3.0233271530732964e-07
1834,2.660341408500244e-06,2.50165431481264e-07
1835,3.758854660418365e-06,1.88320896654659e-07
1836,3.0209770613964793e-06,2.520281263684865e-07
1837,2.594597589222758e-06,2.950145674418536e-07
1838,2.1821143860734082e-06,4.267021367354573e-07
1839,2.5903414666572644e-06,2.8175644839478764e-07
1840,2.4211187366063314e-06,1.8599490925197415e-07
1841,2.19454339855929e-06,1.9390056316126447e-07
1842,2.563898988228175e-06,2.327768022780674e-07
1843,2.5187068644072497e-06,1.4176586526915003e-07
1844,2.2870834754940006e-06,1.992347762325153e-07
1845,2.1913555343644475e-06,1.5178220014178123e-07
1846,2.2832555970353496e-06,2.136893018089836e-07
1847,1.7231349573876287e-06,1.4399907666273748e-07
1848,1.861664259195095e-06,2.2204811805925928e-07
1849,1.814981274605998e-06,2.0948537371445752e-07
1850,2.033983264482231e-06,2.0163317504540146e-07
1851,1.946440590927523e-06,2.495932800439249e-07
1852,2.186241260915267e-06,1.5560203481257417e-07
1853,2.1325768670976686e-06,1.66616902719241e-07
1854,1.806012946303781e-06,1.4807643644587642e-07
1855,2.283574971784219e-06,2.3350523292720027e-07
1856,2.1438741697465957e-06,1.3357148875847713e-07
1857,2.5906168019673714e-06,1.9135515949564308e-07
1858,2.563307546665783e-06,1.7225739745718727e-07
1859,2.6056650312966667e-06,1.8026294346107363e-07
1860,2.5115007389331367e-06,2.1100818514696584e-07
1861,2.4782389971278462e-06,2.1929231275308325e-07
1862,2.169085220771194e-06,2.5300722406029763e-07
1863,2.2745503827081848e-06,1.9179344601383264e-07
1864,2.256878445905386e-06,1.8459702921802545e-07
1865,2.1660896720732126e-06,1.708584456139306e-07
1866,2.137950218639162e-06,1.9024546560331146e-07
1867,2.274512837630027e-06,1.878038080604938e-07
1868,2.023866386480222e-06,2.3908990387511153e-07
1869,2.680563682133652e-06,1.733649277468885e-07
1870,2.18409924457319e-06,1.6628741539292946e-07
1871,1.8183455026132833e-06,1.858706077939587e-07
1872,2.324597190295208e-06,1.6025449411927184e-07
1873,1.9173172347564105e-06,1.5982631462740926e-07
1874,2.140702434871855e-06,1.3861093117739642e-07
1875,2.025420656082133e-06,1.5390908014722982e-07
1876,2.0943396350503463e-06,1.3845374402521315e-07
1877,2.3663106958338176e-06,2.4244478513679724e-07
1878,1.957268594310335e-06,1.2863259146733697e-07
1879,2.1663667695293043e-06,1.728939080791747e-07
1880,2.0954267370143498e-06,1.4055083097375132e-07
1881,2.084779836764028e-06,1.255051429449594e-07
1882,2.3786346616816445e-06,1.3244216101604422e-07
1883,2.396925211201051e-06,1.0553295892723469e-07
1884,2.157434650484902e-06,1.6108140954429473e-07
1885,1.948515688354746e-06,1.2504533414281482e-07
1886,2.0980211843379948e-06,1.1358096685398777e-07
1887,1.9488839910764e-06,1.018512239547853e-07
1888,2.1298123726865015e-06,1.35055091998737e-07
1889,1.9992051534245547e-06,1.4159209094088965e-07
1890,1.9145362699646284e-06,1.4157474659270974e-07
1891,2.028276767873649e-06,1.7019167009024727e-07
1892,2.09305632381529e-06,1.4542948534312927e-07
1893,2.0390516652923907e-06,1.4225942468470976e-07
1894,2.2338957421652594e-06,1.7707325472571256e-07
1895,2.025263782456932e-06,1.619007230502234e-07
1896,2.1264687148914163e-06,1.4329780539945602e-07
1897,1.76607687762953e-06,1.2003029326024262e-07
1898,2.0652996397529932e-06,1.397613658138397e-07
1899,1.971687261459465e-06,1.3984773339359435e-07
1900,1.78520316040931e-06,1.4223485678144243e-07
1901,1.8141046993491727e-06,1.3804184828547506e-07
1902,1.4102335725851844e-06,1.0262493588264476e-07
1903,1.7631719160249304e-06,1.1286460521731101e-07
1904,1.7343915459377968e-06,1.3167831536264885e-07
1905,1.5234560208909897e-06,9.031328129793792e-08
1906,2.2264030548058145e-06,1.0391252458497036e-07
1907,1.7902237487987804e-06,1.3422821520947537e-07
1908,1.8741860472459848e-06,1.218024456850486e-07
1909,2.0535172211566532e-06,1.5567783506753585e-07
1910,2.053757199860229e-06,1.6940957525690692e-07
1911,1.769024429165711e-06,9.895895569655977e-08
1912,1.8456979020697872e-06,1.0366748348644705e-07
1913,2.1302108592635705e-06,1.1507488029138813e-07
1914,1.8221840178966886e-06,1.0647822445974953e-07
1915,1.4737732669800607e-06,1.5432797750847271e-07
1916,1.5470346852453076e-06,1.9008308771439886e-07
1917,1.4530512828514475e-06,1.8313928862312423e-07
1918,1.8320770394097963e-06,1.0452602605681705e-07
1919,1.949301491777078e-06,1.2706830698760996e-07
1920,2.0384448760069063e-06,1.6734632346526723e-07
