year,aucun_DET acteur_NOUN,aucun_DET facteur_NOUN
1800,5.345079756580162e-08,1.5720821977538435e-08
1801,1.0715321963061797e-07,4.524246932646747e-08
1802,1.1189200677108602e-08,2.0140561218795483e-08
1803,6.046051481689574e-08,1.3652374342143503e-08
1804,1.4831105232815389e-08,6.921182915675672e-08
1805,1.4214388555089386e-08,8.528632911009026e-09
1806,1.729001475325731e-08,3.458002950651462e-08
1807,5.693910276605152e-08,1.6227643584443285e-07
1808,8.837688625362716e-08,6.571614363792833e-08
1809,5.873479302920259e-08,2.0331274441787173e-08
1810,9.126494049382927e-08,5.8503168531842675e-08
1811,4.763445815569867e-08,5.264861258069686e-08
1812,3.200649700829672e-08,3.200649700829672e-08
1813,9.777521370324394e-08,1.7254450312975678e-08
1814,6.608021774212602e-08,5.664018942752591e-08
1815,1.6183341333686485e-08,5.933891955578474e-08
1816,1.8540831092650478e-08,4.6352077731626196e-09
1817,9.963989744399271e-08,1.401186100480345e-08
1818,1.1921176934492905e-08,8.344824387052086e-09
1819,4.0369095621883844e-08,0.0
1820,2.610625937649047e-08,1.4239777357261119e-08
1821,6.311352507282209e-08,5.9168927535324656e-09
1822,6.115625694746996e-08,3.0076847679083585e-09
1823,2.371844876059015e-08,1.4824030003524058e-08
1824,7.494790121853612e-08,8.421112696055388e-10
1825,7.748790120665205e-08,1.4969252504215547e-08
1826,3.699353356978463e-08,1.76159691278599e-08
1827,3.2260455196109206e-08,6.452091305675367e-09
1828,2.476521265837306e-08,4.586150481600271e-08
1829,5.3153692114449314e-08,0.0
1830,6.053364565161701e-08,1.0019362406410437e-07
1831,2.8064170987107673e-08,2.3386808933878456e-08
1832,2.3000947924067816e-08,3.111892965534935e-08
1833,1.3900354201012988e-08,5.6759780875381693e-08
1834,4.293884181549856e-08,1.5868701908061666e-08
1835,2.193295500774184e-08,5.596685070941021e-08
1836,2.016224964762614e-08,3.629205025390547e-08
1837,3.339787546519091e-08,2.1569462660409044e-08
1838,3.9135404250600914e-08,2.0830134062066463e-08
1839,2.1673573602498664e-08,3.0063343814390464e-08
1840,1.97460351958334e-08,4.8409635411417185e-08
1841,2.3756030032018316e-08,3.274479709602929e-08
1842,2.1466448618667755e-08,1.8112316091389857e-08
1843,2.7762482091020502e-08,3.839492279666956e-08
1844,2.5796238478648092e-08,4.061535463506516e-08
1845,1.897277446261114e-08,8.537748641401777e-08
1846,1.5807152919933287e-08,1.9319854160926297e-08
1847,1.6179670936367074e-08,3.235934187273415e-08
1848,1.287235473768078e-08,4.344419668456112e-08
1849,5.027648741773305e-09,2.7652069300998505e-08
1850,1.3577992064028876e-08,8.350465208195601e-08
1851,4.514607354622058e-09,5.159551008659946e-08
1852,1.6927418577949993e-08,2.6042181744401205e-08
1853,5.6136160608843966e-08,1.6124216406510072e-08
1854,1.92239586471743e-08,3.065441944727354e-08
1855,4.0332722051061864e-08,1.4328730202350926e-08
1856,1.1389815979256923e-08,3.36517302912398e-08
1857,1.8061584228235006e-08,1.5620829074691756e-08
1858,1.8595968764856252e-08,4.893676130990343e-09
1859,1.2221216039165483e-08,8.147477359443656e-09
1860,2.4716793056711595e-08,1.327383358784573e-08
1861,1.933545146215465e-08,1.0846716413936974e-08
1862,4.0210078877667144e-08,1.490935552794781e-08
1863,1.6482248454963155e-08,1.9978482868054925e-08
1864,2.0137857159596706e-08,7.1920918109924514e-09
1865,1.2708479601997169e-08,1.835669216632141e-08
1866,8.758102965078507e-09,3.405929049904444e-08
1867,1.6984840200962026e-08,2.426405742994575e-08
1868,1.0867722721741302e-08,9.188165961404593e-08
1869,8.790334127262156e-09,1.12320943657096e-08
1870,2.4656409358669862e-08,1.77755516972411e-08
1871,1.1683294998121596e-08,2.0180236148803488e-08
1872,1.0280476692159368e-08,3.628403577593531e-09
1873,1.197200860669767e-08,7.78180558880237e-09
1874,1.6728905372076497e-08,1.5533982988813477e-08
1875,1.0870901234749653e-08,4.233930073205272e-08
1876,2.116105135563373e-08,5.3204930461348e-08
1877,2.288381928394756e-08,5.00970109840182e-08
1878,4.1065801870132645e-08,1.872117572077059e-08
1879,4.154341226580982e-08,3.0546626561545054e-08
1880,8.856627786713034e-08,2.759673911612026e-08
1881,8.367009307619355e-09,2.2312024228199334e-08
1882,2.6621540527571597e-08,4.991538782306293e-08
1883,2.2117686349076848e-08,4.865891156669022e-08
1884,1.914492120391742e-08,1.3467462167682243e-07
1885,2.127059817169652e-08,7.412480984569925e-08
1886,1.355227396970804e-08,3.355801081461607e-08
1887,1.828098916689669e-08,3.656197755663726e-08
1888,2.1558090423923204e-08,3.487338218199909e-08
1889,1.253027342995594e-08,2.6940087494153886e-08
1890,3.473824783384316e-08,6.423298515301212e-08
1891,7.0116419337296065e-09,2.932141285327816e-08
1892,1.7551834430307167e-08,2.9462007944403013e-08
1893,1.2316833108982905e-08,4.372475737035586e-08
1894,1.07126170156846e-08,3.3398158905129094e-08
1895,1.3240951668436196e-08,3.5509823970159005e-08
1896,1.35631669784253e-08,4.127920338881097e-08
1897,1.2236098134721374e-08,3.088158173625288e-08
1898,1.3580051971828766e-08,2.998928039232851e-08
1899,9.949641111006713e-09,2.65323762960179e-08
1900,1.453494835601532e-08,2.2321527737290126e-08
1901,1.0618603996093157e-08,3.968004635979128e-08
1902,1.3257766440233354e-08,2.6024505217492333e-08
1903,1.2960528428251905e-08,3.9421606423672984e-08
1904,1.6123875568041512e-08,6.01958012325099e-08
1905,2.4255567332431838e-08,4.5930756975565146e-08
1906,1.9033483567021392e-08,6.070137592573133e-08
1907,1.2342823652033985e-08,3.4457049380431926e-08
1908,2.259238907065253e-08,4.2237944697376406e-08
1909,1.2102163715610459e-08,4.510806661528477e-08
1910,2.939282950364941e-08,7.588694050930656e-08
1911,3.085817024128801e-08,8.938228446275787e-08
1912,1.0418842455450772e-08,5.62617508137464e-08
1913,2.227255713194154e-08,8.113574523349598e-08
1914,1.2054138687211946e-08,7.969125359608142e-08
1915,4.712304768617059e-09,1.0484878343319792e-07
1916,1.3184954239520152e-08,7.471474106068854e-08
1917,4.386569774084137e-09,6.908847538511509e-08
1918,3.101321510712296e-08,7.121553302624761e-08
1919,1.9336482248721865e-08,8.931612871521111e-08
1920,1.2115570324766622e-08,6.587841516747517e-08
1921,9.0872969149558e-09,7.269837176693272e-08
1922,3.7627472693202435e-08,8.558405095726584e-08
1923,2.9724654737606215e-08,5.520293022698297e-08
1924,2.707241142374528e-08,7.86389120488451e-08
1925,2.8595261936104066e-08,6.708888511397504e-08
1926,2.229227735739414e-08,6.687682851946875e-08
1927,1.4493992228636898e-08,5.797597024681522e-08
1928,1.82816659588525e-08,8.112489302547488e-08
1929,3.4535259541002006e-08,1.1251810749790536e-07
1930,3.046045105037365e-08,5.041729789212468e-08
1931,1.4826963656844327e-08,1.0036714126471225e-07
1932,1.4247397484012936e-08,8.219652425367485e-08
1933,1.8353059516584835e-08,1.0553009488489806e-07
1934,3.1152108448395666e-08,1.0543790196493319e-07
1935,1.3165112555668657e-08,9.454944382980557e-08
1936,1.2124714121597435e-08,1.4549657478823974e-07
1937,1.2591118148108649e-08,1.1457917636903403e-07
1938,2.074434313215079e-08,1.2705909480104083e-07
1939,6.117620188206274e-09,1.0858775834066137e-07
1940,5.0715658339584024e-09,1.5214697945964417e-07
1941,2.066051862925633e-08,1.387206260972107e-07
1942,3.034211726316016e-08,1.3350532412914617e-07
1943,1.1612940831184915e-08,1.4225852873472888e-07
1944,1.927911696952833e-08,2.088571005032236e-07
1945,2.3963544482086263e-08,1.394242525876166e-07
1946,1.1136883415474585e-08,1.656611470224334e-07
1947,2.3841742802233057e-08,1.6689219783927456e-07
1948,1.3046265401328583e-08,1.7286302345098647e-07
1949,2.2579119463017605e-08,1.4038321971554524e-07
1950,3.509669355139522e-08,1.4995858954591768e-07
1951,1.3859822622919182e-08,1.0981243647734118e-07
1952,3.268889159357968e-08,1.318100473213235e-07
1953,3.232148149123759e-08,1.6699432947575588e-07
