year,un_DET acteur_NOUN,un_DET facteur_NOUN
1800,1.3111165770851585e-06,7.545994962221414e-07
1801,1.5977735756678157e-06,3.381279256586822e-07
1802,1.1457741777576302e-06,5.930276643084653e-07
1803,1.0141764121840424e-06,2.515937573832616e-07
1804,1.7105208343082268e-06,4.226865044643091e-07
1805,8.841349483645899e-07,1.990014444341881e-07
1806,9.336608144394631e-07,5.244638074941577e-07
1807,1.4889575510323994e-06,5.466153716326971e-07
1808,1.971484394402978e-06,6.095738918077132e-07
1809,1.5293637005697747e-06,3.6822196669561436e-07
1810,2.2652426068248133e-06,5.663106890096969e-07
1811,1.1783261228970332e-06,5.239790450417559e-07
1812,1.7016788689261375e-06,5.44110493105876e-07
1813,2.0619067129246105e-06,3.278345559465379e-07
1814,1.3247510679548213e-06,1.5009650189412582e-06
1815,8.604143033608125e-07,6.797003493375087e-07
1816,7.184572297092018e-07,3.4532298798239935e-07
1817,1.3233423956648949e-06,3.627514999493542e-07
1818,1.087211408901112e-06,1.5378319018211073e-07
1819,1.1644931348087084e-06,2.2772310259711048e-07
1820,1.1735950309343934e-06,3.654876223890824e-07
1821,1.3283425275290028e-06,2.514679562359845e-07
1822,1.4938167964828608e-06,2.175558648787046e-07
1823,1.3954353477174664e-06,3.0833983410971655e-07
1824,1.3330621158047506e-06,1.4063258912955234e-07
1825,2.0217297418412272e-06,2.597605828214e-07
1826,9.741630577764226e-07,4.4304159985131264e-07
1827,9.355532313293224e-07,3.6316056650775863e-07
1828,9.575882273793468e-07,5.164005649760384e-07
1829,1.3425593579086126e-06,2.1090012669588987e-07
1830,1.3254781876526067e-06,5.729822660782702e-07
1831,1.0305787441211578e-06,5.472513588955508e-07
1832,1.4680016633406012e-06,4.180760622141122e-07
1833,1.1722632180521941e-06,3.764679359363754e-07
1834,8.578434176342853e-07,2.5296579142519704e-07
1835,1.2637920079328069e-06,4.0538150614111146e-07
1836,1.082712827837895e-06,3.1184280935292463e-07
1837,9.532310443205461e-07,4.299976676946926e-07
1838,9.102137283889533e-07,3.162393227285065e-07
1839,7.536810429087382e-07,2.92243674593351e-07
1840,7.102203021247533e-07,3.5733954550920544e-07
1841,8.147676169301121e-07,3.807385322573964e-07
1842,6.795472344833797e-07,3.6224631649872663e-07
1843,7.997957673921974e-07,3.408287678752231e-07
1844,7.876085170721581e-07,5.065941977022703e-07
1845,6.495385136418008e-07,4.4195404846902875e-07
1846,6.557041487553761e-07,4.256222485565786e-07
