year,son_DET art_NOUN,son_DET phare_NOUN
1800,9.429349617562366e-06,2.2009152278457123e-08
1801,7.50072515387501e-06,1.4287095950749062e-08
1802,7.210320831063655e-06,1.7902721083373763e-08
1803,8.257735927941212e-06,1.950339223455444e-09
1804,1.0690754919551182e-05,2.4718509461507665e-09
1805,8.852721435914646e-06,6.822906661874129e-08
1806,1.11376510858463e-05,7.204172902675055e-08
1807,9.856158271759341e-06,8.540865348294346e-09
1808,1.0473793537357778e-05,2.2660739951163578e-09
1809,6.71383854466967e-06,2.710836710662079e-08
1810,1.107114007936616e-05,2.3401266702194334e-08
1811,1.0111040367632995e-05,1.504245972228091e-08
1812,1.167170358939984e-05,2.1337665856435706e-08
1813,1.2216150807375925e-05,2.8757416448144113e-09
1814,8.367014821430985e-06,0.0
1815,6.446364160694884e-06,3.506390555685357e-08
1816,6.21117844445962e-06,2.3176038865813098e-09
1817,7.809276809211951e-06,1.556873407970727e-09
1818,6.792686932044489e-06,2.384235475716423e-09
1819,6.90000979375327e-06,1.1386155129855524e-08
1820,7.226686776107272e-06,3.5599443393152796e-09
1821,8.19785518046956e-06,2.6626018279074515e-08
1822,9.42808900106229e-06,8.02049271442229e-09
1823,9.079224390973195e-06,2.174191138237802e-08
1824,7.807213421529013e-06,1.0947446504872005e-08
1825,8.221642104899729e-06,2.641632912414593e-09
1826,5.538460349896468e-06,0.0
1827,6.381118240028627e-06,2.949527333484525e-08
1828,5.922554905168909e-06,1.559291185060374e-08
1829,7.336066886409753e-06,4.372319750700626e-08
1830,6.041884375918016e-06,1.0436835395921662e-08
1831,5.023486412625289e-06,3.585977381703742e-08
1832,6.815045551888943e-06,5.411987658021644e-08
1833,5.871741173280043e-06,4.633451422542123e-08
1834,6.677923273912256e-06,5.600718511189484e-08
1835,5.631475460177171e-06,3.1764969321557146e-08
1836,5.702556514108892e-06,4.032450107160912e-08
1837,5.507170861562827e-06,4.383471441382625e-08
1838,5.211321052911444e-06,3.219202682203104e-08
1839,5.649112125638567e-06,1.6080392573059044e-08
1840,5.762020578004012e-06,1.9746034474188434e-08
1841,6.236920846447447e-06,3.017657812520724e-08
1842,6.659965528399425e-06,1.542900918138912e-08
1843,6.385370959094416e-06,3.1306629344474146e-08
1844,5.765184795336609e-06,3.2931367854871496e-08
1845,6.1577816836688726e-06,2.1762889268472918e-08
1846,5.876748318200953e-06,2.4003455667553908e-08
1847,6.598069873575696e-06,7.011190739092399e-09
1848,5.613955785577218e-06,1.045878805783218e-08
1849,5.803582666885632e-06,1.3407063903514427e-08
1850,6.237050776292108e-06,1.5614690873633208e-08
1851,6.2759488415053966e-06,1.289887774369447e-08
1852,7.018367981004303e-06,1.6276363590250753e-08
1853,6.4514780149238504e-06,1.3735443005202796e-08
1854,7.134686221377251e-06,5.3515343101384616e-08
1855,7.226456276043791e-06,1.8574279891936385e-08
1856,6.2949444412652156e-06,2.8474541557965694e-08
1857,5.937867442185052e-06,2.8800904050552134e-08
1858,5.853325752980254e-06,1.761723389392955e-08
1859,6.4568756812377615e-06,1.5785737161877478e-08
1860,5.873442340487145e-06,1.5562425292880988e-08
1861,6.493881883784525e-06,2.7352590414864153e-08
1862,6.149883049033633e-06,3.027050793358299e-08
1863,5.916128564820156e-06,1.7980635647063536e-08
1864,5.62517487878722e-06,3.164520445686492e-08
1865,5.3799230030904255e-06,3.106517176831858e-08
1866,5.481112914651476e-06,2.238181906477621e-08
1867,5.431266757227604e-06,3.9307774812868956e-08
1868,5.46893436847995e-06,3.260316838726851e-08
1869,5.303990327831798e-06,4.78584865071241e-08
1870,6.145180030614483e-06,2.2936195165357276e-08
1871,3.7970707928991487e-06,2.3366590440332402e-08
1872,4.80158755777893e-06,3.205089860180976e-08
1873,4.779824685385847e-06,3.4718827257584906e-08
1874,4.348320700842123e-06,3.883495924839053e-08
1875,4.67391539871187e-06,3.718992530599152e-08
1876,5.509128506275829e-06,2.176565305767042e-08
