year,aucun_DET air_NOUN,aucun_DET fer_NOUN
1800,9.118076782499429e-08,2.2009151834367913e-08
1801,1.04772034603684e-07,1.1905912700171939e-08
1802,5.147032311469957e-08,8.951360541686881e-09
1803,2.7304748684287006e-08,2.3404069793286908e-08
1804,6.179627121127851e-08,0.0
1805,2.55858996212055e-08,0.0
1806,2.881669125542885e-09,0.0
1807,3.9857372513552036e-08,0.0
1808,8.611080914988634e-08,9.064295980465431e-09
1809,1.2876473931555665e-07,2.259030518203531e-09
1810,8.658469141664682e-08,7.020380277111826e-09
1811,4.512738271955641e-08,1.7549536934780008e-08
1812,1.0668832928217853e-08,1.0668832928217853e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,2.8320094713762956e-08,6.293354282149721e-09
1815,1.8880564667256294e-08,0.0
1816,6.257530316133852e-08,3.244645441213834e-08
1817,4.514932783195036e-08,3.42512151974006e-08
1818,4.053200441944682e-08,1.3113295338484932e-08
1819,8.591371170041384e-08,1.449147024601416e-08
1820,9.8491796052258e-08,5.933240565525466e-09
1821,3.747365440176509e-08,8.875339574387908e-09
1822,2.5064039732569654e-08,1.1028177482330648e-08
1823,5.237824041159911e-08,4.941343334508019e-09
1824,5.052667617633233e-08,5.894778887238772e-09
1825,4.57883047033647e-08,7.924898959288385e-09
1826,4.844391554570393e-08,3.5231937367541377e-09
1827,3.96342727526644e-08,1.1060727445055818e-08
1828,9.355747465633613e-08,1.1923991571904935e-08
1829,8.230248838003718e-08,1.886098727199581e-08
1830,4.0703660886265425e-08,0.0
1831,2.8064171431196883e-08,1.5591206103948707e-09
1832,2.3000948701223933e-08,1.3529969367098715e-09
1833,4.054269808762001e-08,1.2741991461950875e-08
1834,8.121041616959701e-08,6.534171426153534e-09
1835,4.0084366048631637e-08,1.3613558280667348e-08
1836,4.771732520225669e-08,1.4113575197427508e-08
1837,2.7135774516295896e-08,4.87052354003481e-09
1838,2.7773513266993177e-08,5.680945491803868e-09
1839,4.824117727508792e-08,1.3283802502428443e-08
1840,6.11490094115652e-08,7.0066574764382494e-09
1841,4.044945489667384e-08,2.1829865914924085e-08
1842,4.695785449371215e-08,1.1404051036834062e-08
1843,2.8353174030826267e-08,3.5441467538532834e-09
1844,1.8661107548112454e-08,7.683985892015244e-09
1845,2.4553003186156275e-08,1.674068439427856e-09
1846,4.2152407786488766e-08,1.6392604607062822e-08
1847,4.530307862182781e-08,3.775256551818984e-09
1848,2.735375304041554e-08,0.0
1849,2.0948537127196687e-08,7.54147366777147e-09
1850,4.073397619208663e-08,1.3577992064028876e-09
1851,3.353708066811123e-08,7.094382858952031e-09
1852,3.059956199535918e-08,1.3021090872200602e-08
1853,3.3442816516071616e-08,4.777545470346922e-09
1854,4.468271425084325e-08,4.1565315633818045e-09
1855,8.384960636931282e-08,5.837630823180007e-09
1856,4.40061072026765e-08,1.0872097000458325e-08
