year,en_ADP aire_NOUN,en_ADP fer_NOUN
1800,4.7162466820793725e-08,4.964635536452988e-06
1801,1.619204113012529e-07,5.476720161823323e-06
1802,3.3567602031325805e-08,5.865379080205457e-06
1803,2.9255089017965474e-08,5.800308827019762e-06
1804,1.730295728918918e-08,4.214505679556169e-06
1805,3.695740935505398e-08,6.248645149753429e-06
1806,4.8988376022407465e-08,6.394423962774454e-06
1807,1.1387820464392462e-08,4.677547167375451e-06
1808,4.5321479014148736e-08,6.204510555107845e-06
1809,7.00299480627109e-08,8.069257091847248e-06
1810,5.3822916346035754e-08,6.243458301469218e-06
1811,5.0141535368197765e-09,7.230409210023936e-06
1812,3.200649700829672e-08,9.44725161389215e-06
1813,2.0130190847567064e-08,9.400799171999097e-06
1814,4.090680150170556e-08,8.713149327377323e-06
1815,8.091670444798638e-09,6.262953320401721e-06
1816,7.184571870766376e-08,6.915729954926064e-06
1817,1.2454987263765815e-08,5.705941021005856e-06
1818,7.152706427149269e-09,7.784528861520812e-06
1819,2.484252026313527e-08,7.543845185864484e-06
1820,1.7799721696576398e-08,7.576747975690523e-06
1821,3.7473656067099625e-08,5.062888249085518e-06
1822,3.0076847679083585e-08,7.624480986123672e-06
1823,3.2612866407433216e-08,1.1726796401489992e-05
1824,1.431589158329416e-08,1.2369772775855381e-05
1825,1.3208164117983756e-08,1.1369587809895165e-05
1826,2.466235649034587e-08,1.235936360899359e-05
1827,2.027800155568471e-08,1.4612142877012957e-05
1828,2.384798225563145e-08,1.1801083019236103e-05
1829,4.800978425922864e-08,1.1506916962389369e-05
1830,1.6698937788106605e-08,1.6586220226599835e-05
1831,1.4032085493553836e-08,1.5466475815628655e-05
1832,9.470978445946798e-09,1.533080830995459e-05
1833,1.2741991461950875e-08,1.5162970157689415e-05
1834,2.1469421573883096e-08,1.5880837963777594e-05
1835,2.571449897459388e-08,1.2625819181266706e-05
1836,2.9571301130015826e-08,1.1540872037585359e-05
1837,1.8786305289175687e-08,1.263483409275068e-05
1838,3.8504186727905676e-08,1.1520326552272309e-05
1839,2.6567605448946097e-08,1.684456037764903e-05
1840,5.860113566624747e-08,1.2782054000126664e-05
1841,4.173356549230789e-08,1.3445270269585308e-05
1842,3.287049921141261e-08,1.2115126992284786e-05
1843,3.0125246297529884e-08,1.2783146303263493e-05
1844,5.488561261035585e-08,1.416158556821756e-05
1845,2.7343117381395388e-08,1.4101794477028307e-05
1846,1.3465352832753297e-08,1.441788026568247e-05
1847,2.480882788091776e-08,1.4114066289039329e-05
1848,2.0113054055581614e-08,1.3120147741574328e-05
1849,2.3462362719328667e-08,1.1754643310268875e-05
1850,2.1724787302446202e-08,1.2962230357516091e-05
1851,2.1283148576856092e-08,1.4118466424406506e-05
1852,1.9531636752390114e-08,1.3777616004517768e-05
1853,2.26933418723263e-08,1.6510599380126223e-05
1854,2.1821789930598356e-08,1.3655764632858336e-05
1855,1.1144567935161831e-08,1.5138038179429714e-05
1856,2.0191037064520856e-08,1.40969686981407e-05
1857,1.2691923956253959e-08,1.5077029274834786e-05
1858,4.502181916166137e-08,1.4639921573689207e-05
1859,2.6479301196147276e-08,1.5209812772809528e-05
1860,1.373155189554609e-08,1.6220166799030267e-05
1861,1.3204698334767784e-08,1.6551146472920664e-05
1862,3.6143891435358455e-08,1.5353021808550693e-05
1863,1.947902072974017e-08,1.6857844457263127e-05
1864,2.5412057458318316e-08,1.6121794033097103e-05
1865,2.9653119293371333e-08,1.610776234883815e-05
1866,1.8489329622894957e-08,1.6825775674078614e-05
1867,2.8631587767335986e-08,1.9438421077211387e-05
1868,3.112120594561674e-08,2.076080818369519e-05
1869,3.174287332985415e-08,1.5129142411751673e-05
1870,4.0711745086241535e-08,1.502263421571115e-05
1871,3.929835434846041e-08,1.6864305507624522e-05
1872,2.0560953717385644e-08,1.6813417460070923e-05
1873,3.8909028887701425e-08,2.015188329096418e-05
1874,5.616132481289782e-08,1.85123262781417e-05
1875,2.4030413270370587e-08,1.7448368453187868e-05
1876,3.748529087133079e-08,1.8450622519594617e-05
1877,5.999271590617639e-08,1.8876058675232343e-05
1878,2.2344627481629686e-08,2.0034072804264724e-05
1879,1.8327976358811782e-08,1.6905114534893073e-05
1880,4.492492533536563e-08,1.7573345758137293e-05
