year,en_ADP acteur_NOUN,en_ADP facteurs_NOUN
1800,6.288328968651058e-09,6.917161954334006e-07
1801,1.904946067554647e-08,1.500145003774378e-07
1802,2.0140561218795483e-08,3.5581658153205353e-07
1803,1.3652374342143503e-08,2.5354410126965377e-08
1804,0.0,2.0516363008482585e-07
1805,5.685755422035754e-09,1.0802935435094696e-07
1806,2.881669125542885e-09,1.152667650217154e-07
1807,5.693910232196231e-09,6.576466375918244e-07
1808,2.2660739951163578e-09,5.166648975318822e-07
1809,4.518061036407062e-09,6.325285539787728e-08
1810,1.1700633351097167e-08,3.533591268478631e-07
1811,1.7549536934780008e-08,1.0279014617253779e-07
1812,3.200649700829672e-08,7.20146218213813e-08
1813,2.0130190847567064e-08,1.9267469042461016e-07
1814,2.2026739543434815e-08,1.8250727862323401e-07
1815,0.0,1.537417375629957e-07
1816,4.6352077731626196e-09,2.0858434979231788e-08
1817,1.0898113522728181e-08,1.0898114055635233e-07
1818,9.536941902865692e-09,3.814776761146277e-08
1819,2.4842520929269085e-08,1.490551255756145e-07
1820,2.254631326081835e-08,1.0205173595068118e-07
1821,3.94459531705138e-09,8.185035227370463e-08
1822,1.1028177482330648e-08,2.7069162911175226e-08
1823,6.917880934764753e-09,1.383576204716519e-07
1824,1.0105335235266466e-08,1.51580028528997e-08
1825,1.584979791857677e-08,5.371320099811783e-08
1826,1.0569580766173203e-08,9.160303449107232e-08
1827,9.217273055917019e-10,3.3182182335167454e-08
1828,2.7516904310687096e-09,1.2749498523589864e-07
1829,5.143905745796928e-09,7.458663020543099e-08
1830,8.349468672008697e-09,1.3776623575267877e-07
1831,1.2472964883158966e-08,4.365537620287796e-08
1832,6.22378593106987e-08,9.065079353831607e-08
1833,2.895907214028881e-08,5.3284690437749305e-08
1834,8.401078055442213e-09,5.880754372356023e-08
1835,1.0588323107185715e-08,1.2705987728622858e-07
1836,1.4785650037651976e-08,4.704525125021064e-08
1837,1.6698937344017395e-08,9.810626266926192e-08
1838,6.943378316748294e-09,8.710783561127755e-08
1839,1.5381244722334486e-08,1.1116445364223182e-07
1840,7.0066574764382494e-09,9.363442643461894e-08
1841,1.8619591202195807e-08,1.1235960073463502e-07
1842,2.817471411731276e-08,7.513256861102491e-08
1843,1.8902115428431898e-08,1.0041748765843295e-07
1844,1.2074834521147437e-08,1.8496452014460374e-07
1845,1.674068439427856e-09,1.2388106540583976e-07
1846,2.9272506196775794e-08,8.898842196458645e-08
1847,2.1572894581822766e-08,3.0525646366186265e-07
1848,8.84974404868899e-09,7.803865287314693e-08
1849,4.273501730267526e-08,1.349085749779988e-07
1850,1.2899092460827433e-08,1.4324781716368307e-07
1851,1.870337307252612e-08,1.8638877463672543e-07
1852,1.7578472011337e-08,9.830923630715915e-08
1853,1.3138249599364826e-08,9.674529621861438e-08
1854,2.234135676459914e-08,1.5586992674343492e-07
1855,2.0166361025530932e-08,3.980202833986368e-08
1856,1.863788057221427e-08,1.796484667693221e-07
1857,9.274867096564776e-09,8.64027143165913e-08
1858,2.9851424443450014e-08,3.866004050223637e-08
1859,4.277425702525761e-08,1.0031581609837303e-07
1860,2.8378540184448298e-08,1.0115576287716976e-07
1861,3.5369726925083e-08,1.1837069280318246e-07
1862,1.5812952752769505e-08,6.46072066956549e-08
1863,3.0467187883687075e-08,1.3185798763970524e-07
1864,2.685047562067666e-08,9.205877660178885e-08
1865,1.129642651642726e-08,6.730787305286867e-08
1866,1.702964524952222e-08,1.5569960964967322e-07
1867,1.164674756637396e-08,1.0336488287521206e-07
1868,1.531360993567432e-08,1.0719526954972025e-07
1869,1.5627261373829526e-08,9.864708516715837e-08
1870,2.695002976338401e-08,1.599799617224562e-07
1871,2.549082545044712e-08,7.541035529357032e-08
1872,8.4662747923403e-09,8.587221600464545e-08
1873,4.788803575905831e-09,6.644464889404844e-08
1874,1.6728906260254917e-08,1.2905155699627358e-07
1875,1.2587359599081083e-08,1.4761539546270797e-07
1876,1.209202959984168e-08,8.948101992700686e-08
1877,1.4843558382438005e-08,2.2017944445451576e-07
1878,1.9325083755461492e-08,1.539967655617147e-07
1879,2.5659165459046562e-08,3.140193314266071e-07
1880,1.4119262203848848e-08,2.9586271921289153e-07
1881,9.064259565150223e-09,2.8657007078436436e-07
1882,3.1945848633085916e-08,1.224590846504725e-07
1883,2.274962085380139e-08,1.3460191894409945e-07
1884,2.1125430293977843e-08,2.3502040846778982e-07
1885,4.3185760745245716e-08,2.7974058980362315e-07
1886,2.0005738787798322e-08,1.6714471939849318e-07
1887,3.003305337756501e-08,2.0761980579209194e-07
1888,2.0924028731883482e-08,1.2617823585969745e-07
1889,2.6940087494153886e-08,1.021217315155809e-07
1890,2.5562107097698572e-08,2.3726879305741022e-07
1891,2.2947192590550003e-08,2.1927317561676318e-07
1892,2.193979398157353e-08,1.3351930761018593e-07
1893,1.970693297437265e-08,2.8821389719269064e-07
1894,3.150769600779313e-08,2.0921110888139083e-07
1895,3.5509824414248214e-08,3.225977422971482e-07
1896,9.435246361988447e-09,1.6570650984704116e-07
1897,1.4566784223291052e-08,3.5368151429793215e-07
1898,1.3580051749784161e-08,2.416117581560684e-07
1899,2.819064981451902e-08,1.9678179796756012e-07
1900,2.28406342728249e-08,2.3775022839345183e-07
1901,1.5089595351014395e-08,2.3640365043320344e-07
1902,9.329538919189417e-09,1.5221880289573164e-07
1903,3.2401321625741275e-08,2.1276868267250393e-07
1904,2.1498500757388683e-08,2.547572250932717e-07
1905,2.4255568220610257e-08,2.0126960009747563e-07
