year,mon_DET utile_ADJ
1800,1.2576657937302116e-08
1801,0.0
1802,2.2378401354217203e-09
1803,1.950339223455444e-09
1804,1.2359254952798437e-08
1805,0.0
1806,0.0
1807,1.1387820464392462e-08
1808,2.2660739951163578e-09
1809,1.129515236897305e-08
1810,0.0
1811,2.5070768572277302e-08
1812,1.8670457180292033e-08
1813,2.5881675469463516e-08
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,2.0239354192597148e-08
1818,5.960588467246453e-09
1819,2.794783426907088e-08
1820,1.6613073583471305e-08
1821,8.875339574387908e-09
1822,7.017931125119503e-09
1823,6.917880934764753e-09
1824,4.210556348027694e-09
1825,7.044354433105582e-09
1826,1.2331177856594877e-08
1827,1.3825909306319772e-08
1828,1.6510142586412258e-08
1829,1.0287811491593857e-08
1830,1.0436835840010872e-09
1831,2.182768810143898e-08
1832,1.0823975493678972e-08
1833,2.20088942626262e-08
1834,6.534171426153534e-09
1835,4.5378527602224494e-09
1836,2.016224964762614e-09
1837,1.3915781860163179e-09
1838,3.1560809521380406e-09
1839,2.7965900706306e-09
1840,4.45878195476368e-09
1841,5.778493683550323e-09
1842,2.0124795163667386e-09
1843,1.1813822142769936e-09
1844,4.9397050894128824e-09
1845,0.0
1846,5.269050973311096e-09
1847,1.0786447290911383e-09
1848,2.413566457803995e-09
1849,6.703531951757213e-09
1850,2.0366988096043315e-09
1851,0.0
1852,0.0
1853,4.777545470346922e-09
1854,1.0391328908454511e-09
1855,2.653468555990912e-09
1856,7.248064815001953e-09
1857,4.881508974818871e-09
1858,1.6149130477316476e-08
1859,4.582956236731661e-09
1860,4.119465657481669e-09
1861,2.8295783494058924e-09
1862,9.035972858839614e-09
1863,1.9978483312144135e-09
1864,1.9178911792039344e-09
1865,3.765475542483188e-09
1866,9.731225825149181e-10
1867,1.94112459439566e-09
1868,4.44588676984381e-09
1869,1.953407657850903e-09
1870,4.013834153937523e-09
1871,7.434824311758348e-09
1872,2.4189357183956872e-09
1873,2.3944017324417644e-09
1874,8.364453130127458e-09
1875,0.0
1876,1.209202959984168e-09
1877,2.3502300550148902e-08
1878,2.4156354139215352e-09
1879,6.10932526790009e-10
1880,6.417846254436199e-10
1881,1.3945015142624584e-09
1882,7.320923645082189e-09
1883,6.319338941018771e-10
1884,2.6406787867472303e-09
1885,6.445635691854079e-10
1886,7.098810428374236e-09
1887,1.3057849246322917e-09
1888,3.1703073499755874e-09
1889,3.759081934617825e-09
1890,6.554386366985909e-09
1891,1.2748440081367107e-09
1892,0.0
1893,6.15841644346915e-09
1894,1.2603078580752936e-09
1895,8.426060515986933e-09
1896,5.89702897624278e-10
1897,0.0
1898,0.0
1899,3.8693048765026106e-09
1900,5.191053142894475e-10
1901,2.235495566438317e-09
1902,0.0
1903,2.1600881083827517e-09
1904,4.837162670412454e-09
1905,2.580379465655369e-09
1906,5.144184522798412e-10
1907,0.0
1908,0.0
1909,2.7504918342913243e-09
1910,3.206490406526541e-09
1911,5.852411444351446e-09
1912,1.5628263128064646e-09
1913,3.181793939432964e-09
1914,2.0090231700464756e-09
