year,en_ADP or_NOUN,en_ADP for_NOUN
1800,6.980045327509288e-06,8.489244152087849e-08
1801,6.350614057737403e-06,8.096020764902789e-08
1802,7.655650733795483e-06,7.608656460433849e-08
1803,5.9017265812144615e-06,9.361628516835196e-08
1804,7.0299442995747086e-06,8.404293083685843e-08
1805,6.606847819057293e-06,9.665784217460782e-08
1806,6.8151475716149434e-06,9.221341201737232e-08
1807,6.0241568462515716e-06,1.537355700520493e-07
1808,6.4809714785951655e-06,9.744118134591417e-08
1809,7.76654724177206e-06,8.132510176395158e-08
1810,5.911160315008601e-06,1.0296557606537249e-07
1811,9.31880458665546e-06,6.267691787797958e-08
1812,6.8013810050615575e-06,4.000812259263853e-08
1813,6.634335932176327e-06,8.91479885467561e-08
1814,5.903166311327368e-06,7.237357291245416e-08
1815,1.0122679668711498e-05,5.933891955578474e-08
1816,5.3258536354405805e-06,3.9399266071882266e-08
1817,5.930131010245532e-06,9.496927655394671e-08
1818,5.1046481530647725e-06,4.053200441944682e-08
1819,7.2146817728935275e-06,5.382546020005208e-08
1820,6.727108029735973e-06,4.865257263730882e-08
1821,6.427718290069606e-06,9.368413600441272e-08
1822,8.022498150239699e-06,6.717162648328667e-08
1823,6.740980552422116e-06,6.720226830569942e-08
1824,6.967628451093333e-06,7.326367779114662e-08
1825,7.2732959779386874e-06,5.6354836797112284e-08
1826,8.379035534744617e-06,4.0516726751427257e-08
1827,7.899203410488553e-06,4.42429110014686e-08
1828,6.4774790189403575e-06,4.677873732816806e-08
1829,6.618492079724092e-06,4.88671038079147e-08
1830,8.751287168706767e-06,5.218418053232199e-08
1831,6.476586804637918e-06,2.494592976631793e-08
1832,7.179001840995625e-06,5.141388237372979e-08
1833,7.363712484220741e-06,3.4750887167867006e-08
1834,6.873015081509948e-06,5.6940639092672996e-08
1835,7.255270247696899e-06,3.554651328840919e-08
1836,6.864574061182793e-06,4.3012799599839724e-08
1837,7.021207693469478e-06,5.9142072350582e-08
1838,7.056365575408563e-06,3.156081107569264e-08
1839,7.455709237547126e-06,6.012668818389244e-08
1840,7.969754733494483e-06,3.885510224677091e-08
1841,7.788125003571622e-06,4.3017674755674307e-08
1842,7.114786058082245e-06,3.8237110810968034e-08
1843,7.359420578723075e-06,2.7762481258353233e-08
1844,6.799778475397034e-06,3.512679325190504e-08
1845,7.008766260696575e-06,2.2320911341466854e-08
1846,7.009009095781948e-06,3.7468809388485624e-08
1847,8.276440894405823e-06,4.368511064001268e-08
1848,6.6855791374109685e-06,4.022610816667438e-08
1849,5.945194970990997e-06,2.262442011513599e-08
1850,7.818886842869688e-06,3.8018376891102434e-08
1851,7.19241415936267e-06,5.030562122421145e-08
1852,8.220215022447519e-06,4.427170807730363e-08
1853,8.5852489064564e-06,6.151089926298425e-08
1854,7.341993295995053e-06,2.8576154775805662e-08
1855,7.917419679870363e-06,4.2986190607052777e-08
1856,8.091428753687069e-06,2.9509977905739504e-08
1857,8.515304216416553e-06,4.002837394878611e-08
1858,8.358888408110943e-06,4.551118826245926e-08
1859,7.205934707599226e-06,4.124660346604969e-08
1860,8.530039849574678e-06,4.439868561689764e-08
1861,8.377909580303822e-06,1.6034276129062164e-08
1862,9.247414709534496e-06,3.704748877120245e-08
1863,7.2911475399450865e-06,3.8458581486100485e-08
1864,7.302370704564964e-06,3.8357825249413224e-08
1865,7.4099853009101935e-06,3.9066807677734516e-08
1866,8.710906513442751e-06,3.6978658912723006e-08
1867,9.209665222442709e-06,2.9602150064533816e-08
1868,8.792975677351933e-06,4.297690447963021e-08
1869,6.798835329391295e-06,3.320793184879989e-08
1870,7.445089067914523e-06,3.7271317143705573e-08
1871,6.073189069866203e-06,4.460894276192562e-08
1872,7.06631590219331e-06,4.354084381930079e-08
1873,8.139169949572533e-06,4.8486637371780716e-08
1874,7.414490028168075e-06,6.870800672853505e-08
1875,7.726350304437801e-06,3.661777375763009e-08
1876,7.484966317861108e-06,5.622793874948684e-08
1877,9.371233318233863e-06,4.143826715097276e-08
1878,1.0096752703248058e-05,5.435179856183581e-08
1879,9.032026355271228e-06,3.6655952717623563e-08
1880,7.997919965418987e-06,4.1074214696124045e-08
1881,1.044342207023874e-05,6.066081681410651e-08
1882,7.564510724478168e-06,4.192892699705908e-08
1883,9.607290849089622e-06,4.73950407808843e-08
1884,7.816409379302058e-06,3.895001210452165e-08
1885,9.4944216471049e-06,4.834226896566207e-08
1886,9.35300522542093e-06,5.033701960810433e-08
1887,7.971164450282231e-06,5.223139809551469e-08
1888,8.393071766477078e-06,4.6286489086000415e-08
1889,8.273739695141558e-06,5.6386229463356585e-08
1890,7.080048362695379e-06,5.4401409432802694e-08
1891,8.761365279497113e-06,5.864282337508797e-08
1892,9.089342711376958e-06,4.5760141231809826e-08
1893,9.538771337247454e-06,3.325545006038766e-08
1894,1.042841722664889e-05,4.159016087079692e-08
1895,9.170563316729385e-06,3.9120993777785884e-08
1896,9.294896699429955e-06,4.0099797649073565e-08
1897,1.0751451554824598e-05,3.9038979382510774e-08
1898,8.204048754123505e-06,4.6964345301603316e-08
1899,8.074133802438155e-06,4.2562353641528716e-08
1900,9.301328645960893e-06,4.3604847066447405e-08
1901,7.562681275885552e-06,3.2973560049054385e-08
1902,7.296681815205375e-06,5.74503197237064e-08
1903,7.375620953098405e-06,3.6721496732283754e-08
1904,6.838135504949605e-06,5.320878848635857e-08
1905,7.16468184691621e-06,2.6319872004076927e-08
1906,7.4348899943288416e-06,3.703812939681583e-08
1907,7.372780146397417e-06,4.628558947228356e-08
1908,7.036056103970623e-06,4.567591749271571e-08
1909,6.1825553530070465e-06,4.345777160352782e-08
1910,6.2622757468489e-06,3.5271394249747345e-08
1911,6.615885467908811e-06,3.883873012089367e-08
1912,6.261724138312275e-06,3.959160155275754e-08
1913,6.590555585717084e-06,3.0757340396814215e-08
1914,7.541872946603689e-06,3.8841113048082576e-08
1915,8.198232535505667e-06,4.5944971827083236e-08
1916,7.160529094107915e-06,3.625862432521387e-08
1917,5.998634151183069e-06,6.908847627329351e-08
1918,5.382516064855736e-06,3.790504177203502e-08
1919,6.98139047017321e-06,5.340552100552287e-08
1920,7.841045771783683e-06,4.467616898651272e-08
1921,7.103237294359133e-06,4.1650109361413e-08
1922,8.12753387435805e-06,3.615188481909115e-08
1923,8.043703928706236e-06,2.229349105320466e-08
1924,8.326700481120497e-06,2.5783249202326886e-08
1925,8.824938049656339e-06,2.859526215814867e-08
1926,8.1400248745922e-06,2.7865347029809584e-08
1927,8.067579074122477e-06,2.4528294284564822e-08
1928,8.855182386469096e-06,1.713906150335731e-08
1929,1.1270749382674694e-05,2.0052731031228177e-08
1930,7.525831733801169e-06,3.2561171536826805e-08
1931,7.273195933521492e-06,2.5091784650044247e-08
1932,7.509474471589783e-06,2.6302888755935783e-08
1933,7.3159885687346105e-06,2.0647192178202545e-08
1934,7.547197128587868e-06,1.4377896206951846e-08
1935,7.015808023425052e-06,2.2739740757060645e-08
1936,6.872288395243231e-06,3.273672888326473e-08
1937,7.155532330216374e-06,1.510934133364117e-08
1938,6.883232344989665e-06,1.815129979654273e-08
1939,7.052086857584072e-06,4.5882153187903896e-08
1940,5.931196028541308e-06,1.0143131667916805e-08
1941,5.746575425291667e-06,2.066051907334554e-08
1942,5.1793995226034895e-06,3.034211815133858e-08
1943,5.707760465156753e-06,8.709705623388686e-09
1944,6.905137070134515e-06,3.213186161588055e-08
1945,6.2893413996789604e-06,1.742803235060819e-08
1946,6.498371476482134e-06,2.5057987684817817e-08
1947,6.525484877784038e-06,2.3841741247920822e-08
1948,5.5359651014441624e-06,1.8482209318548826e-08
1949,6.833619409007952e-06,2.454252034933546e-08
1950,6.2078606788418256e-06,1.808011518278363e-08
1951,6.310483513516374e-06,9.595261585282344e-09
1952,6.2530689319828525e-06,1.3708244650523227e-08
1953,6.049504008842632e-06,2.1547654327491728e-08
