year,en_ADP oeufs_NOUN,en_ADP feux_NOUN
1800,2.5153315874604232e-08,1.5720821977538435e-08
1801,4.7623651688866175e-09,9.524730337773235e-09
1802,1.3427040812530322e-08,2.6854081625060644e-08
1803,4.095712213825209e-08,2.145373123596528e-08
1804,1.2359254952798437e-08,3.707776485839531e-08
1805,3.980028751016107e-08,8.24434565060983e-08
1806,1.152667650217154e-08,5.76333825108577e-08
1807,2.8469551160981155e-09,6.547996633798903e-08
1808,6.798221985349073e-09,5.4385775882792586e-08
1809,4.518061036407062e-09,2.0331274441787173e-08
1810,9.360507036149102e-09,8.658469141664682e-08
1811,5.0141535368197765e-09,8.022645658911642e-08
1812,1.0668832928217853e-08,5.067695596494559e-08
1813,2.0130190847567064e-08,2.5881675469463516e-08
1814,6.293354282149721e-09,5.034683381310856e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,2.3176038865813098e-09
1817,0.0,3.113746771532533e-08
1818,5.960588467246453e-09,5.0068944545955674e-08
1819,3.1053151161586356e-09,2.2772310259711048e-08
1820,1.1866481131050932e-09,5.577246042776096e-08
1821,1.97229765852569e-09,3.0570614484304315e-08
1822,3.0076847679083585e-09,4.712039469723095e-08
1823,2.9648061783404955e-09,3.557767280781832e-08
1824,2.5263338088166165e-09,3.705289586264371e-08
1825,1.4088708866211164e-08,2.6416328680056722e-08
1826,1.7615968683770689e-09,4.492072136486058e-08
1827,0.0,5.806881975267686e-08
1828,9.172301140836225e-09,1.7427371545863934e-08
1829,2.571952872898464e-09,4.200856196234781e-08
1830,4.174734336004349e-09,5.114049628218709e-08
1831,1.5591206103948707e-09,4.2096257146795324e-08
1832,1.3529969367098715e-09,3.788391467196561e-08
1833,1.1583628500844156e-09,6.950176878461889e-08
1834,9.334530925997342e-10,4.947301257551828e-08
1835,1.5126175867408165e-09,3.7059130875150004e-08
1836,5.376600054063374e-09,7.325617445985699e-08
1837,2.7831563720326358e-09,6.888311654407175e-08
1838,2.5248647617104325e-09,8.900148418256038e-08
1839,6.9914749545318955e-09,2.7266752411492234e-08
1840,1.9109065441114126e-09,5.47793227445581e-08
1841,1.2841097074556274e-09,5.585877138614137e-08
1842,1.341653010911159e-09,6.238686323101206e-08
1843,5.906911071384968e-10,3.485077471054865e-08
1844,5.488561272137815e-10,3.677336057883451e-08
1845,0.0,2.4553002742067065e-08
1846,2.3418005312692003e-09,2.9272506196775794e-08
1847,0.0,3.5595274283650724e-08
1848,1.6090443422100975e-09,3.298540818263973e-08
1849,3.3517659758786067e-09,2.0948538015375107e-08
1850,1.3577992064028876e-09,5.5669766574339974e-08
1851,7.739326512989919e-09,3.0957306051959677e-08
1852,3.906327261660181e-09,4.948014620254071e-08
1853,2.388772735173461e-09,2.6276500086908072e-08
1854,0.0,3.688921879074769e-08
1855,0.0,5.7845614520601885e-08
1856,5.177189232874468e-10,4.866557945515382e-08
1857,2.9289055625270066e-09,7.029372994793448e-08
1858,4.893676019968041e-10,6.655399431565456e-08
1859,0.0,3.258990877164081e-08
1860,9.154367819341758e-10,6.728460455462937e-08
1861,9.431927461278633e-10,7.592701933845092e-08
1862,0.0,3.614389165740306e-08
1863,1.9978483312144135e-09,3.0467186995508655e-08
1864,4.794727948009836e-10,5.034464223285795e-08
1865,9.41368871743009e-10,4.094954664246586e-08
1866,9.731225825149181e-10,3.1626483321112175e-08
1867,9.7056229719783e-10,3.299911810472622e-08
1868,1.4819622196071691e-09,2.9145256874585357e-08
1869,1.4650557433881772e-09,2.490594752657671e-08
1870,1.1468097582678638e-09,5.2179842668920173e-08
1871,0.0,2.124235387590545e-08
1872,0.0,3.507456891593819e-08
1873,2.3944017879529156e-09,2.2746817762708815e-08
1874,3.5847653734322193e-09,6.930546553318706e-08
1875,2.8607636259891933e-09,2.7463329388410784e-08
1876,1.209202959984168e-09,3.869449471949338e-08
1877,3.7108897066318036e-09,2.6594708657512456e-08
1878,6.039088673581716e-10,5.1332252226643504e-08
1879,0.0,2.4437300960578057e-08
1880,0.0,4.685027921169649e-08
1881,6.972507571312292e-10,4.392679642251096e-08
