year,en_ADP hôtes_NOUN,en_ADP fautes_NOUN
1800,0.0,2.2009151834367913e-08
1801,2.3811825844433088e-09,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-08
1803,2.3404069793286908e-08,2.5354410126965377e-08
1804,0.0,3.707776485839531e-08
1805,0.0,2.2743021688143017e-08
1806,8.645007376628655e-09,8.645007376628655e-09
1807,2.8469551160981155e-09,8.540865348294346e-09
1808,0.0,4.305540635130001e-08
1809,1.129515236897305e-08,2.710836710662079e-08
1810,9.360507036149102e-09,3.2761775514700275e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,8.00162425207418e-09
1813,5.751483289628823e-09,2.8757417114277928e-08
1814,1.5733386149463513e-08,5.034683425719777e-08
1815,8.091670666843243e-09,6.203614333344376e-08
1816,1.1588019432906549e-08,2.7811246638975717e-08
1817,1.8682481339737933e-08,7.784366928831332e-09
1818,2.98029441125891e-08,3.814776761146277e-08
1819,4.140420006848444e-09,3.001804671498576e-08
1820,2.3732962262101864e-09,1.115449199673435e-07
1821,6.903041693817613e-09,1.873682797803866e-08
1822,2.0051231786055723e-09,3.107940926838637e-08
1823,3.9530747564242574e-09,6.917880934764753e-09
1824,8.421112696055388e-09,7.57900142644985e-09
1825,5.283265824829186e-09,1.1447076175841175e-08
1826,8.807984341885344e-10,1.145037931138404e-08
1827,0.0,1.8434546944501307e-08
1828,0.0,7.06267186956211e-08
1829,2.571952872898464e-09,3.6864655328372464e-08
1830,1.878630406793036e-08,1.6698937344017395e-08
1831,1.5591206103948707e-09,3.897801548191637e-08
1832,2.705993873419743e-09,2.0294954272692678e-08
1833,1.0425265983826648e-08,1.0425265983826648e-08
1834,1.120143711119681e-08,4.1071935186209885e-08
1835,1.285724948729694e-08,2.949604294144592e-08
1836,1.4785650037651976e-08,3.8980349614803345e-08
1837,1.3219993100221927e-08,3.896418832027848e-08
1838,8.2058102535143e-09,1.704283669745621e-08
1839,1.3283802502428443e-08,2.8665047335785232e-08
1840,3.1848443882154243e-09,4.140297632515555e-08
1841,6.420548537278137e-09,2.5040139295384733e-08
1842,8.720745015011744e-09,1.6770663080478698e-08
1843,2.953455480181333e-09,2.1855570742079777e-08
1844,1.1525978393933656e-08,1.5367971784030487e-08
1845,5.022205318283568e-09,2.2320911341466854e-08
1846,1.4050803187615202e-08,2.6345256864956923e-08
1847,1.0786447290911383e-08,1.6718992412734224e-08
1848,9.65426583121598e-09,2.494018680465615e-08
1849,6.535943697372204e-08,8.379414939696517e-10
1850,4.073397619208663e-09,2.3761487000228954e-08
1851,8.384270167027807e-09,2.579775504329973e-08
1852,1.5625309046640723e-08,1.1067927019325907e-08
1853,1.0749477752369785e-08,2.9859659633757474e-08
1854,8.313063126763609e-09,2.9615287666651113e-08
1855,2.175844215912548e-08,2.2819829581521844e-08
1856,7.765783571755946e-09,4.245295259774906e-08
1857,2.4407544874094356e-09,1.7085281689421805e-08
1858,9.787352261980686e-09,4.1106879677954566e-08
1859,2.2914779407301467e-08,1.884104072757964e-08
1860,8.696649622663699e-09,8.696649622663699e-09
