year,en_ADP arts_NOUN,en_ADP phares_NOUN
1800,5.345079756580162e-08,6.288328968651058e-09
1801,6.42919282256571e-08,0.0
1802,9.398928568771225e-08,0.0
1803,7.80135707145746e-08,0.0
1804,6.921182560404304e-08,0.0
1805,2.558589917711629e-08,0.0
1806,4.8988375134229045e-08,5.76333825108577e-09
1807,4.27043254092041e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,1.581321384946932e-08,0.0
1810,5.616304221689461e-08,0.0
1811,3.7606150637969904e-08,0.0
1812,5.06769564090348e-08,0.0
1813,4.3136123117903935e-08,0.0
1814,9.440030979135372e-09,0.0
1815,2.6972236000233352e-08,0.0
1816,8.57513455798653e-08,0.0
1817,2.1796228488746294e-08,0.0
1818,4.4108355412575406e-08,0.0
1819,9.212434237682032e-08,0.0
1820,3.44127952800477e-08,1.1866481131050932e-08
1821,7.001656854299654e-08,0.0
1822,3.308453244699194e-08,1.0025615893027862e-09
1823,6.32491954366543e-08,1.9765373338032077e-08
1824,3.1158117863583357e-08,2.5263338088166165e-09
1825,4.3146671568905504e-08,5.283265824829186e-09
1826,8.807984186454121e-08,1.3211976290783412e-08
1827,3.686909327837995e-08,1.2904182611350734e-08
1828,3.3937512911030865e-08,0.0
1829,3.686465693819585e-08,0.0
1830,3.131050774207722e-08,5.218417697960831e-09
1831,3.741889442743229e-08,0.0
1832,5.276688019861808e-08,0.0
1833,4.51761508202253e-08,0.0
1834,2.4269779741459274e-08,9.334530925997342e-10
1835,3.932805725526123e-08,3.781543966852041e-09
1836,6.922372786100084e-08,6.720750067579218e-10
1837,3.89641890974346e-08,1.1828414248071795e-08
1838,4.102905393210676e-08,0.0
1839,2.8665047335785232e-08,0.0
1840,5.8601136720959346e-08,7.64362617644565e-09
1841,3.2102741354123054e-08,5.1364388298225094e-09
1842,4.9641161403712886e-08,2.0124795163667386e-09
1843,4.075768533784441e-08,1.1813822142769936e-09
1844,5.1592476069117765e-08,2.195424508855126e-09
1845,1.3392547348889394e-08,2.790113973194508e-09
1846,3.981060747726417e-08,1.1709002656346001e-09
1847,1.5101026207275936e-08,1.6179670936367074e-09
1848,2.735375304041554e-08,0.0
1849,3.26797175986826e-08,0.0
1850,3.6660578572877967e-08,0.0
1851,2.3217978650791338e-08,6.449438760824933e-10
1852,4.9480144648228475e-08,1.9531636308300904e-09
1853,2.926246556178569e-08,0.0
1854,4.0006617019194834e-08,5.195664565249558e-09
1855,1.0083180512765466e-08,1.5920811335945473e-09
1856,2.0708756043319454e-08,4.6594703095870216e-09
1857,1.3668224996266076e-08,3.905207379695241e-09
1858,4.8447393652395476e-08,7.340514196485515e-09
1859,3.5645212559387573e-08,5.09217357169689e-09
1860,3.249800525906288e-08,2.288591982591015e-09
1861,3.301174633651982e-08,4.715963730639317e-10
1862,5.0149648683772696e-08,3.6143890103090826e-09
1863,3.9457503930862003e-08,1.4983863039219614e-09
1864,1.726102105692462e-08,0.0
1865,3.4830647810402127e-08,9.41368871743009e-10
1866,2.7733993435141713e-08,2.4328064562872953e-09
1867,1.5043715606566366e-08,4.85281148598915e-09
1868,1.778354707937524e-08,1.975949714960734e-08
1869,1.12320943657096e-08,8.790334682373668e-09
1870,2.5803219116937726e-08,7.454263428741115e-09
1871,1.1683294776076991e-08,0.0
1872,1.8746751706544273e-08,1.8142017887967654e-09
1873,5.566984079274917e-08,3.5916027374405246e-09
1874,2.031367180022059e-08,1.7923826867161097e-09
1875,1.3731665304828056e-08,1.1443054281912168e-09
1876,6.16693476285235e-08,3.02300739996042e-09
1877,2.1028374708187414e-08,4.9478527941460015e-09
1878,2.5364172762110115e-08,0.0
1879,1.7717042943843353e-08,3.6655952717623563e-09
1880,2.7596738449986447e-08,3.2089231272180996e-09
1881,1.2550513517339823e-08,1.3247764774071413e-08
1882,2.5290463057103807e-08,8.652000893505374e-09
1883,2.7805092117638708e-08,1.2638677882037541e-09
1884,1.914492120391742e-08,1.1883054540362536e-08
1885,3.931837805337679e-08,2.578254332252783e-09
1886,4.130216729736347e-08,1.4197620856748472e-08
1887,4.178511875396751e-08,1.3057849246322917e-09
1888,2.1558089979833994e-08,6.340614699951175e-10
1889,2.6940088715399213e-08,0.0
1890,4.194807196045147e-08,3.9326319978272295e-09
1891,5.0993758771156195e-08,8.286486163910922e-09
1892,4.701384459515623e-08,5.641661138255927e-09
1893,2.5249507429325746e-08,8.005941687372342e-09
1894,2.9617235108858608e-08,1.2603078580752936e-09
1895,4.6343330728504384e-08,6.018614495673091e-10
1896,5.071444997284402e-08,2.948514543632541e-09
1897,2.4472196047398143e-08,1.7480140668268973e-09
