year,son_DET are_NOUN,son_DET fard_NOUN
1800,1.5720821977538435e-08,3.458580977167003e-08
1801,4.7623651688866175e-09,2.143064325998978e-08
1802,3.3567602031325805e-08,0.0
1803,2.3404070459420723e-08,9.751696339321825e-09
1804,9.887403784603066e-09,4.696516731073075e-08
1805,2.842877711017877e-08,1.9900143755080535e-08
1806,2.881669125542885e-09,2.5935022129885965e-08
1807,2.2775641372874134e-08,2.8469550272802735e-08
1808,1.5862518409903714e-08,1.5862517521725295e-08
1809,2.259030518203531e-09,2.2590305626124518e-08
1810,2.106114127542469e-08,1.6380887757350138e-08
1811,1.2535383842049441e-08,5.0141535368197765e-09
1812,1.600324850414836e-08,1.600324939232678e-08
1813,1.1502966579257645e-08,1.1502966579257645e-08
1814,9.440030979135372e-09,1.2586708564299443e-08
1815,1.3486117778072071e-08,8.091670666843243e-09
1816,1.1588019432906549e-08,5.5622491501594595e-08
1817,9.341240336802059e-09,5.137682246303399e-08
1818,9.536942124910297e-09,3.218717892217171e-08
1819,7.24573512300708e-09,5.175525008560555e-09
1820,9.493184904840746e-09,1.4239777357261119e-08
1821,1.2819934447350079e-08,2.1695273910715684e-08
1822,1.303330066093622e-08,2.0051231786055723e-08
1823,8.89441820195458e-09,4.941343334508019e-09
1824,5.052667617633233e-09,1.9368559200927393e-08
1825,7.044354433105582e-09,1.8491431275080572e-08
1826,3.5231937367541377e-09,1.2331177634550272e-08
1827,1.1060728055678481e-08,5.530363722527909e-09
1828,6.420610709767516e-09,1.0089531543577834e-08
1829,1.1145128819833872e-08,1.5431716349212365e-08
1830,1.2524203008013046e-08,1.461156973192601e-08
1831,7.795603274018958e-09,4.677361786775691e-08
1832,1.2176972541411146e-08,4.058990654698391e-08
1833,2.432561940768352e-08,3.0117434435261714e-08
1834,1.4001796166951408e-08,6.534171426153534e-09
1835,9.832014313815307e-09,6.806779140333674e-09
1836,7.392825185359442e-09,3.696412631537527e-08
1837,1.600314980532147e-08,2.1569461661208322e-08
1838,6.312161682231476e-09,8.837027110075724e-09
1839,1.5381244722334486e-08,2.9364196407755117e-08
1840,6.369688498875092e-09,1.52872523528913e-08
1841,1.3483151484194877e-08,1.8619591202195807e-08
1842,1.475818312002275e-08,3.6224629962333665e-08
1843,1.8311424432315704e-08,1.9492807368237663e-08
1844,5.488561161115513e-09,1.4819115712327857e-08
1845,9.486387508861327e-09,1.7298706300739042e-08
1846,1.2879903366069811e-08,1.6978054517835517e-08
1847,6.47186837454683e-09,7.550513103637968e-09
1848,1.206783295515379e-08,9.65426583121598e-09
1849,4.1897072478036534e-09,1.256912263158938e-08
1850,1.425689166723032e-08,1.5614690873633208e-08
1851,7.094382636907426e-09,1.4188765717904062e-08
1852,1.6276363368206148e-08,5.859490670445666e-09
1853,8.360704129017904e-09,2.866527260003693e-08
1854,1.4028293915391288e-08,1.6626126253527218e-08
1855,1.3798036491152743e-08,4.776243400783642e-08
1856,8.283502495043393e-09,1.863788057221427e-08
1857,9.274867207587079e-09,2.5871998821092035e-08
1858,7.3405139189297586e-09,2.7404585267731818e-08
1859,8.14747713739905e-09,1.171199848215565e-08
1860,8.238931314963338e-09,1.7393299578394306e-08
1861,1.0846716413936974e-08,1.0846716413936974e-08
1862,1.1746764505549123e-08,2.25899317307654e-08
1863,1.0988166210257333e-08,3.4962344408473456e-08
1864,9.58945578499737e-09,3.8357823917145595e-08
1865,1.2708479713019472e-08,2.2122168596983016e-08
1866,7.298419646417642e-09,1.6056522555984998e-08
1867,1.4073153309368536e-08,4.270474107670452e-08
1868,8.39778580008499e-09,2.4699370548830757e-08
1869,1.0743742562269176e-08,4.932354202846767e-08
1870,7.454263428741115e-09,2.9243648391741317e-08
1871,7.434824311758348e-09,1.1683294554032386e-08
1872,4.837871325769072e-09,3.809823923006661e-08
1873,7.183205141814142e-09,5.9860045809045914e-09
1874,5.974608974224083e-09,1.5533982988813477e-08
1875,5.721527251978387e-09,3.089624556196213e-08
1876,6.04601479992084e-09,3.929909553335165e-08
1877,4.9478527941460015e-09,4.762308236649915e-08
1878,1.2078177347163432e-08,6.6429977074733415e-09
1879,6.109325489944695e-09,2.7491964260661916e-08
1880,1.0910338854586143e-08,3.2089232604448625e-08
1881,5.578006112560985e-09,2.8587281875047665e-08
1882,3.9932310791357395e-09,2.4624924321869912e-08
1883,6.319339107552224e-09,2.338155447034751e-08
1884,8.582206056928499e-09,1.4523733327109767e-08
1885,9.023890135129164e-09,2.3848851782304337e-08
1886,8.38950331427668e-09,2.19417763958063e-08
1887,1.1752064432712928e-08,1.7628096316002484e-08
1888,8.876860135842435e-09,2.2192152115962926e-08
1889,7.518164202302557e-09,1.566284169030041e-08
1890,8.520702365899524e-09,1.4419650362640368e-08
1891,5.736797814570593e-09,2.2309770031370135e-08
1892,3.761107425503951e-09,4.137218190258807e-08
1893,5.542574843531156e-09,1.4164357686752282e-08
1894,4.411077725308132e-09,2.142523314319078e-08
1895,8.426059849853118e-09,1.3240951446391591e-08
1896,7.66613794667137e-09,7.66613794667137e-09
1897,2.9133566670225264e-09,3.029891004757701e-08
1898,6.2241901632731356e-09,3.225262190653666e-08
1899,7.738609753005221e-09,2.819064981451902e-08
1900,6.2292638824956725e-09,3.218453059616877e-08
1901,5.029864968975062e-09,2.6825947685438223e-08
1902,5.4013122863239005e-09,2.9461702411026636e-08
1903,1.1340462346964841e-08,1.9980815224585058e-08
1904,5.912087708281888e-09,1.9348650681649815e-08
1905,2.5803795211665204e-09,1.857873277444355e-08
1906,5.658602919567102e-09,2.41776678677752e-08
1907,8.742833457198174e-09,1.6457098794830927e-08
1908,7.858222295098471e-09,1.6698722404839828e-08
1909,2.7504918342913243e-09,5.5009834909469646e-08
1910,1.1757131934686527e-08,3.15304895526225e-08
1911,5.852411444351446e-09,2.8730020806833068e-08
1912,8.8560158095774e-09,2.5005221004903433e-08
1913,1.484837142129436e-08,1.909076341455318e-08
1914,8.705767051697677e-09,3.0135346662518714e-08
1915,1.1780761921542648e-09,3.180805663305364e-08
