year,ton_DET enfant_NOUN
1800,1.1633408414368773e-07
1801,8.810375584644703e-08
1802,1.7007585029205075e-07
1803,1.5992782209650613e-07
1804,1.2853624298259092e-07
1805,1.1371511021707192e-07
1806,1.2103009794373065e-07
1807,1.0249038462362137e-07
1808,9.064296024874352e-08
1809,1.807224379035688e-07
1810,1.6848913109157593e-07
1811,9.025476543911282e-08
1812,1.3336041604361526e-07
1813,1.35159851311073e-07
1814,1.1642705288750221e-07
1815,9.170559756022101e-08
1816,7.416332437060191e-08
1817,9.18555316253844e-08
1818,1.013300039431897e-07
1819,1.0247539261598604e-07
1820,2.812356081349776e-07
1821,2.6626017457509477e-07
1822,1.814636476638043e-07
1823,1.3638107265734334e-07
1824,2.231594820045757e-07
1825,1.5761742933051437e-07
1826,1.8408687463278284e-07
1827,8.111200244798056e-08
1828,1.6601865571175267e-07
1829,9.259029809527419e-08
1830,1.3463518810929997e-07
1831,2.416636881719114e-07
1832,3.287782419647556e-07
1833,1.9344659474285208e-07
1834,2.7536866475941224e-07
1835,2.238674099430682e-07
1836,2.802552869773933e-07
1837,1.8995042427860653e-07
1838,1.3192418668594996e-07
1839,1.5590990010139194e-07
1840,1.3631133111147165e-07
1841,2.1123604909689675e-07
1842,2.2606853278261951e-07
1843,2.6049476975487096e-07
1844,2.1899359931021323e-07
1845,2.455300291970275e-07
1846,2.2012925193770627e-07
1847,1.7096519577819436e-07
1848,1.424004212324803e-07
1849,1.3658446817998993e-07
1850,1.7108270178312068e-07
1851,1.483370848376353e-07
1852,1.8685265334994483e-07
1853,1.696028624209589e-07
1854,1.7613302993879643e-07
1855,2.8551321307190847e-07
1856,2.1019388007914586e-07
1857,2.0844043824297387e-07
1858,3.425573193993614e-07
1859,2.7294049154136246e-07
1860,2.6364578964432894e-07
1861,2.89088574079166e-07
1862,2.0963455771294548e-07
1863,2.81197158225055e-07
1864,3.452204218046262e-07
1865,2.3251811498425923e-07
1866,1.994901284163575e-07
1867,2.2517044584446921e-07
1868,1.7931742890553437e-07
1869,2.5638476619516126e-07
1870,2.328023835929116e-07
1871,2.3579013075369915e-07
1872,1.7779178174137655e-07
1873,2.1010875617122338e-07
1874,2.861837715695259e-07
1875,1.9567622189242684e-07
1876,1.934724735974669e-07
1877,2.4924807995319043e-07
1878,1.7452966238895584e-07
1879,2.4192927972066514e-07
1880,2.3874388332956187e-07
1881,2.60074536628796e-07
1882,2.3560063766581152e-07
1883,2.2939200583493857e-07
1884,2.706695800824832e-07
1885,1.714539044073149e-07
1886,2.090922301412057e-07
1887,2.291652476671402e-07
1888,2.422114877553838e-07
1889,2.161472227868444e-07
1890,2.0711861559163935e-07
1891,1.587180799011989e-07
1892,2.1689052220885685e-07
1893,1.5457625623938043e-07
1894,1.4934648451259136e-07
1895,1.6491003318463981e-07
1896,1.751417650908138e-07
1897,1.9169887721659506e-07
1898,1.6069728303591546e-07
1899,1.5808874209710666e-07
1900,1.8376327981517449e-07
1901,1.5983793183460548e-07
1902,1.7529713414177195e-07
1903,1.5498631711352573e-07
1904,1.9617382474024225e-07
1905,2.0539821382614676e-07
1906,1.5638321571032066e-07
1907,1.671424069149552e-07
1908,1.9301758413803327e-07
1909,1.3752459382398996e-07
1910,1.982679851408875e-07
1911,1.5429085264972997e-07
1912,1.698271307470911e-07
1913,1.5484730220283183e-07
1914,1.332651964891518e-07
1915,1.1545146327840428e-07
1916,2.450204070747475e-07
1917,1.5572323075474515e-07
1918,1.4702562012303133e-07
1919,1.72186766678184e-07
1920,1.9157745789755154e-07
1921,1.393385602455055e-07
1922,1.778082445724749e-07
1923,2.388588278279258e-07
1924,2.2173593672292213e-07
1925,2.45259371922657e-07
1926,2.073181726292006e-07
1927,2.2967403268125963e-07
1928,2.045261363603501e-07
1929,2.1055368293332322e-07
1930,1.754101829343213e-07
1931,1.9160999009670832e-07
1932,1.5124160523960484e-07
1933,1.1814781775143501e-07
1934,1.7133660179524668e-07
1935,1.8790206546270838e-07
1936,1.6974599681418567e-07
1937,1.5864808644572292e-07
1938,1.503964828231119e-07
1939,1.621169412047152e-07
1940,1.8004059110232618e-07
1941,2.2431419610668968e-07
1942,2.2453167503044824e-07
1943,3.6871088049394984e-07
1944,2.2170983804414846e-07
1945,2.5270647618924613e-07
1946,2.7702997673628715e-07
1947,2.0623106533612656e-07
1948,2.1091461999134253e-07
1949,1.4921853153104792e-07
1950,2.1589784360287467e-07
1951,1.6098716493218035e-07
1952,1.8031614812397123e-07
1953,1.7884553349389876e-07
1954,1.6613311615287785e-07
1955,1.4078411103568556e-07
1956,2.0494683150573678e-07
1957,1.934873253839342e-07
1958,1.7040822158920221e-07
1959,2.3949810712409203e-07
1960,2.027804115734e-07
1961,1.8760030434661346e-07
1962,1.9596645195463225e-07
1963,2.1661277793683098e-07
1964,1.9407859364051205e-07
1965,2.1614571110717407e-07
1966,2.060535857495438e-07
1967,1.858736509152692e-07
1968,2.29511355254175e-07
1969,1.5351141624542208e-07
1970,1.8394899692353306e-07
1971,2.0759125707314752e-07
1972,1.759640411158614e-07
1973,1.885515732436005e-07
1974,1.7833062315730785e-07
1975,2.2503231544845903e-07
1976,1.6055009832705025e-07
1977,2.1685325607423422e-07
1978,2.1267316530071412e-07
1979,2.5456084284947167e-07
1980,1.9272660845004452e-07
1981,2.435336610151495e-07
1982,1.9988158028727554e-07
1983,2.1724687293556144e-07
1984,2.3833925544280987e-07
1985,2.352083129375515e-07
1986,2.1879871781038673e-07
1987,1.955461391145441e-07
1988,2.1407697459174813e-07
1989,2.2281775502452916e-07
1990,2.065038664511576e-07
1991,2.2625256335118138e-07
1992,2.0111296550329172e-07
1993,2.453868934715331e-07
1994,2.0255718502504294e-07
1995,3.3348071770689103e-07
1996,2.3327463072320143e-07
1997,2.74267977218301e-07
1998,2.5843260287317094e-07
1999,2.627865687276909e-07
2000,2.4210812421543437e-07
2001,2.615583434284474e-07
2002,3.088761173497545e-07
2003,2.7918382272673625e-07
2004,2.316920177936055e-07
2005,2.8869035562095746e-07
2006,2.643685261816131e-07
2007,3.8546727521016066e-07
2008,3.486843238587056e-07
2009,4.181704709171896e-07
2010,5.3756765372448e-07
2011,5.127946431926489e-07
2012,5.596591619028146e-07
2013,6.599069577450933e-07
2014,7.091833067462971e-07
2015,7.090824496458481e-07
2016,7.380184707805881e-07
2017,7.677645710302272e-07
2018,9.091925663451406e-07
2019,9.80854788057428e-07
