year,un_DET art_NOUN,un_DET fard_NOUN
1800,1.1168072575173937e-05,1.0375742931501009e-07
1801,7.662645380435151e-06,8.096020565062645e-08
1802,7.964473468291544e-06,8.951360541686881e-08
1803,8.7375199058215e-06,1.6967950955404376e-07
1804,9.917066250864082e-06,7.662737999680758e-08
1805,9.119951471348031e-06,7.107194099909009e-08
1806,1.022704354625148e-05,9.509508203109363e-08
1807,8.512396107107634e-06,5.97860605466849e-08
1808,9.005377933135605e-06,3.3991110370834576e-08
1809,6.908115224746325e-06,5.421673421324158e-08
1810,9.894055466475038e-06,3.042164919975221e-08
1811,8.571695602199725e-06,1.4541044901505984e-07
1812,7.65488776011125e-06,7.734903828549022e-08
1813,1.0131237729638087e-05,8.627225156487839e-08
1814,6.513621855219753e-06,7.552025094170745e-08
1815,6.527280870471941e-06,9.170560133497929e-08
1816,6.739592166127295e-06,7.879853569647821e-08
1817,8.013227336789441e-06,7.472992469281792e-08
1818,7.951425367025422e-06,7.510341504257667e-08
1819,7.476563290254035e-06,4.45095160728215e-08
1820,7.450963330768445e-06,7.357218123615894e-08
1821,7.815229349006358e-06,7.790576006527772e-08
1822,7.141246328501438e-06,8.421517350143404e-08
1823,6.724180103390154e-06,1.680056804787e-08
1824,6.650152876375159e-06,6.905312233129735e-08
1825,7.5770836218680415e-06,7.660735112935413e-08
1826,6.366410921998522e-06,3.082794364228647e-08
1827,6.3562316690024545e-06,5.346018383534101e-08
1828,6.462803479934109e-06,3.485474309172787e-08
1829,7.83331104514673e-06,1.1145129263923081e-08
1830,6.491711690870261e-06,3.757260813586072e-08
1831,5.743800198132476e-06,9.354723218280014e-09
1832,7.032878123425235e-06,4.464889968858188e-08
1833,6.752097103657206e-06,9.614411367042663e-08
1834,6.67512324170616e-06,7.560969805808782e-08
1835,6.156353670405679e-06,5.067268915581735e-08
1836,5.654167104296448e-06,4.9061476659062464e-08
1837,5.981698816270864e-06,3.965997663613052e-08
1838,5.291485216218916e-06,3.1560809077291196e-08
1839,5.60506542868211e-06,2.866504900111977e-08
1840,6.562690131772797e-06,3.4396318682183846e-08
1841,5.781062075271848e-06,7.062603080143504e-08
1842,6.143428995741829e-06,4.561620237097941e-08
1843,6.781133954802954e-06,2.9534556134080958e-08
1844,6.17408274194986e-06,2.7991663265058975e-08
1845,6.4596719866472085e-06,4.9664027557128065e-08
1846,6.343351984128276e-06,3.981061058588864e-08
1847,6.225937603687726e-06,3.721324404182269e-08
1848,5.6598133788554605e-06,3.781254065415851e-08
1849,5.643535970989433e-06,6.619737535906722e-08
1850,5.885380794268258e-06,4.141287579528807e-08
1851,5.546517435561782e-06,4.5791015423901626e-08
1852,6.8842505598354364e-06,3.450589147746541e-08
1853,6.757838090010182e-06,4.419229560070903e-08
1854,6.481591505291817e-06,4.000661490977109e-08
1855,7.038590624119934e-06,5.413075854221461e-08
1856,6.83285424329938e-06,4.866558001026533e-08
1857,7.0039892534623505e-06,3.2217959411440233e-08
1858,6.85310406112194e-06,2.8383321415414997e-08
1859,7.935642678091881e-06,3.666364989385329e-08
1860,7.1083663968352084e-06,4.989130486521276e-08
1861,7.852079310310955e-06,6.649509032286005e-08
1862,7.5603982736538455e-06,4.879425219428413e-08
1863,8.289572635433728e-06,5.4940830551686304e-08
1864,8.288645942045036e-06,4.602938896702824e-08
1865,7.466937692157671e-06,4.330296832222302e-08
1866,7.100875549781449e-06,4.0384586896813346e-08
1867,7.793614898332635e-06,3.34843974769683e-08
1868,7.773385497955587e-06,2.9145256874585357e-08
1869,7.6246385170009034e-06,3.4184633235234685e-08
1870,6.912396038671886e-06,2.8096838633473453e-08
1871,5.039748625534912e-06,1.8056001360733376e-08
1872,7.0294273974980115e-06,1.814201766592305e-08
1873,6.679183893965046e-06,2.753562017288047e-08
1874,6.2494411317004506e-06,3.7042575229406793e-08
1875,8.08165676602357e-06,3.6617772591895914e-08
1876,8.238299557206119e-06,3.869449471949338e-08
1877,7.516406924423791e-06,3.277952487223956e-08
1878,7.8333017654586e-06,3.5026713862684744e-08
1879,6.890097115075378e-06,2.6881030734671185e-08
1880,7.050646072315203e-06,1.6044615636090498e-08
1881,7.180288136510171e-06,4.462404845639867e-08
1882,8.049688602795868e-06,3.4608003574021495e-08
1883,7.63755318899939e-06,4.802697617378726e-08
1884,7.465858949728954e-06,3.036780604759315e-08
1885,7.142409039317954e-06,3.545099502844096e-08
1886,7.1943216610748095e-06,2.774989482645651e-08
1887,6.997048593859745e-06,2.8074376601239237e-08
1888,7.101488641581e-06,2.53624587998047e-08
1889,8.031278930786812e-06,2.0048437576747347e-08
1890,7.159356407271389e-06,2.6872984115744458e-08
1891,7.288282994011297e-06,2.6134301833735663e-08
1892,7.113507944467301e-06,3.2596265242545996e-08
1893,7.298955111423311e-06,2.771287377356657e-08
1894,8.112601548759812e-06,5.293292915098391e-08
1895,7.5918802338037494e-06,6.680661934765908e-08
1896,7.587707173684066e-06,3.4202766840962795e-08
1897,7.34923391121356e-06,3.612562271548825e-08
1898,8.097671347684354e-06,2.093591255913907e-08
1899,7.98348141728411e-06,1.8241008703512307e-08
1900,8.474912910116927e-06,1.8168686666264477e-08
